ID,trial,block,sigma,H_true,H_subjective,noise_in_DV,lapse_rate,pct
A10NF5TK6IFNX6,T1,3,33,0.2,0.410737417054828,0.634806106553192,0.0105437567360661,96.9849246231156
A10NF5TK6IFNX6,T1,1,33,0.05,0.623566266037431,0.745692050374006,1.00104960574653e-07,98
A10NF5TK6IFNX6,T1,5,33,0.95,0.39566413683863,0.396725491860655,0.0101461288579366,98
A10NF5TK6IFNX6,T1,6,140,0.95,0.519933185601107,0.31320223667507,0.0134638106526456,65
A10NF5TK6IFNX6,T1,2,140,0.05,0.157541376878152,0.494740620408181,1.09558482621455e-07,85.5
A10NF5TK6IFNX6,T1,4,140,0.2,0.111237711283667,1.04238225901874,1.06728667615596e-07,72.5
A10NF5TK6IFNX6,T2,3,33,0.2,0.271858795848701,0.0147099338745208,1.10053783826896e-07,98.9949748743718
A10NF5TK6IFNX6,T2,1,33,0.05,0.294024308542862,0.0428684325330159,1.01999999833203e-07,99
A10NF5TK6IFNX6,T2,5,33,0.95,0.396070402276556,0.398433695867327,0.00507320038822155,98.5
A10NF5TK6IFNX6,T2,6,140,0.95,0.867910545088149,0.702026487940649,1.51161022398711e-07,78
A10NF5TK6IFNX6,T2,2,140,0.05,0.13121552427893,0.729421858138874,1.13090982339437e-07,84.5
A10NF5TK6IFNX6,T2,4,140,0.2,0.160270319282215,0.473760034879491,1.05481062935365e-07,73.5
A13XXMDHOULEZ7,T1,2,140,0.05,0.518533069982549,0.238112505719004,0.240195257159859,61.3065326633166
A13XXMDHOULEZ7,T1,4,140,0.2,0.000528416305198532,6.72741229945476,0.00126599176729329,59
A13XXMDHOULEZ7,T1,6,140,0.95,0.974999759991808,0.256819687014962,0.182389801752019,78.5
A13XXMDHOULEZ7,T1,1,33,0.05,0.337057758158275,0.0444138211919925,0.00499999413136863,98.5
A13XXMDHOULEZ7,T1,3,33,0.2,0.497081689862051,0.00822790350964142,1.09999998248048e-07,98.5
A13XXMDHOULEZ7,T1,5,33,0.95,0.768402693869836,0.0651457756354021,1.01999999247e-07,100
A13XXMDHOULEZ7,T2,2,140,0.05,0.107485062605867,0.712574545088304,0.0204558063326915,92.964824120603
A13XXMDHOULEZ7,T2,4,140,0.2,0.104962219095027,1.27119353639188,9.21909731724351e-07,76
A13XXMDHOULEZ7,T2,6,140,0.95,0.965761465122285,0.943984867016905,1.36258331487099e-07,88.5
A13XXMDHOULEZ7,T2,1,33,0.05,0.618870645683259,0.00420202389130264,1.1000829458411e-07,98.5
A13XXMDHOULEZ7,T2,3,33,0.2,0.271859359134243,0.0147143187088855,1.10003494062918e-07,99
A13XXMDHOULEZ7,T2,5,33,0.95,0.84544035741229,0.0762325099045415,0.00999999409394094,99
A14A8J5H98KLO6,T1,1,33,0.05,0.585174337394795,0.0134487525182122,0.0251256523454291,95.9798994974874
A14A8J5H98KLO6,T1,3,33,0.2,0.10189165089875,0.0510228936483492,0.00499999375789046,99
A14A8J5H98KLO6,T1,5,33,0.95,0.479073509694215,1.22803923294517,1.14626567264341e-07,98.5
A14A8J5H98KLO6,T1,2,140,0.05,0.144131070281335,0.537064152519459,0.020180050618947,86
A14A8J5H98KLO6,T1,4,140,0.2,0.0910666050573971,1.2286233181572,1.36168949784558e-07,73.5
A14A8J5H98KLO6,T1,6,140,0.95,0.959658279842901,0.39569752652994,0.0564811589870684,90
A14A8J5H98KLO6,T2,1,33,0.05,0.0493041918275855,0.099470906641361,1.02010050165695e-07,99.4974874371859
A14A8J5H98KLO6,T2,3,33,0.2,0.0146539358363161,0.56465378481489,0.00524162325568786,98
A14A8J5H98KLO6,T2,5,33,0.95,0.768402693869836,0.0651457756354021,1.01999999247e-07,100
A14A8J5H98KLO6,T2,2,140,0.05,0.096949491869573,0.741933336115513,0.0188443974299274,90
A14A8J5H98KLO6,T2,4,140,0.2,0.104760691026549,1.12473959127849,1.06747459826097e-07,76
A14A8J5H98KLO6,T2,6,140,0.95,0.953489591229097,0.664277727103182,0.0295103069634734,90
A18LFH7XW61JO9,T1,2,140,0.05,0.486247299957358,0.18706680921749,1.16623040835012e-07,69.3467336683417
A18LFH7XW61JO9,T1,4,140,0.2,0.49584785361759,0.0941229607213101,0.0352415812919715,72
A18LFH7XW61JO9,T1,6,140,0.95,0.461706823568789,0.0996041322872788,0.0102047660382459,65.5
A18LFH7XW61JO9,T1,1,33,0.05,0.539597426789331,0.450323596321828,0.00509398582666141,98
A18LFH7XW61JO9,T1,3,33,0.2,0.157446658125223,1.21617373934731,0.0148505515506784,96
A18LFH7XW61JO9,T1,5,33,0.95,0.228586573334463,0.0309170773896867,1.0999993535512e-07,99.5
A18LFH7XW61JO9,T2,2,140,0.05,0.515621771552469,0.107190889633088,0.0131668005295613,67.8391959798995
A18LFH7XW61JO9,T2,4,140,0.2,0.51841560350437,0.040521974905726,1.02166894625171e-07,68.5
A18LFH7XW61JO9,T2,6,140,0.95,0.506115643213942,0.0845824296470619,0.00659821068774202,70
A18LFH7XW61JO9,T2,1,33,0.05,0.294024308542862,0.0428684325330159,1.01999999833203e-07,99
A18LFH7XW61JO9,T2,3,33,0.2,0.497081689862051,0.00822790350964142,1.09999998248048e-07,98.5
A18LFH7XW61JO9,T2,5,33,0.95,0.847881036964267,0.077238676466668,0.0249999985063968,97.5
A18MC27WTCEBA2,T1,3,33,0.2,0.500000964724027,0.00806161729212977,0.0150753759966836,96.9849246231156
A18MC27WTCEBA2,T1,1,33,0.05,0.540405101749442,0.450959233044017,1.10187880879473e-07,98.5
A18MC27WTCEBA2,T1,5,33,0.95,0.602925101781917,0.524002693254529,1.10126006745183e-07,99.5
A18MC27WTCEBA2,T1,6,140,0.95,0.519272564208635,0.207462355503378,0.00827977105963533,66.5
A18MC27WTCEBA2,T1,2,140,0.05,0.520568111955711,0.194427031902615,1.08026073006981e-07,71.5
A18MC27WTCEBA2,T1,4,140,0.2,0.563027997463167,0.0428021282191106,0.0171333090021445,67.5
A18MC27WTCEBA2,T2,3,33,0.2,0.496754092725566,0.00773850345387146,1.02010050462262e-07,98.4924623115578
A18MC27WTCEBA2,T2,1,33,0.05,0.618870645683259,0.00420202389130264,1.1000829458411e-07,98.5
A18MC27WTCEBA2,T2,5,33,0.95,0.272538947891002,0.0348014489494982,0.00499999379414444,99
A18MC27WTCEBA2,T2,6,140,0.95,0.535597855589596,0.0819656185970707,1.00130997419039e-07,70
A18MC27WTCEBA2,T2,2,140,0.05,0.588583618631961,0.127214887113867,1.05558068087329e-07,69
A18MC27WTCEBA2,T2,4,140,0.2,0.560581684299945,0.0981954604895834,0.00668956102119291,65.5
A194R45ACMQEOR,T1,3,33,0.2,0.658959139536183,0.0109006921880413,1.10050249917714e-07,97.9899497487437
A194R45ACMQEOR,T1,1,33,0.05,0.683523085387228,0.366328899211296,1.00101943096536e-07,98
A194R45ACMQEOR,T1,5,33,0.95,0.602925101781917,0.524002693254529,1.10126006745183e-07,99.5
A194R45ACMQEOR,T1,6,140,0.95,0.542698895893679,0.190523370955099,0.0125104960448,70
A194R45ACMQEOR,T1,2,140,0.05,0.490314914360472,0.199660129038382,1.18366082140317e-07,71
A194R45ACMQEOR,T1,4,140,0.2,0.503710767442572,0.177225908438899,1.17954506072888e-07,68.5
A194R45ACMQEOR,T2,3,33,0.2,0.407312584449941,0.65378077820573,1.0210979799359e-07,97.9899497487437
A194R45ACMQEOR,T2,1,33,0.05,0.618870645683259,0.00420202389130264,1.1000829458411e-07,98.5
A194R45ACMQEOR,T2,5,33,0.95,0.768402693869836,0.0651457756354021,1.01999999247e-07,100
A194R45ACMQEOR,T2,6,140,0.95,0.530648920488891,0.162249271338639,1.15713975440693e-07,67.5
A194R45ACMQEOR,T2,2,140,0.05,0.489908895052544,0.00103303771411243,0.0199999939165724,70
A194R45ACMQEOR,T2,4,140,0.2,0.503953489791585,0.113992521693606,1.13623771517094e-07,68
A1A1A9UHNQCI9Y,T1,2,140,0.05,0.227317239461215,0.499083785440293,1.08229456222286e-07,81.4070351758794
A1A1A9UHNQCI9Y,T1,4,140,0.2,0.324187041347816,0.406583003434608,0.0199134866193738,71
A1A1A9UHNQCI9Y,T1,6,140,0.95,0.435908126367104,0.348744753046494,1.55003397473978e-07,63
A1A1A9UHNQCI9Y,T1,1,33,0.05,0.646142698963343,0.6466732237759,1.00104642214404e-07,98
A1A1A9UHNQCI9Y,T1,3,33,0.2,0.399094173509992,0.688386947787459,3.08127513956168e-07,98.5
A1A1A9UHNQCI9Y,T1,5,33,0.95,0.18023006274738,0.44215905474138,1.020703684735e-07,99
A1A1A9UHNQCI9Y,T2,2,140,0.05,0.160760475731438,0.635364308612579,1.11197411137851e-07,83.4170854271357
A1A1A9UHNQCI9Y,T2,4,140,0.2,0.30919484901176,0.426048135417593,0.0056008295924331,72.5
A1A1A9UHNQCI9Y,T2,6,140,0.95,0.352927617820533,0.170415864946556,0.0329980113629796,62
A1A1A9UHNQCI9Y,T2,1,33,0.05,0.294024308542862,0.0428684325330159,1.01999999833203e-07,99
A1A1A9UHNQCI9Y,T2,3,33,0.2,0.497081689862051,0.00822790350964142,1.09999998248048e-07,98.5
A1A1A9UHNQCI9Y,T2,5,33,0.95,0.396472527750481,0.400079702135218,1.02029355577351e-07,99
A1DJDT4B5B19Q2,T1,3,33,0.2,0.356423644672015,1.42206844379189,1.05033351437887e-07,97.9899497487437
A1DJDT4B5B19Q2,T1,1,33,0.05,0.540405101749442,0.450959233044017,1.10187880879473e-07,98.5
A1DJDT4B5B19Q2,T1,5,33,0.95,0.997781504119295,0.0568696625662635,0.0249999944390869,97
A1DJDT4B5B19Q2,T1,6,140,0.95,0.541501778263302,0.306735946905702,0.0277603391601504,70.5
A1DJDT4B5B19Q2,T1,2,140,0.05,2.55312243340796e-08,7.66720452354419,0.171975377110804,72
A1DJDT4B5B19Q2,T1,4,140,0.2,0.103840163734839,1.2589148601559,1.53523631564168e-07,69.5
A1DJDT4B5B19Q2,T2,6,140,0.95,0.47562839222926,0.134093818382893,0.00767024476176378,67.3366834170854
