egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
9,-4,2,0.2,33,1,2.497
81,-30,2,0.2,33,1,2.071
117,-44,2,0.2,33,2,2.219
58,16,2,0.2,33,2,1.062
136,-7,2,0.2,33,2,1.517
88,31,2,0.2,33,2,1.096
129,-47,2,0.2,33,2,0.201
-80,35,1,0.2,33,1,2.613
69,-18,2,0.2,33,2,2.614
15,25,2,0.2,33,2,2.594
79,-10,2,0.2,33,2,1.439
36,3,2,0.2,33,2,0.249
111,-39,2,0.2,33,2,0.077
108,-40,2,0.2,33,2,0.392
-39,-16,1,0.2,33,1,0.361
-113,-14,1,0.2,33,1,0.26
-76,28,1,0.2,33,1,0.219
-46,48,1,0.2,33,1,0.25
-90,-8,1,0.2,33,1,0.499
81,1,2,0.2,33,2,0.512
-47,-29,1,0.2,33,1,0.564
-89,-13,1,0.2,33,1,1.361
83,-18,2,0.2,33,1,0.056
79,-23,2,0.2,33,2,2.28
73,91,2,0.2,33,2,0.297
20,-14,2,0.2,33,2,0.349
38,2,2,0.2,33,2,0.533
-70,-12,1,0.2,33,1,1.001
-70,-57,1,0.2,33,1,0.753
-118,10,1,0.2,33,1,1.487
-135,-13,1,0.2,33,1,1.188
-64,52,1,0.2,33,1,0.142
-80,-6,1,0.2,33,1,0.062
-78,37,1,0.2,33,1,0.591
-25,11,1,0.2,33,1,0.157
-111,-11,1,0.2,33,1,0.061
-28,-27,1,0.2,33,1,0.458
58,3,2,0.2,33,2,0.875
-42,32,1,0.2,33,1,0.259
43,-16,2,0.2,33,2,4.993
16,-52,2,0.2,33,2,2.003
46,-9,2,0.2,33,2,0.28
77,61,2,0.2,33,2,1.268
122,-64,2,0.2,33,2,0.279
98,5,2,0.2,33,2,0.482
85,23,2,0.2,33,2,0.095
83,17,2,0.2,33,2,0.958
-63,-37,1,0.2,33,1,0.609
68,34,2,0.2,33,2,0.141
89,18,2,0.2,33,2,0.507
67,60,2,0.2,33,2,56.113
71,-10,2,0.2,33,2,2.419
-150,-3,1,0.2,33,1,0.983
-65,-21,1,0.2,33,1,0.439
49,1,2,0.2,33,2,0
63,-22,2,0.2,33,2,0.5
-92,-26,1,0.2,33,1,0.282
-45,-18,1,0.2,33,1,0
-44,34,1,0.2,33,1,1.079
52,14,2,0.2,33,2,0.171
-85,32,1,0.2,33,1,0.014
-31,1,1,0.2,33,1,4.44
-67,3,1,0.2,33,1,0.703
-59,-47,1,0.2,33,1,1.175
-42,-32,1,0.2,33,1,0.327
-149,-6,1,0.2,33,1,0.33
67,-12,2,0.2,33,2,1.283
97,16,2,0.2,33,2,0.642
108,-11,2,0.2,33,2,0.657
51,-105,2,0.2,33,2,0.233
34,-37,2,0.2,33,2,0.138
-48,32,1,0.2,33,1,1.856
114,-26,2,0.2,33,2,0.437
61,3,2,0.2,33,2,0.25
49,-23,2,0.2,33,2,0.141
96,16,2,0.2,33,2,0.423
7,8,2,0.2,33,2,0.119
94,10,2,0.2,33,2,0.034
76,-22,2,0.2,33,2,0.093
34,-62,2,0.2,33,2,0.024
-85,-11,1,0.2,33,1,0.065
-114,12,1,0.2,33,1,0.749
-91,-11,1,0.2,33,1,0.312
-28,17,1,0.2,33,1,0.106
23,57,2,0.2,33,2,0.167
38,-2,2,0.2,33,2,0.296
-61,-2,1,0.2,33,1,0.299
-77,3,1,0.2,33,1,0.236
-51,49,1,0.2,33,1,0.265
-74,-9,1,0.2,33,1,0.015
-55,29,1,0.2,33,1,1.282
-134,-14,1,0.2,33,1,0.439
-70,-39,1,0.2,33,1,2.029
-80,-59,1,0.2,33,1,0.358
108,-15,2,0.2,33,2,0
-139,-43,1,0.2,33,1,0.035
-54,-14,1,0.2,33,1,0.046
-105,35,1,0.2,33,1,0.08
38,16,2,0.2,33,2,0
94,-25,2,0.2,33,2,0.342
-108,24,1,0.2,33,1,0.11
-137,16,1,0.2,33,1,1.706
38,-7,2,0.2,33,2,0.486
33,-27,2,0.2,33,2,0.045
93,18,2,0.2,33,2,0.036
87,-23,2,0.2,33,2,0.296
71,9,2,0.2,33,2,0.282
47,71,2,0.2,33,2,0.251
62,1,2,0.2,33,2,0.188
-70,-12,1,0.2,33,1,0.077
-103,-10,1,0.2,33,1,1.256
-36,4,1,0.2,33,1,0.516
-68,31,1,0.2,33,1,0.125
81,-24,2,0.2,33,2,0.297
-36,36,1,0.2,33,1,0.062
63,12,2,0.2,33,2,0.126
100,-7,2,0.2,33,2,0.141
-133,23,1,0.2,33,1,1.189
-52,22,1,0.2,33,1,0
-100,-29,1,0.2,33,1,0.202
-97,-25,1,0.2,33,1,0.047
-65,-47,1,0.2,33,1,0.127
-77,-26,1,0.2,33,1,0.53
-67,-16,1,0.2,33,1,0.838
83,-33,2,0.2,33,2,38.455
102,13,2,0.2,33,2,0.085
6,65,2,0.2,33,2,0.113
52,11,2,0.2,33,2,0.41
103,-64,2,0.2,33,2,0.105
62,44,2,0.2,33,2,0.611
73,7,2,0.2,33,2,0.055
104,14,2,0.2,33,2,0.329
-64,11,1,0.2,33,1,0.136
-80,42,1,0.2,33,1,0.036
-102,30,1,0.2,33,1,0.047
-51,53,1,0.2,33,1,0.199
-145,-13,1,0.2,33,1,0.34
-114,1,1,0.2,33,1,1.907
-27,10,1,0.2,33,1,0.231
-81,5,1,0.2,33,1,0.499
-66,11,1,0.2,33,1,0.224
-67,-78,1,0.2,33,1,0.125
-84,20,1,0.2,33,1,0.802
-79,32,1,0.2,33,1,0.372
1,25,1,0.2,33,2,0.234
-139,-3,1,0.2,33,1,0.579
-132,-11,1,0.2,33,1,0.16
-32,20,1,0.2,33,1,0.085
-64,23,1,0.2,33,1,0.294
-23,-21,1,0.2,33,1,1.286
-66,25,1,0.2,33,1,0.016
79,7,2,0.2,33,2,0.382
55,15,2,0.2,33,2,0.259
80,50,2,0.2,33,2,0.107
61,20,2,0.2,33,2,0.042
1,12,2,0.2,33,2,0.319
74,-37,2,0.2,33,2,0.037
6,-44,1,0.2,33,2,0
86,-55,2,0.2,33,2,0.047
91,55,2,0.2,33,2,0.389
-93,-10,1,0.2,33,1,0.332
-101,22,1,0.2,33,1,0.586
-52,-4,1,0.2,33,1,0.175
-72,-10,1,0.2,33,1,0.949
-107,-10,1,0.2,33,1,0.352
-29,39,1,0.2,33,1,0.357
-84,-10,1,0.2,33,1,0.016
-57,-6,1,0.2,33,1,0.162
-78,-30,1,0.2,33,1,0.043
-54,9,1,0.2,33,1,0.063
-62,-92,1,0.2,33,1,0.054
-42,11,1,0.2,33,1,0.24
-92,-17,1,0.2,33,1,0.75
-127,40,1,0.2,33,1,0.75
9,54,1,0.2,33,2,0.223
-48,16,1,0.2,33,1,0.326
-98,-49,1,0.2,33,1,0.153
-63,35,1,0.2,33,1,1
-67,-6,1,0.2,33,1,0.376
-85,17,1,0.2,33,1,0.078
-76,-1,1,0.2,33,1,0.015
-64,-35,1,0.2,33,1,0.447
-18,60,1,0.2,33,1,0.249
-56,-49,1,0.2,33,1,0
-89,22,1,0.2,33,1,0.14
31,-32,2,0.2,33,2,0.036
87,-15,2,0.2,33,2,0
-95,-5,1,0.2,33,1,0.094
-63,-41,1,0.2,33,1,0.114
44,35,2,0.2,33,2,0.051
13,15,2,0.2,33,2,0.259
99,-22,2,0.2,33,2,0
-95,-37,1,0.2,33,1,0
-99,47,1,0.2,33,1,0
-56,-28,1,0.2,33,1,0.078
-83,65,1,0.2,33,1,0.109
119,25,2,0.2,33,2,0.091
66,11,2,0.2,33,2,0.054
28,-29,2,0.2,33,2,0.092
-42,-36,1,0.05,33,1,0.015
-125,9,1,0.05,33,1,0.094
-21,-19,1,0.05,33,1,0.539
-89,-80,1,0.05,33,1,0.185
-104,42,1,0.05,33,1,0.242
-78,-22,1,0.05,33,1,0.015
54,49,2,0.05,33,2,0.017
61,-15,2,0.05,33,2,0.203
147,73,2,0.05,33,2,0.221
88,33,2,0.05,33,2,0.155
124,24,2,0.05,33,2,0.42
114,-31,2,0.05,33,2,0.412
54,-41,2,0.05,33,2,0.208
28,30,2,0.05,33,2,0.092
-103,-5,1,0.05,33,1,0.016
-167,-8,1,0.05,33,1,0.141
