egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-42,-36,1,0.05,33,1,1.017
-125,9,1,0.05,33,2,1.605
-21,-19,1,0.05,33,1,0.758
-89,-80,1,0.05,33,1,0.977
-104,42,1,0.05,33,1,0.739
-78,-22,1,0.05,33,1,0.784
54,49,2,0.05,33,2,0.429
61,-15,2,0.05,33,2,0.55
147,73,2,0.05,33,2,0.744
88,33,2,0.05,33,2,0.733
124,24,2,0.05,33,2,0.607
114,-31,2,0.05,33,2,0.547
54,-41,2,0.05,33,2,0.733
28,30,2,0.05,33,2,0.519
-103,-5,1,0.05,33,1,0.566
-167,-8,1,0.05,33,1,0.647
-98,-58,1,0.05,33,1,0.562
-81,31,1,0.05,33,1,0.828
-52,1,1,0.05,33,1,0.41
-66,-29,1,0.05,33,1,0.097
-132,-27,1,0.05,33,1,0.331
-56,-13,1,0.05,33,1,0.01
-75,11,1,0.05,33,1,0.423
-61,79,1,0.05,33,1,0.608
-1,32,1,0.05,33,1,2.21
41,-43,2,0.05,33,2,0.695
49,58,2,0.05,33,2,0.706
110,1,2,0.05,33,2,0.561
133,29,2,0.05,33,2,0.785
110,49,2,0.05,33,2,0.745
101,-25,2,0.05,33,2,0.853
31,10,2,0.05,33,2,0.531
102,47,2,0.05,33,2,0.751
67,2,2,0.05,33,2,0.951
82,-40,2,0.05,33,2,0.653
48,15,2,0.05,33,2,0.575
39,38,2,0.05,33,2,0.696
109,-70,2,0.05,33,2,0.723
71,-13,2,0.05,33,2,0.592
22,-28,2,0.05,33,2,0.744
52,41,2,0.05,33,2,0.735
102,55,2,0.05,33,2,0.337
39,-10,2,0.05,33,2,0.551
35,-24,2,0.05,33,2,0.408
80,69,2,0.05,33,2,0.424
33,38,2,0.05,33,2,0.427
114,6,2,0.05,33,2,0.333
109,-11,2,0.05,33,2,0.914
-120,-36,1,0.05,33,1,0.856
-88,13,1,0.05,33,1,0.79
-140,21,1,0.05,33,1,0.695
11,24,1,0.05,33,2,0.692
-74,-1,1,0.05,33,1,0.332
-136,6,1,0.05,33,1,0.491
-128,14,1,0.05,33,1,0.595
-34,-14,1,0.05,33,1,0.643
-58,-24,1,0.05,33,1,0.169
-66,33,1,0.05,33,1,0.789
-86,-45,1,0.05,33,1,0.807
-142,65,1,0.05,33,1,0.891
-93,-9,1,0.05,33,1,0.794
-50,4,1,0.05,33,1,0.774
-84,53,1,0.05,33,1,0.671
-59,27,1,0.05,33,1,0.926
56,16,2,0.05,33,2,0.293
39,-33,2,0.05,33,2,0.394
86,-25,2,0.05,33,2,0.622
86,25,2,0.05,33,2,1.114
135,-18,2,0.05,33,2,0.799
63,50,2,0.05,33,2,0.959
79,-27,2,0.05,33,2,0.799
86,42,2,0.05,33,2,0.966
68,18,2,0.05,33,2,0.178
126,15,2,0.05,33,2,0.234
80,-8,2,0.05,33,2,0.313
84,8,2,0.05,33,2,0.121
13,-47,2,0.05,33,2,1.37
81,-34,2,0.05,33,2,0.909
57,18,2,0.05,33,2,0.477
70,45,2,0.05,33,2,0.462
-81,1,1,0.05,33,1,0.769
-52,4,1,0.05,33,1,0.795
-105,22,1,0.05,33,1,0.145
-111,50,1,0.05,33,1,0.128
-84,3,1,0.05,33,1,0.345
-77,-35,1,0.05,33,1,0.675
-73,-24,1,0.05,33,1,0.048
-26,13,1,0.05,33,1,0.62
-95,10,1,0.05,33,1,0.244
-70,-13,1,0.05,33,1,0.506
-27,3,1,0.05,33,1,0.165
-87,46,1,0.05,33,1,0.555
-159,-18,1,0.05,33,1,0.183
43,-18,2,0.05,33,2,0.23
88,-12,2,0.05,33,2,0.429
74,6,2,0.05,33,2,0.139
71,7,2,0.05,33,2,3.334
-32,7,2,0.05,33,1,0.189
71,-9,2,0.05,33,2,0.08
68,-11,2,0.05,33,2,1.153
55,23,2,0.05,33,2,0.279
98,73,2,0.05,33,2,1.077
68,1,2,0.05,33,2,0.523
45,-3,2,0.05,33,2,0.651
84,-3,2,0.05,33,2,0.402
94,19,2,0.05,33,2,0.75
28,-9,2,0.05,33,2,0.46
128,-22,2,0.05,33,2,0.398
87,30,2,0.05,33,2,0.617
75,-25,2,0.05,33,2,0.521
57,-41,2,0.05,33,2,0.616
63,-8,2,0.05,33,2,0.515
28,32,2,0.05,33,2,0.703
30,-29,2,0.05,33,2,0.796
79,-41,2,0.05,33,2,0.799
100,-53,2,0.05,33,2,0.619
77,-8,2,0.05,33,2,0.669
61,11,2,0.05,33,2,0.566
69,34,2,0.05,33,2,1.239
68,20,2,0.05,33,2,1.514
84,10,2,0.05,33,2,0.187
43,8,2,0.05,33,2,0.084
64,14,2,0.05,33,2,0.476
4,21,2,0.05,33,2,0.954
87,-48,2,0.05,33,2,0.26
103,61,2,0.05,33,2,0.534
19,-23,2,0.05,33,2,0.891
72,25,2,0.05,33,2,0.681
79,19,2,0.05,33,2,0.271
173,1,2,0.05,33,2,1.194
70,1,2,0.05,33,2,0.985
56,-4,2,0.05,33,2,0.248
63,33,2,0.05,33,2,0.341
84,21,2,0.05,33,2,0.498
89,40,2,0.05,33,2,0.453
31,-40,2,0.05,33,2,0.982
55,46,2,0.05,33,2,1.007
53,-44,2,0.05,33,2,0.706
