egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-42,-36,1,0.05,33,1,0.666
-125,9,1,0.05,33,1,0.85
-21,-19,1,0.05,33,2,2.594
-89,-80,1,0.05,33,1,1.16
-104,42,1,0.05,33,1,0.643
-78,-22,1,0.05,33,1,0.501
54,49,2,0.05,33,2,0.814
61,-15,2,0.05,33,2,0.606
147,73,2,0.05,33,1,1.565
124,24,2,0.05,33,1,0.732
114,-31,2,0.05,33,2,1.046
54,-41,2,0.05,33,2,0.754
28,30,2,0.05,33,2,0.596
-103,-5,1,0.05,33,1,0.574
-167,-8,1,0.05,33,1,0.67
-98,-58,1,0.05,33,1,0.637
-81,31,1,0.05,33,1,0.616
-52,1,1,0.05,33,1,0.475
-66,-29,1,0.05,33,1,0.279
-132,-27,1,0.05,33,1,0.774
-56,-13,1,0.05,33,1,0.491
-75,11,1,0.05,33,1,0.507
-61,79,1,0.05,33,2,1.128
-1,32,1,0.05,33,2,0.532
41,-43,2,0.05,33,2,0.838
49,58,2,0.05,33,2,0.732
110,1,2,0.05,33,2,0.495
133,29,2,0.05,33,2,0.645
110,49,2,0.05,33,2,0.235
101,-25,2,0.05,33,2,1.098
31,10,2,0.05,33,2,0.697
102,47,2,0.05,33,2,0.612
67,2,2,0.05,33,2,0.535
82,-40,2,0.05,33,2,0.557
48,15,2,0.05,33,2,0.792
39,38,2,0.05,33,2,0.747
109,-70,2,0.05,33,2,0.748
71,-13,2,0.05,33,2,0.607
22,-28,2,0.05,33,2,0.574
52,41,2,0.05,33,2,0.581
102,55,2,0.05,33,2,0.6
39,-10,2,0.05,33,2,0.52
35,-24,2,0.05,33,2,0.641
80,69,2,0.05,33,2,0.585
33,38,2,0.05,33,2,0.576
114,6,2,0.05,33,2,0.585
109,-11,2,0.05,33,2,0.58
-120,-36,1,0.05,33,1,0.565
-88,13,1,0.05,33,1,0.208
-140,21,1,0.05,33,1,0.52
11,24,1,0.05,33,2,0.859
-74,-1,1,0.05,33,1,0.509
-136,6,1,0.05,33,1,0.955
-128,14,1,0.05,33,1,0.59
-34,-14,1,0.05,33,1,0.531
-58,-24,1,0.05,33,1,0.837
-66,33,1,0.05,33,1,0.5
-86,-45,1,0.05,33,1,0.534
-142,65,1,0.05,33,1,0.605
-93,-9,1,0.05,33,1,0.915
-50,4,1,0.05,33,1,0.655
-84,53,1,0.05,33,1,0.448
-59,27,1,0.05,33,1,0.437
56,16,2,0.05,33,2,0.492
39,-33,2,0.05,33,2,0.737
86,-25,2,0.05,33,2,0.458
86,25,2,0.05,33,2,0.6
135,-18,2,0.05,33,2,0.507
63,50,2,0.05,33,2,0.463
79,-27,2,0.05,33,2,0.492
86,42,2,0.05,33,2,0.437
68,18,2,0.05,33,2,0.208
126,15,2,0.05,33,2,0.891
80,-8,2,0.05,33,2,0.42
84,8,2,0.05,33,2,0.579
13,-47,2,0.05,33,2,0.629
81,-34,2,0.05,33,2,0.495
57,18,2,0.05,33,2,0.511
70,45,2,0.05,33,2,0.486
-81,1,1,0.05,33,1,0.211
-52,4,1,0.05,33,1,0.592
-105,22,1,0.05,33,1,0.552
-111,50,1,0.05,33,1,0.474
-84,3,1,0.05,33,1,0.523
-77,-35,1,0.05,33,1,0.498
-73,-24,1,0.05,33,1,0.652
-26,13,1,0.05,33,1,0.574
-95,10,1,0.05,33,1,0.518
-70,-13,1,0.05,33,1,0.627
-27,3,1,0.05,33,1,0.714
-87,46,1,0.05,33,1,0.646
-159,-18,1,0.05,33,1,0.722
43,-18,2,0.05,33,2,0.657
88,-12,2,0.05,33,2,0.497
74,6,2,0.05,33,2,0.478
71,7,2,0.05,33,2,0.569
-32,7,2,0.05,33,1,0.629
71,-9,2,0.05,33,2,0.724
68,-11,2,0.05,33,2,0.538
55,23,2,0.05,33,2,0.556
98,73,2,0.05,33,2,0.607
68,1,2,0.05,33,2,0.494
45,-3,2,0.05,33,2,0.448
84,-3,2,0.05,33,2,0.518
94,19,2,0.05,33,2,0.493
28,-9,2,0.05,33,2,0.496
128,-22,2,0.05,33,2,0.525
87,30,2,0.05,33,2,0.577
75,-25,2,0.05,33,2,0.495
57,-41,2,0.05,33,2,0.628
63,-8,2,0.05,33,2,0.612
28,32,2,0.05,33,2,0.591
30,-29,2,0.05,33,2,0.543
79,-41,2,0.05,33,2,0.555
100,-53,2,0.05,33,2,0.649
77,-8,2,0.05,33,2,0.594
61,11,2,0.05,33,2,0.582
69,34,2,0.05,33,2,0.642
68,20,2,0.05,33,2,0.643
84,10,2,0.05,33,2,0.556
43,8,2,0.05,33,2,0.62
64,14,2,0.05,33,2,0.549
4,21,2,0.05,33,2,0.854
87,-48,2,0.05,33,2,0.579
103,61,2,0.05,33,2,0.542
19,-23,2,0.05,33,2,0.567
72,25,2,0.05,33,2,0.469
79,19,2,0.05,33,2,0.516
173,1,2,0.05,33,1,1.457
70,1,2,0.05,33,2,0.511
56,-4,2,0.05,33,2,0.649
63,33,2,0.05,33,2,0.597
84,21,2,0.05,33,2,0.585
89,40,2,0.05,33,2,0.475
31,-40,2,0.05,33,2,0.485
55,46,2,0.05,33,2,0.518
53,-44,2,0.05,33,2,0.456
-122,42,1,0.05,33,1,0.84
-97,-29,1,0.05,33,1,0.218
-114,-41,1,0.05,33,1,0.647
-90,-50,1,0.05,33,1,0.596
-98,-12,1,0.05,33,1,0.524
-34,-55,1,0.05,33,1,0.492
-66,-44,1,0.05,33,1,0.619
-53,-35,1,0.05,33,1,0.497
-104,32,1,0.05,33,1,0.573
-52,-63,1,0.05,33,1,0.708
-61,62,1,0.05,33,1,0.629
-48,5,1,0.05,33,1,0.594
-102,25,1,0.05,33,1,0.537
-55,-22,1,0.05,33,1,0.627
-32,-5,1,0.05,33,1,0.591
-50,-23,1,0.05,33,1,0.821
-79,11,1,0.05,33,1,0.648
-53,39,1,0.05,33,1,0.801
-54,-33,1,0.05,33,1,1.056
-79,45,1,0.05,33,1,0.902
-97,-8,1,0.05,33,1,0.603
-52,1,1,0.05,33,1,0.61
-119,-27,1,0.05,33,1,0.627
-121,-12,1,0.05,33,1,0.648
-89,17,1,0.05,33,1,0.489
-87,-58,1,0.05,33,1,0.584
-60,-6,1,0.05,33,1,0.59
-13,-5,1,0.05,33,1,0.665
-77,-17,1,0.05,33,1,0.609
-84,-3,1,0.05,33,1,0.6
-57,5,1,0.05,33,1,0.787
-127,44,1,0.05,33,1,0.531
-90,-17,1,0.05,33,1,0.497
-87,31,1,0.05,33,1,0.511
-72,-63,1,0.05,33,1,0.48
-69,-1,1,0.05,33,1,0.427
-18,-34,1,0.05,33,1,0.525
-81,-11,1,0.05,33,1,0.562
-106,-30,1,0.05,33,1,0.6
-88,-40,1,0.05,33,1,0.553
-7,-32,1,0.05,33,1,0.605
-112,-62,1,0.05,33,1,0.616
-53,-13,1,0.05,33,1,0.583
-53,-14,1,0.05,33,1,1.708
-73,-33,1,0.05,33,1,0.874
-107,58,1,0.05,33,1,0.674
-68,14,1,0.05,33,1,0.542
-94,-74,1,0.05,33,1,0.56
-71,37,1,0.05,33,1,0.447
-52,-40,1,0.05,33,1,0.562
-63,-16,1,0.05,33,1,0.497
-112,12,1,0.05,33,1,0.553
-108,26,1,0.05,33,1,0.513
-104,-43,1,0.05,33,1,0.643
-71,-11,1,0.05,33,1,0.599
-50,-25,1,0.05,33,1,0.601
-98,8,1,0.05,33,1,0.627
-37,29,1,0.05,33,1,0.636
-82,-3,1,0.05,33,1,0.57
-88,-59,1,0.05,33,1,0.656
-67,-10,1,0.05,33,1,1.006
-67,-6,1,0.05,33,1,0.583
9,-4,2,0.2,33,2,1.522
81,-30,2,0.2,33,2,0.718
117,-44,2,0.2,33,2,0.563
58,16,2,0.2,33,2,0.6
136,-7,2,0.2,33,2,0.745
88,31,2,0.2,33,2,0.64
129,-47,2,0.2,33,2,0.684
-80,35,1,0.2,33,2,0.781
69,-18,2,0.2,33,2,0.517
59,-40,2,0.2,33,2,0.585
15,25,2,0.2,33,2,0.55
79,-10,2,0.2,33,2,0.498
36,3,2,0.2,33,2,0.535
111,-39,2,0.2,33,2,0.474
108,-40,2,0.2,33,2,0.506
-39,-16,1,0.2,33,1,0.697
-113,-14,1,0.2,33,1,0.601
-76,28,1,0.2,33,1,0.531
-46,48,1,0.2,33,1,0.478
-90,-8,1,0.2,33,1,0.574
81,1,2,0.2,33,2,0.569
-47,-29,1,0.2,33,1,0.515
-89,-13,1,0.2,33,1,1.667
83,-18,2,0.2,33,2,0.578
79,-23,2,0.2,33,2,0.559
73,91,2,0.2,33,2,0.513
20,-14,2,0.2,33,2,0.473
38,2,2,0.2,33,2,0.463
-70,-12,1,0.2,33,1,0.871
-70,-57,1,0.2,33,1,0.527
-118,10,1,0.2,33,1,0.539
-135,-13,1,0.2,33,1,0.593
-64,52,1,0.2,33,1,0.411
-80,-6,1,0.2,33,1,0.452
-78,37,1,0.2,33,1,0.518
-25,11,1,0.2,33,1,0.489
-111,-11,1,0.2,33,1,0.413
-28,-27,1,0.2,33,1,0.375
58,3,2,0.2,33,2,0.484
-42,32,1,0.2,33,1,0.576
43,-16,2,0.2,33,2,0.513
16,-52,2,0.2,33,2,0.498
46,-9,2,0.2,33,2,0.486
77,61,2,0.2,33,2,0.523
122,-64,2,0.2,33,2,0.522
98,5,2,0.2,33,2,0.511
85,23,2,0.2,33,2,0.534
83,17,2,0.2,33,2,0.617
-63,-37,1,0.2,33,1,0.574
68,34,2,0.2,33,2,0.587
89,18,2,0.2,33,2,0.6
67,60,2,0.2,33,2,0.58
71,-10,2,0.2,33,2,0.568
-150,-3,1,0.2,33,1,1.162
-65,-21,1,0.2,33,1,0.476
49,1,2,0.2,33,2,0.525
63,-22,2,0.2,33,2,0.431
-92,-26,1,0.2,33,1,0.533
-45,-18,1,0.2,33,1,0.475
-44,34,1,0.2,33,1,0.455
52,14,2,0.2,33,2,0.474
-85,32,1,0.2,33,1,0.423
-31,1,1,0.2,33,1,0.442
-67,3,1,0.2,33,1,0.531
-59,-47,1,0.2,33,1,0.491
-42,-32,1,0.2,33,1,0.491
-149,-6,1,0.2,33,1,0.476
67,-12,2,0.2,33,2,0.468
97,16,2,0.2,33,2,0.465
108,-11,2,0.2,33,2,0.46
51,-105,2,0.2,33,2,0.523
34,-37,2,0.2,33,2,0.384
-48,32,1,0.2,33,1,0.496
114,-26,2,0.2,33,2,0.559
61,3,2,0.2,33,2,0.542
49,-23,2,0.2,33,2,0.484
96,16,2,0.2,33,2,0.537
7,8,2,0.2,33,2,0.7
94,10,2,0.2,33,2,0.435
76,-22,2,0.2,33,2,0.748
