egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
9,-4,2,0.2,33,2,0.135
81,-30,2,0.2,33,2,0.281
117,-44,2,0.2,33,2,0.002
58,16,2,0.2,33,2,0.226
136,-7,2,0.2,33,2,0.072
88,31,2,0.2,33,2,0.152
129,-47,2,0.2,33,2,0.279
-80,35,1,0.2,33,1,0.805
69,-18,2,0.2,33,2,1.467
15,25,2,0.2,33,2,0.141
79,-10,2,0.2,33,2,0.781
36,3,2,0.2,33,2,0.221
111,-39,2,0.2,33,2,1.707
108,-40,2,0.2,33,2,2.538
-39,-16,1,0.2,33,1,0.896
-113,-14,1,0.2,33,1,1.845
-76,28,1,0.2,33,1,1.162
-46,48,1,0.2,33,1,0.533
-90,-8,1,0.2,33,1,0.877
81,1,2,0.2,33,2,0.292
-47,-29,1,0.2,33,1,2.237
-89,-13,1,0.2,33,1,1.733
83,-18,2,0.2,33,2,0.095
79,-23,2,0.2,33,2,0.516
73,91,2,0.2,33,2,2.064
20,-14,2,0.2,33,2,0.582
38,2,2,0.2,33,2,0.854
-70,-12,1,0.2,33,1,0.577
-70,-57,1,0.2,33,1,1.879
-118,10,1,0.2,33,1,1.667
-135,-13,1,0.2,33,1,1.369
-64,52,1,0.2,33,1,3.893
-80,-6,1,0.2,33,1,5.014
-78,37,1,0.2,33,1,2.631
-25,11,1,0.2,33,1,1.579
-111,-11,1,0.2,33,1,1.993
-28,-27,1,0.2,33,1,0.588
58,3,2,0.2,33,2,0.044
-42,32,1,0.2,33,1,0.112
43,-16,2,0.2,33,2,0.024
16,-52,2,0.2,33,2,0.298
46,-9,2,0.2,33,2,0.39
77,61,2,0.2,33,2,0.157
122,-64,2,0.2,33,2,0.356
98,5,2,0.2,33,2,0.322
85,23,2,0.2,33,2,1.205
83,17,2,0.2,33,2,0.661
-63,-37,1,0.2,33,1,1.388
68,34,2,0.2,33,2,0.167
89,18,2,0.2,33,2,0.499
67,60,2,0.2,33,2,0.416
71,-10,2,0.2,33,2,0.224
-150,-3,1,0.2,33,1,0.362
-65,-21,1,0.2,33,1,0.169
49,1,2,0.2,33,2,0.45
63,-22,2,0.2,33,2,0.474
-92,-26,1,0.2,33,1,0.193
-45,-18,1,0.2,33,1,0.199
-44,34,1,0.2,33,1,0.288
52,14,2,0.2,33,2,0.319
-85,32,1,0.2,33,1,0.098
-31,1,1,0.2,33,1,0.502
-67,3,1,0.2,33,1,0.29
-59,-47,1,0.2,33,1,0.234
-42,-32,1,0.2,33,1,0.265
-149,-6,1,0.2,33,1,0.12
67,-12,2,0.2,33,2,0.189
97,16,2,0.2,33,2,0.394
108,-11,2,0.2,33,2,0.042
51,-105,2,0.2,33,2,0.169
34,-37,2,0.2,33,2,0.274
-48,32,1,0.2,33,1,0.244
114,-26,2,0.2,33,2,0.202
61,3,2,0.2,33,2,0.326
49,-23,2,0.2,33,2,0.316
96,16,2,0.2,33,2,0.214
7,8,2,0.2,33,2,0.651
94,10,2,0.2,33,2,0.925
76,-22,2,0.2,33,2,0.496
34,-62,2,0.2,33,2,0.154
-85,-11,1,0.2,33,1,0.103
-114,12,1,0.2,33,1,0.326
-91,-11,1,0.2,33,1,0.269
-28,17,1,0.2,33,1,0.101
23,57,2,0.2,33,2,0.423
38,-2,2,0.2,33,2,0.126
-61,-2,1,0.2,33,1,0.037
-77,3,1,0.2,33,1,0.31
-51,49,1,0.2,33,1,0.408
-74,-9,1,0.2,33,1,0.208
-55,29,1,0.2,33,1,0.214
-134,-14,1,0.2,33,1,0.458
-70,-39,1,0.2,33,1,0.357
-80,-59,1,0.2,33,1,0.383
108,-15,2,0.2,33,2,0.274
-139,-43,1,0.2,33,1,0.095
-54,-14,1,0.2,33,1,0.137
-105,35,1,0.2,33,1,0.389
38,16,2,0.2,33,2,0.245
94,-25,2,0.2,33,2,0.072
-108,24,1,0.2,33,1,0.484
-137,16,1,0.2,33,1,0.157
38,-7,2,0.2,33,2,0.21
33,-27,2,0.2,33,2,0.242
93,18,2,0.2,33,2,0.35
87,-23,2,0.2,33,2,0.144
71,9,2,0.2,33,2,0.039
47,71,2,0.2,33,2,0.274
62,1,2,0.2,33,2,0.224
-70,-12,1,0.2,33,1,0.538
-103,-10,1,0.2,33,1,0.435
-36,4,1,0.2,33,1,0.452
-68,31,1,0.2,33,1,0.424
81,-24,2,0.2,33,2,0.323
-36,36,1,0.2,33,1,0.17
63,12,2,0.2,33,2,0.4
100,-7,2,0.2,33,2,0.506
-133,23,1,0.2,33,1,0.323
-52,22,1,0.2,33,1,0.546
-100,-29,1,0.2,33,1,1.173
-97,-25,1,0.2,33,1,0.43
-65,-47,1,0.2,33,1,0.012
-77,-26,1,0.2,33,1,0.579
-67,-16,1,0.2,33,1,0.024
