egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
9,-4,2,0.2,33,2,0.024
81,-30,2,0.2,33,2,0.024
117,-44,2,0.2,33,2,0
58,16,2,0.2,33,2,0.01
136,-7,2,0.2,33,2,0.027
88,31,2,0.2,33,2,0.011
129,-47,2,0.2,33,2,0
-80,35,1,0.2,33,1,0
69,-18,2,0.2,33,2,0
15,25,2,0.2,33,2,0
79,-10,2,0.2,33,2,0
36,3,2,0.2,33,2,0.025
111,-39,2,0.2,33,2,0
108,-40,2,0.2,33,2,0.024
-39,-16,1,0.2,33,1,0.01
-113,-14,1,0.2,33,1,0.01
-76,28,1,0.2,33,1,0.024
-46,48,1,0.2,33,1,0
-90,-8,1,0.2,33,1,0.01
81,1,2,0.2,33,2,0
-47,-29,1,0.2,33,1,0
-89,-13,1,0.2,33,1,0.01
83,-18,2,0.2,33,2,0.01
79,-23,2,0.2,33,2,0.01
73,91,2,0.2,33,2,0.024
20,-14,2,0.2,33,2,0
38,2,2,0.2,33,2,0.01
-70,-12,1,0.2,33,1,0.01
-70,-57,1,0.2,33,1,0.01
-118,10,1,0.2,33,1,0.024
-135,-13,1,0.2,33,1,0.01
-64,52,1,0.2,33,1,0.011
-80,-6,1,0.2,33,1,0.01
-78,37,1,0.2,33,1,0.024
-25,11,1,0.2,33,1,0.02
-111,-11,1,0.2,33,1,0.024
-28,-27,1,0.2,33,1,0
58,3,2,0.2,33,2,0.01
-42,32,1,0.2,33,1,0.01
43,-16,2,0.2,33,2,0
16,-52,2,0.2,33,2,0.012
46,-9,2,0.2,33,2,0.01
77,61,2,0.2,33,2,0
122,-64,2,0.2,33,2,0.011
98,5,2,0.2,33,2,0.025
85,23,2,0.2,33,2,0.024
83,17,2,0.2,33,2,0.01
-63,-37,1,0.2,33,1,0.01
68,34,2,0.2,33,2,0
89,18,2,0.2,33,2,0.024
67,60,2,0.2,33,2,0.01
71,-10,2,0.2,33,2,0
-150,-3,1,0.2,33,1,0.01
-65,-21,1,0.2,33,1,0.01
49,1,2,0.2,33,2,0.024
63,-22,2,0.2,33,2,0.025
-92,-26,1,0.2,33,1,0
-45,-18,1,0.2,33,1,0.024
-44,34,1,0.2,33,1,0.023
52,14,2,0.2,33,2,0
-85,32,1,0.2,33,1,0
-31,1,1,0.2,33,1,0
-67,3,1,0.2,33,1,0
-59,-47,1,0.2,33,1,0
-42,-32,1,0.2,33,1,0
-149,-6,1,0.2,33,1,0
67,-12,2,0.2,33,2,0
97,16,2,0.2,33,2,0.019
108,-11,2,0.2,33,2,0
51,-105,2,0.2,33,2,0.01
34,-37,2,0.2,33,2,0
-48,32,1,0.2,33,1,0.011
114,-26,2,0.2,33,2,0
61,3,2,0.2,33,2,0.01
49,-23,2,0.2,33,2,0.01
96,16,2,0.2,33,2,0
7,8,2,0.2,33,2,0.024
94,10,2,0.2,33,2,0
76,-22,2,0.2,33,2,0.016
34,-62,2,0.2,33,2,0
-85,-11,1,0.2,33,1,0
-114,12,1,0.2,33,1,0
-91,-11,1,0.2,33,1,0.01
-28,17,1,0.2,33,1,0.025
23,57,2,0.2,33,2,0
38,-2,2,0.2,33,2,0
-61,-2,1,0.2,33,1,0.024
-77,3,1,0.2,33,1,0
-51,49,1,0.2,33,1,0
-74,-9,1,0.2,33,1,0
-55,29,1,0.2,33,1,0
-134,-14,1,0.2,33,1,0.01
-70,-39,1,0.2,33,1,0.02
-80,-59,1,0.2,33,1,0.024
108,-15,2,0.2,33,2,0.01
-139,-43,1,0.2,33,1,0.011
-54,-14,1,0.2,33,1,0
-105,35,1,0.2,33,1,0.024
38,16,2,0.2,33,2,0
94,-25,2,0.2,33,2,0
-108,24,1,0.2,33,1,0.024
-137,16,1,0.2,33,1,0.009
38,-7,2,0.2,33,2,0.023
33,-27,2,0.2,33,2,0.024
93,18,2,0.2,33,2,0
87,-23,2,0.2,33,2,0.024
71,9,2,0.2,33,2,0.025
47,71,2,0.2,33,2,0.024
62,1,2,0.2,33,2,0.024
-70,-12,1,0.2,33,1,0.025
-103,-10,1,0.2,33,1,0
-36,4,1,0.2,33,1,0
-68,31,1,0.2,33,1,0.01
81,-24,2,0.2,33,2,0
-36,36,1,0.2,33,1,0.01
63,12,2,0.2,33,2,0.024
100,-7,2,0.2,33,2,0
-133,23,1,0.2,33,1,0
-52,22,1,0.2,33,1,0.016
-100,-29,1,0.2,33,1,0.01
-97,-25,1,0.2,33,1,0
