egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
9,-4,2,0.2,33,2,1.804
81,-30,2,0.2,33,2,1.56
117,-44,2,0.2,33,2,0.813
58,16,2,0.2,33,2,0.042
136,-7,2,0.2,33,2,0.128
88,31,2,0.2,33,2,0.367
129,-47,2,0.2,33,2,0.668
-80,35,1,0.2,33,1,0.038
69,-18,2,0.2,33,2,0.867
15,25,2,0.2,33,2,0.307
79,-10,2,0.2,33,2,0.409
36,3,2,0.2,33,2,0.185
111,-39,2,0.2,33,2,0.193
108,-40,2,0.2,33,2,0.485
-39,-16,1,0.2,33,1,0.306
-113,-14,1,0.2,33,1,0.087
-76,28,1,0.2,33,1,0.214
-46,48,1,0.2,33,1,0.259
-90,-8,1,0.2,33,1,0.263
81,1,2,0.2,33,1,0.131
-47,-29,1,0.2,33,2,0.034
-89,-13,1,0.2,33,2,0.446
83,-18,2,0.2,33,1,0.623
79,-23,2,0.2,33,2,2.432
73,91,2,0.2,33,2,1.967
20,-14,2,0.2,33,2,0.815
38,2,2,0.2,33,2,0.848
-70,-12,1,0.2,33,1,0.859
-70,-57,1,0.2,33,1,1.204
-118,10,1,0.2,33,1,0.667
-135,-13,1,0.2,33,1,1.667
-64,52,1,0.2,33,1,1.567
-80,-6,1,0.2,33,1,1.075
-78,37,1,0.2,33,1,0.46
-25,11,1,0.2,33,1,0.63
-111,-11,1,0.2,33,1,0.677
-28,-27,1,0.2,33,1,0.56
58,3,2,0.2,33,2,0.827
-42,32,1,0.2,33,1,0.027
43,-16,2,0.2,33,2,0.622
16,-52,2,0.2,33,2,1.169
46,-9,2,0.2,33,2,0.799
77,61,2,0.2,33,2,0.705
122,-64,2,0.2,33,2,1.795
98,5,2,0.2,33,2,0.311
85,23,2,0.2,33,2,0.615
83,17,2,0.2,33,2,0.649
-63,-37,1,0.2,33,1,0.784
68,34,2,0.2,33,2,0.345
89,18,2,0.2,33,2,0.552
67,60,2,0.2,33,2,0.213
71,-10,2,0.2,33,2,0.198
-150,-3,1,0.2,33,1,0.241
-65,-21,1,0.2,33,1,0.383
49,1,2,0.2,33,2,0.897
63,-22,2,0.2,33,2,1.051
-92,-26,1,0.2,33,1,0.028
-45,-18,1,0.2,33,1,1.092
-44,34,1,0.2,33,1,0.726
52,14,2,0.2,33,2,1.448
-85,32,1,0.2,33,1,0.341
-31,1,1,0.2,33,1,0.175
-67,3,1,0.2,33,1,0.765
-59,-47,1,0.2,33,1,0.257
-42,-32,1,0.2,33,1,0.369
-149,-6,1,0.2,33,1,0.86
67,-12,2,0.2,33,2,0.523
97,16,2,0.2,33,2,0.028
108,-11,2,0.2,33,2,0.334
51,-105,2,0.2,33,2,0.105
34,-37,2,0.2,33,2,0.218
-48,32,1,0.2,33,1,0.48
114,-26,2,0.2,33,2,0.239
61,3,2,0.2,33,2,0.062
49,-23,2,0.2,33,2,0.048
96,16,2,0.2,33,2,0.245
7,8,2,0.2,33,2,0.407
94,10,2,0.2,33,2,0.269
76,-22,2,0.2,33,2,0.032
34,-62,2,0.2,33,2,0.101
-85,-11,1,0.2,33,1,0.163
-114,12,1,0.2,33,1,0.251
-91,-11,1,0.2,33,1,0.043
-28,17,1,0.2,33,1,0.054
23,57,2,0.2,33,2,0.263
38,-2,2,0.2,33,2,0.67
-61,-2,1,0.2,33,1,0.122
-77,3,1,0.2,33,1,0.203
-51,49,1,0.2,33,1,0.147
