egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
9,-4,2,0.2,33,2,0.671
81,-30,2,0.2,33,2,0.589
117,-44,2,0.2,33,2,0.557
58,16,2,0.2,33,2,0.57
136,-7,2,0.2,33,2,0.748
88,31,2,0.2,33,2,0.311
129,-47,2,0.2,33,2,0.426
-80,35,1,0.2,33,1,0.381
69,-18,2,0.2,33,2,0.656
15,25,2,0.2,33,2,0.645
79,-10,2,0.2,33,2,0.686
36,3,2,0.2,33,2,0.634
111,-39,2,0.2,33,2,0.683
108,-40,2,0.2,33,2,0.688
-39,-16,1,0.2,33,1,0.165
-113,-14,1,0.2,33,1,0.726
-76,28,1,0.2,33,1,0.201
-46,48,1,0.2,33,1,0.542
-90,-8,1,0.2,33,1,0.532
81,1,2,0.2,33,2,0.6
-47,-29,1,0.2,33,1,0.613
-89,-13,1,0.2,33,1,0.655
83,-18,2,0.2,33,2,0.701
79,-23,2,0.2,33,2,0.645
73,91,2,0.2,33,2,0.645
20,-14,2,0.2,33,2,0.655
38,2,2,0.2,33,2,0.7
-70,-12,1,0.2,33,1,0.643
-70,-57,1,0.2,33,1,0.628
-118,10,1,0.2,33,1,0.62
-135,-13,1,0.2,33,1,0.58
-64,52,1,0.2,33,1,0.77
-80,-6,1,0.2,33,1,0.798
-78,37,1,0.2,33,1,0.727
-25,11,1,0.2,33,1,0.82
-111,-11,1,0.2,33,1,0.668
-28,-27,1,0.2,33,1,0.775
58,3,2,0.2,33,2,0.642
-42,32,1,0.2,33,1,0.743
43,-16,2,0.2,33,2,0.651
16,-52,2,0.2,33,2,0.552
46,-9,2,0.2,33,2,0.604
77,61,2,0.2,33,2,0.737
122,-64,2,0.2,33,2,0.516
98,5,2,0.2,33,2,0.809
85,23,2,0.2,33,2,0.369
83,17,2,0.2,33,2,0.674
-63,-37,1,0.2,33,1,0.71
68,34,2,0.2,33,2,0.663
89,18,2,0.2,33,2,0.694
67,60,2,0.2,33,2,0.674
71,-10,2,0.2,33,2,1.588
-150,-3,1,0.2,33,1,0.805
-65,-21,1,0.2,33,1,0.657
49,1,2,0.2,33,2,0.407
63,-22,2,0.2,33,2,0.77
