egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-42,-36,1,0.05,33,1,1.173
-125,9,1,0.05,33,1,0.17
-21,-19,1,0.05,33,1,1.118
-89,-80,1,0.05,33,1,0.511
-104,42,1,0.05,33,1,0.634
-78,-22,1,0.05,33,1,0.49
54,49,2,0.05,33,2,0.529
61,-15,2,0.05,33,2,0.461
147,73,2,0.05,33,2,0.71
124,24,2,0.05,33,2,0.575
114,-31,2,0.05,33,2,0.546
54,-41,2,0.05,33,2,0.163
28,30,2,0.05,33,2,0.073
-103,-5,1,0.05,33,1,0.23
-167,-8,1,0.05,33,1,0.317
-98,-58,1,0.05,33,1,0.269
-81,31,1,0.05,33,1,0.389
-52,1,1,0.05,33,1,0.203
-66,-29,1,0.05,33,1,0.116
-132,-27,1,0.05,33,1,0.027
-56,-13,1,0.05,33,1,0.068
-75,11,1,0.05,33,1,0.337
-61,79,1,0.05,33,1,0.184
-1,32,1,0.05,33,2,7.775
41,-43,2,0.05,33,2,0.099
49,58,2,0.05,33,2,17.815
110,1,2,0.05,33,2,1.763
133,29,2,0.05,33,2,5.197
110,49,2,0.05,33,2,1.7
101,-25,2,0.05,33,2,22.474
31,10,2,0.05,33,2,0.237
102,47,2,0.05,33,2,0.019
67,2,2,0.05,33,2,0.245
82,-40,2,0.05,33,2,0.179
48,15,2,0.05,33,2,0.231
39,38,2,0.05,33,2,0.109
109,-70,2,0.05,33,2,0.108
71,-13,2,0.05,33,2,0.231
22,-28,2,0.05,33,2,0.216
52,41,2,0.05,33,2,0.32
102,55,2,0.05,33,2,0.22
39,-10,2,0.05,33,2,0.412
35,-24,2,0.05,33,2,0.073
80,69,2,0.05,33,2,0.417
33,38,2,0.05,33,2,0.195
114,6,2,0.05,33,2,0.219
109,-11,2,0.05,33,2,0.251
-120,-36,1,0.05,33,1,0.402
-88,13,1,0.05,33,1,0.328
-140,21,1,0.05,33,1,0.379
11,24,1,0.05,33,2,0.244
-74,-1,1,0.05,33,1,0.14
-136,6,1,0.05,33,1,0.369
-128,14,1,0.05,33,1,0.361
-34,-14,1,0.05,33,1,0.308
-58,-24,1,0.05,33,1,0.101
-66,33,1,0.05,33,1,0.25
-86,-45,1,0.05,33,1,0.409
-142,65,1,0.05,33,1,0.055
-93,-9,1,0.05,33,1,0.18
-50,4,1,0.05,33,1,0.039
-84,53,1,0.05,33,1,0.125
-59,27,1,0.05,33,1,0.228
56,16,2,0.05,33,2,0.158
39,-33,2,0.05,33,2,0.098
86,-25,2,0.05,33,2,0.544
86,25,2,0.05,33,2,0.182
135,-18,2,0.05,33,2,0.123
63,50,2,0.05,33,2,0.102
79,-27,2,0.05,33,2,0.217
86,42,2,0.05,33,2,0.273
68,18,2,0.05,33,2,0.204
126,15,2,0.05,33,2,0.09
80,-8,2,0.05,33,2,0.187
84,8,2,0.05,33,2,0.085
13,-47,2,0.05,33,2,0.015
81,-34,2,0.05,33,2,0.114
57,18,2,0.05,33,2,0.178
70,45,2,0.05,33,2,0.203
-81,1,1,0.05,33,1,0.089
-52,4,1,0.05,33,1,0.099
-105,22,1,0.05,33,1,0.21
-111,50,1,0.05,33,1,0.202
-84,3,1,0.05,33,1,0.376
-77,-35,1,0.05,33,1,0.038
-73,-24,1,0.05,33,1,0.261
-26,13,1,0.05,33,1,0.172
-95,10,1,0.05,33,1,0.414
-70,-13,1,0.05,33,1,0.381
-27,3,1,0.05,33,1,0.269
-87,46,1,0.05,33,1,0.389
-159,-18,1,0.05,33,1,0.232
43,-18,2,0.05,33,2,0.439
88,-12,2,0.05,33,2,0.087
74,6,2,0.05,33,2,0.385
71,7,2,0.05,33,2,0.012
-32,7,2,0.05,33,1,0.452
71,-9,2,0.05,33,2,0.164
68,-11,2,0.05,33,2,0.106
55,23,2,0.05,33,2,0.437
98,73,2,0.05,33,2,0.027
68,1,2,0.05,33,2,0.245
45,-3,2,0.05,33,2,0.187
84,-3,2,0.05,33,2,0.05
94,19,2,0.05,33,2,0.271
28,-9,2,0.05,33,2,0.297
128,-22,2,0.05,33,2,0.346
87,30,2,0.05,33,2,0.358
75,-25,2,0.05,33,2,0.183
57,-41,2,0.05,33,2,0.163
63,-8,2,0.05,33,2,0.309
28,32,2,0.05,33,2,0.086
30,-29,2,0.05,33,2,0.251
79,-41,2,0.05,33,2,0.379
100,-53,2,0.05,33,2,0.286
77,-8,2,0.05,33,2,0.291
61,11,2,0.05,33,2,0.12
69,34,2,0.05,33,2,0.052
68,20,2,0.05,33,2,0.201
84,10,2,0.05,33,2,0.263
43,8,2,0.05,33,2,0.142
64,14,2,0.05,33,2,0.045
4,21,2,0.05,33,2,0.02
87,-48,2,0.05,33,2,0.068
103,61,2,0.05,33,2,0.38
19,-23,2,0.05,33,2,0.197
72,25,2,0.05,33,2,0.057
79,19,2,0.05,33,2,0.012
173,1,2,0.05,33,2,0.103
70,1,2,0.05,33,2,0.358
56,-4,2,0.05,33,2,0.086
63,33,2,0.05,33,2,0.38
84,21,2,0.05,33,2,0.285
89,40,2,0.05,33,2,0.464
31,-40,2,0.05,33,2,0.099
55,46,2,0.05,33,2,0.181
53,-44,2,0.05,33,2,0.107
-122,42,1,0.05,33,1,0.648
-97,-29,1,0.05,33,1,0.32
-114,-41,1,0.05,33,1,0.565
-90,-50,1,0.05,33,1,0.444
-98,-12,1,0.05,33,1,0.221
-34,-55,1,0.05,33,1,0.261
-66,-44,1,0.05,33,1,0.149
-53,-35,1,0.05,33,1,0.388
-104,32,1,0.05,33,1,0.178
-52,-63,1,0.05,33,1,0.326
-61,62,1,0.05,33,1,0.156
-48,5,1,0.05,33,1,0.291
-102,25,1,0.05,33,1,0.172
-55,-22,1,0.05,33,1,0.43
-32,-5,1,0.05,33,1,0.368
-50,-23,1,0.05,33,1,0.312
-79,11,1,0.05,33,1,0.166
-53,39,1,0.05,33,1,0.17
-54,-33,1,0.05,33,1,0.282
-79,45,1,0.05,33,1,0.282
-97,-8,1,0.05,33,1,0.175
-52,1,1,0.05,33,1,0.555
-119,-27,1,0.05,33,1,0.557
-121,-12,1,0.05,33,1,0.412
-89,17,1,0.05,33,1,0.418
-87,-58,1,0.05,33,1,0.888
-60,-6,1,0.05,33,1,2.125
-13,-5,1,0.05,33,1,0.27
-77,-17,1,0.05,33,1,0.359
-84,-3,1,0.05,33,1,0.573
-57,5,1,0.05,33,1,0.265
-127,44,1,0.05,33,1,0.247
-90,-17,1,0.05,33,1,0.387
-87,31,1,0.05,33,1,5.514
-72,-63,1,0.05,33,1,0.232
-69,-1,1,0.05,33,1,0.414
-18,-34,1,0.05,33,1,0.162
-81,-11,1,0.05,33,1,0.305
-106,-30,1,0.05,33,1,0.409
-88,-40,1,0.05,33,1,0.302
-7,-32,1,0.05,33,1,0.235
-112,-62,1,0.05,33,1,0.418
-53,-13,1,0.05,33,1,0.19
-53,-14,1,0.05,33,1,0.308
-73,-33,1,0.05,33,1,0.341
-107,58,1,0.05,33,1,0.256
-68,14,1,0.05,33,1,0.464
-94,-74,1,0.05,33,1,0.288
-71,37,1,0.05,33,1,0.348
-52,-40,1,0.05,33,1,0.215
-63,-16,1,0.05,33,1,0.38
-112,12,1,0.05,33,1,0.209
-108,26,1,0.05,33,1,0.315
-104,-43,1,0.05,33,1,0.261
-71,-11,1,0.05,33,1,0.191
-50,-25,1,0.05,33,1,0.238
-98,8,1,0.05,33,1,0.104
