egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
9,-4,2,0.2,33,2,2.827
81,-30,2,0.2,33,2,0.437
117,-44,2,0.2,33,2,0.497
58,16,2,0.2,33,2,2.192
136,-7,2,0.2,33,2,0.254
88,31,2,0.2,33,2,0.301
129,-47,2,0.2,33,2,0.269
-80,35,1,0.2,33,1,0.266
69,-18,2,0.2,33,2,0.376
15,25,2,0.2,33,2,0.466
79,-10,2,0.2,33,2,5.222
36,3,2,0.2,33,2,0.519
111,-39,2,0.2,33,2,0.557
108,-40,2,0.2,33,2,0.066
-39,-16,1,0.2,33,1,0.041
-113,-14,1,0.2,33,1,0.576
-76,28,1,0.2,33,1,0.274
-46,48,1,0.2,33,1,0.196
-90,-8,1,0.2,33,1,0.069
81,1,2,0.2,33,2,0.329
-47,-29,1,0.2,33,1,0.238
-89,-13,1,0.2,33,1,0.131
83,-18,2,0.2,33,2,0.116
79,-23,2,0.2,33,2,0.513
73,91,2,0.2,33,2,0.047
20,-14,2,0.2,33,2,0.135
38,2,2,0.2,33,2,0.435
-70,-12,1,0.2,33,1,0.15
-70,-57,1,0.2,33,1,0.098
-118,10,1,0.2,33,1,0.106
-135,-13,1,0.2,33,1,0.262
-64,52,1,0.2,33,1,0.099
-80,-6,1,0.2,33,1,0.101
-78,37,1,0.2,33,1,0.279
-25,11,1,0.2,33,1,1.124
-111,-11,1,0.2,33,1,33.387
-28,-27,1,0.2,33,1,0.883
58,3,2,0.2,33,2,0.603
-42,32,1,0.2,33,1,0.329
43,-16,2,0.2,33,2,0.629
16,-52,2,0.2,33,2,1.143
46,-9,2,0.2,33,2,0.293
77,61,2,0.2,33,2,0.697
122,-64,2,0.2,33,2,0.229
98,5,2,0.2,33,2,0.281
85,23,2,0.2,33,2,0.185
83,17,2,0.2,33,2,0.245
-63,-37,1,0.2,33,1,0.073
68,34,2,0.2,33,2,0.023
89,18,2,0.2,33,2,0.351
67,60,2,0.2,33,2,0.358
71,-10,2,0.2,33,2,0.225
-150,-3,1,0.2,33,1,0.1
-65,-21,1,0.2,33,1,0.364
49,1,2,0.2,33,2,0.046
63,-22,2,0.2,33,2,0.399
-92,-26,1,0.2,33,1,0.263
-45,-18,1,0.2,33,1,0.113
-44,34,1,0.2,33,1,0.16
52,14,2,0.2,33,2,0.259
-85,32,1,0.2,33,1,0.116
-31,1,1,0.2,33,1,0.249
-67,3,1,0.2,33,1,0.295
-59,-47,1,0.2,33,1,0.459
-42,-32,1,0.2,33,1,0.443
-149,-6,1,0.2,33,1,0.18
67,-12,2,0.2,33,2,0.465
97,16,2,0.2,33,2,0.448
108,-11,2,0.2,33,2,0.115
51,-105,2,0.2,33,2,0.032
34,-37,2,0.2,33,2,0.173
-48,32,1,0.2,33,1,0.438
114,-26,2,0.2,33,2,0.304
61,3,2,0.2,33,2,0.364
49,-23,2,0.2,33,2,0.008
96,16,2,0.2,33,2,0.408
7,8,2,0.2,33,2,0.731
94,10,2,0.2,33,2,0.421
76,-22,2,0.2,33,2,0.448
34,-62,2,0.2,33,2,0.119
-85,-11,1,0.2,33,1,0.104
-114,12,1,0.2,33,1,0.253
-91,-11,1,0.2,33,1,0.241
-28,17,1,0.2,33,1,0.502
23,57,2,0.2,33,2,0.376
38,-2,2,0.2,33,2,0.082
-61,-2,1,0.2,33,1,0.101
-77,3,1,0.2,33,1,0.241
-51,49,1,0.2,33,1,0.508
-74,-9,1,0.2,33,1,0.369
-55,29,1,0.2,33,1,0.265
-134,-14,1,0.2,33,1,0.351
-70,-39,1,0.2,33,1,0.379
-80,-59,1,0.2,33,1,0.354
108,-15,2,0.2,33,2,0.359
-139,-43,1,0.2,33,1,0.339
-54,-14,1,0.2,33,1,0.205
-105,35,1,0.2,33,1,0.206
38,16,2,0.2,33,2,0.052
94,-25,2,0.2,33,2,0.021
-108,24,1,0.2,33,1,0.176
-137,16,1,0.2,33,1,0.099
38,-7,2,0.2,33,2,0.143
