egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-243,-248,1,0.95,140,1,0.276
196,153,2,0.95,140,2,0.08
12,-213,2,0.95,140,1,1.304
-20,65,1,0.95,140,1,0.599
111,-228,2,0.95,140,2,0.873
93,-85,1,0.95,140,2,0.385
-25,-28,1,0.95,140,1,0.438
168,-15,2,0.95,140,2,0.175
19,-108,1,0.95,140,2,0.462
-150,222,1,0.95,140,1,1.869
188,81,2,0.95,140,2,0.23
30,83,1,0.95,140,2,0.115
-1,59,2,0.95,140,1,0.839
44,29,1,0.95,140,2,0.498
-78,65,2,0.95,140,1,0.206
-132,-123,1,0.95,140,1,0.16
97,-29,2,0.95,140,2,0.013
186,-137,2,0.95,140,2,1.379
-1,-260,1,0.95,140,1,0.218
165,71,2,0.95,140,2,0.402
-264,-380,1,0.95,140,1,0.032
99,-49,2,0.95,140,2,0.827
-189,-11,1,0.95,140,1,0.388
120,180,2,0.95,140,2,0.485
-213,-55,1,0.95,140,1,1.547
251,10,2,0.95,140,2,0.068
-79,5,1,0.95,140,1,0.146
92,9,2,0.95,140,2,0.022
-211,-33,1,0.95,140,1,0.683
14,214,1,0.95,140,2,0.1
145,296,2,0.95,140,2,0.022
-207,-32,1,0.95,140,1,0.578
-86,-46,2,0.95,140,1,0.163
-77,294,1,0.95,140,1,0.593
210,110,2,0.95,140,2,0.389
282,151,1,0.95,140,2,0.556
50,-13,2,0.95,140,2,0.967
30,23,1,0.95,140,2,0.152
37,25,2,0.95,140,2,0.434
-183,-100,1,0.95,140,1,0.541
-65,38,2,0.95,140,1,0.246
-59,-254,1,0.95,140,1,1.137
168,163,2,0.95,140,2,0.049
-19,-3,1,0.95,140,1,0.206
-22,-231,2,0.95,140,1,0.343
91,235,1,0.95,140,2,0.552
321,-100,2,0.95,140,2,0.294
-190,-101,1,0.95,140,1,0.435
258,215,2,0.95,140,2,0.039
68,-82,2,0.95,140,2,0.634
-4,-48,1,0.95,140,1,0.196
150,219,2,0.95,140,2,0.132
-263,-16,1,0.95,140,1,0.542
-96,109,2,0.95,140,1,0.073
59,-26,1,0.95,140,2,0.395
192,114,2,0.95,140,2,0.024
-55,98,1,0.95,140,1,0.006
88,42,2,0.95,140,2,0.435
1,68,1,0.95,140,1,0.321
147,19,2,0.95,140,2,0.23
-118,-96,1,0.95,140,1,0.513
344,32,2,0.95,140,2,0.156
-94,74,1,0.95,140,1,0.406
179,-31,2,0.95,140,2,0.237
14,-14,1,0.95,140,1,0.997
-99,72,2,0.95,140,1,0.547
-10,66,1,0.95,140,2,0.272
-42,112,2,0.95,140,1,0.015
-98,153,1,0.95,140,1,0.537
320,278,2,0.95,140,2,0.377
-267,-85,1,0.95,140,1,0.07
-40,98,2,0.95,140,1,0.287
-1,161,1,0.95,140,2,0.914
184,-204,2,0.95,140,2,0.127
-17,19,1,0.95,140,1,0.071
57,213,2,0.95,140,2,0.475
-159,106,1,0.95,140,1,0.424
44,-80,2,0.95,140,2,0.231
5,-87,1,0.95,140,1,0.151
191,-185,2,0.95,140,2,0.298
-22,-107,1,0.95,140,1,0.207
142,-166,2,0.95,140,2,0.457
-74,152,1,0.95,140,1,0.413
55,217,2,0.95,140,2,0.398
-205,58,1,0.95,140,1,0.16
-5,61,2,0.95,140,1,0.14
146,-101,1,0.95,140,2,0.535
59,-178,2,0.95,140,2,0.091
-42,100,1,0.95,140,1,0.098
160,-259,2,0.95,140,2,0.725
-137,-193,1,0.95,140,1,0.527
-334,-34,2,0.95,140,1,0.428
18,-15,1,0.95,140,2,0.059
101,-24,2,0.95,140,2,0.016
83,317,1,0.95,140,2,0.023
437,8,2,0.95,140,2,0.164
-2,-89,1,0.95,140,1,0.4
131,-221,2,0.95,140,2,0.539
-66,-16,1,0.95,140,1,0.227
114,52,2,0.95,140,2,0.25
-129,-150,1,0.95,140,1,0.354
-125,1,2,0.95,140,1,0.44
189,112,1,0.95,140,2,0.206
1,42,2,0.95,140,2,0.426
-138,-322,2,0.95,140,1,0.23
102,47,1,0.95,140,2,0.516
-133,-31,2,0.95,140,1,0.159
-5,-122,2,0.95,140,1,0.193
-118,-271,1,0.95,140,1,0.58
-160,125,2,0.95,140,1,0.396
-358,-78,1,0.95,140,1,0.226
54,-115,2,0.95,140,2,2.72
-11,143,1,0.95,140,1,0.457
88,-166,2,0.95,140,2,0.487
-77,-47,1,0.95,140,1,1.456
119,-28,2,0.95,140,2,0.557
46,25,1,0.95,140,2,1.03
312,16,2,0.95,140,2,0.055
132,73,1,0.95,140,2,0.115
-19,101,2,0.95,140,1,0.277
91,174,1,0.95,140,2,1.531
-2,-380,2,0.95,140,1,0.601
73,202,1,0.95,140,2,0.478
195,-204,2,0.95,140,2,0.5
10,242,1,0.95,140,2,0.129
-35,-207,2,0.95,140,1,0.292
-105,56,1,0.95,140,1,0.267
27,179,1,0.95,140,2,0.017
218,275,2,0.95,140,2,0.346
-119,77,1,0.95,140,1,0.307
76,197,2,0.95,140,2,0.46
-68,-144,1,0.95,140,1,0.103
-64,-13,2,0.95,140,1,0.129
-95,116,1,0.95,140,1,0.106
-34,55,2,0.95,140,1,0.151
33,-23,1,0.95,140,2,0.337
24,-35,2,0.95,140,1,0.072
-31,306,1,0.95,140,1,0.504
179,103,2,0.95,140,2,0.344
-1,14,1,0.95,140,2,0.256
278,-136,2,0.95,140,2,0.411
-48,175,1,0.95,140,1,0.1
-99,1,2,0.95,140,1,0.445
-111,144,1,0.95,140,1,0.824
-127,85,2,0.95,140,1,0.677
-100,88,1,0.95,140,1,0.627
-123,2,2,0.95,140,1,0.816
-161,95,1,0.95,140,1,0.579
188,-7,2,0.95,140,2,0.927
203,-12,1,0.95,140,2,0.668
109,-126,2,0.95,140,2,0.146
-218,58,1,0.95,140,1,0.693
48,12,2,0.95,140,2,0.329
-11,32,1,0.95,140,1,0.725
115,196,2,0.95,140,2,0.364
135,77,1,0.95,140,2,0.722
38,-222,2,0.95,140,2,0.08
-293,5,1,0.95,140,1,0.397
-255,11,2,0.95,140,1,0.133
-282,99,1,0.95,140,1,0.732
148,-175,2,0.95,140,2,0.865
213,-233,1,0.95,140,2,0.607
61,16,2,0.95,140,2,0.208
-86,168,1,0.95,140,1,0.485
-97,34,1,0.95,140,1,0.168
127,-70,2,0.95,140,2,0.161
-253,74,1,0.95,140,1,0.417
-17,-123,2,0.95,140,1,0.501
-27,-4,1,0.95,140,2,0.468
114,302,2,0.95,140,2,0.822
-175,-24,1,0.95,140,1,0.031
73,138,2,0.95,140,2,0.255
-75,48,1,0.95,140,1,0.001
142,77,2,0.95,140,2,0.88
-74,52,1,0.95,140,1,0.552
129,13,2,0.95,140,2,0.065
-80,-269,1,0.95,140,1,0.478
-142,137,1,0.95,140,1,0.044
-119,-293,2,0.95,140,1,2.11
-176,11,1,0.95,140,1,2.438
72,19,2,0.95,140,2,0.154
-203,-66,1,0.95,140,1,0.471
85,27,2,0.95,140,2,0.698
47,-17,1,0.95,140,2,0.193
-8,28,2,0.95,140,2,0.262
-84,-50,1,0.95,140,1,0.463
262,17,2,0.95,140,2,0.757
-141,236,1,0.95,140,1,3.017
-1,-143,2,0.95,140,1,0.288
42,59,1,0.95,140,2,0.246
-53,-57,2,0.95,140,1,81.498
12,54,1,0.95,140,2,1.64
-14,145,2,0.95,140,2,0.463
-303,46,1,0.95,140,1,0.3
176,-15,2,0.95,140,2,0.107
-33,208,1,0.95,140,1,0.094
-122,-34,2,0.95,140,1,0.726
13,32,1,0.95,140,1,0.645
109,142,2,0.95,140,2,0.385
-149,215,1,0.05,140,1,0.455
-258,-69,1,0.05,140,1,0.259
