egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-42,-36,1,0.05,33,1,1.355
-125,9,1,0.05,33,1,1.163
-21,-19,1,0.05,33,1,0.113
-89,-80,1,0.05,33,1,0.448
-104,42,1,0.05,33,1,0.62
-78,-22,1,0.05,33,1,1.141
54,49,2,0.05,33,2,0.448
61,-15,2,0.05,33,2,0.426
147,73,2,0.05,33,2,0.463
124,24,2,0.05,33,2,0.645
114,-31,2,0.05,33,2,0.549
54,-41,2,0.05,33,2,0.73
28,30,2,0.05,33,2,0.865
-103,-5,1,0.05,33,1,0.768
-167,-8,1,0.05,33,1,0.98
-98,-58,1,0.05,33,1,0.319
-81,31,1,0.05,33,1,0.224
-52,1,1,0.05,33,1,0.21
-66,-29,1,0.05,33,1,3.565
-132,-27,1,0.05,33,1,0.205
-56,-13,1,0.05,33,1,0.532
-75,11,1,0.05,33,1,1.182
-61,79,1,0.05,33,1,0.321
-1,32,1,0.05,33,1,0.937
41,-43,2,0.05,33,2,1.152
49,58,2,0.05,33,2,0.7
110,1,2,0.05,33,2,0.228
133,29,2,0.05,33,2,0.041
110,49,2,0.05,33,2,0.112
101,-25,2,0.05,33,2,0.04
31,10,2,0.05,33,2,1.175
102,47,2,0.05,33,2,0.688
67,2,2,0.05,33,2,0.769
82,-40,2,0.05,33,2,0.371
48,15,2,0.05,33,2,0.937
39,38,2,0.05,33,2,1.307
109,-70,2,0.05,33,2,0.948
71,-13,2,0.05,33,2,0.884
22,-28,2,0.05,33,2,2.286
52,41,2,0.05,33,2,1.688
102,55,2,0.05,33,2,0.859
39,-10,2,0.05,33,2,0.228
35,-24,2,0.05,33,2,0.561
80,69,2,0.05,33,2,1.997
33,38,2,0.05,33,2,1.986
114,6,2,0.05,33,2,0.962
109,-11,2,0.05,33,2,0.179
-120,-36,1,0.05,33,1,0.269
-88,13,1,0.05,33,1,0.241
-140,21,1,0.05,33,1,1.101
11,24,1,0.05,33,2,0.376
-74,-1,1,0.05,33,1,0.835
-136,6,1,0.05,33,1,1.163
-128,14,1,0.05,33,1,0.4
-34,-14,1,0.05,33,1,0.387
-58,-24,1,0.05,33,1,0.472
-66,33,1,0.05,33,1,1.126
-86,-45,1,0.05,33,1,0.708
-142,65,1,0.05,33,1,0.829
-93,-9,1,0.05,33,1,0.757
-50,4,1,0.05,33,1,0.405
-84,53,1,0.05,33,1,0.292
-59,27,1,0.05,33,1,0.898
56,16,2,0.05,33,2,0.539
39,-33,2,0.05,33,2,0.342
86,-25,2,0.05,33,2,0.309
86,25,2,0.05,33,2,0.627
135,-18,2,0.05,33,2,0.543
63,50,2,0.05,33,2,1.329
79,-27,2,0.05,33,2,0.735
86,42,2,0.05,33,2,1.081
68,18,2,0.05,33,2,0.628
126,15,2,0.05,33,2,1.717
80,-8,2,0.05,33,2,0.761
84,8,2,0.05,33,2,0.106
13,-47,2,0.05,33,2,1.068
81,-34,2,0.05,33,2,2.169
57,18,2,0.05,33,2,1.733
70,45,2,0.05,33,2,1.082
-81,1,1,0.05,33,1,0.112
-52,4,1,0.05,33,1,0.553
-105,22,1,0.05,33,1,0.626
-111,50,1,0.05,33,1,0.698
-84,3,1,0.05,33,1,0.778
-77,-35,1,0.05,33,1,1.671
-73,-24,1,0.05,33,1,0.589
-26,13,1,0.05,33,1,0.629
-95,10,1,0.05,33,1,0.184
-70,-13,1,0.05,33,1,0.046
-27,3,1,0.05,33,1,0.799
-87,46,1,0.05,33,1,6.951
-159,-18,1,0.05,33,1,0.983
43,-18,2,0.05,33,2,1.514
88,-12,2,0.05,33,2,0.245
74,6,2,0.05,33,2,0.226
71,7,2,0.05,33,2,0.541
-32,7,2,0.05,33,1,0.192
71,-9,2,0.05,33,2,0.388
68,-11,2,0.05,33,2,0.467
55,23,2,0.05,33,2,0.303
98,73,2,0.05,33,2,0.107
68,1,2,0.05,33,2,0.657
45,-3,2,0.05,33,2,0.007
84,-3,2,0.05,33,2,0.073
94,19,2,0.05,33,2,0.236
28,-9,2,0.05,33,2,0.253
128,-22,2,0.05,33,2,0.626
87,30,2,0.05,33,2,0.157
75,-25,2,0.05,33,2,0.262
57,-41,2,0.05,33,2,0.368
63,-8,2,0.05,33,2,0.261
28,32,2,0.05,33,2,0.112
30,-29,2,0.05,33,2,0.445
79,-41,2,0.05,33,2,0.267
100,-53,2,0.05,33,2,0.21
77,-8,2,0.05,33,2,0.225
61,11,2,0.05,33,2,0.481
69,34,2,0.05,33,2,0.362
68,20,2,0.05,33,2,0.083
84,10,2,0.05,33,2,0.151
43,8,2,0.05,33,2,0.125
64,14,2,0.05,33,2,0.333
4,21,2,0.05,33,2,0.112
87,-48,2,0.05,33,2,0.402
103,61,2,0.05,33,2,0.281
19,-23,2,0.05,33,2,0.515
72,25,2,0.05,33,2,0.579
79,19,2,0.05,33,2,0.065
173,1,2,0.05,33,2,0.135
70,1,2,0.05,33,2,0.167
56,-4,2,0.05,33,2,0.545
63,33,2,0.05,33,2,0.057
84,21,2,0.05,33,2,0.171
89,40,2,0.05,33,2,0.506
31,-40,2,0.05,33,2,1.291
55,46,2,0.05,33,2,0.864
53,-44,2,0.05,33,2,0.319
-122,42,1,0.05,33,1,0.341
-97,-29,1,0.05,33,1,0.347
-114,-41,1,0.05,33,1,0.21
-90,-50,1,0.05,33,1,0.386
-98,-12,1,0.05,33,1,0.109
-34,-55,1,0.05,33,1,0.032
-66,-44,1,0.05,33,1,0.023
-53,-35,1,0.05,33,1,0.288
-104,32,1,0.05,33,1,0.008
-52,-63,1,0.05,33,1,0.816
-61,62,1,0.05,33,1,0.502
-48,5,1,0.05,33,1,0.46
-102,25,1,0.05,33,1,0
-55,-22,1,0.05,33,1,0.479
-32,-5,1,0.05,33,1,0.574
-50,-23,1,0.05,33,1,0.791
-79,11,1,0.05,33,1,0.456
-53,39,1,0.05,33,1,0.384
-54,-33,1,0.05,33,1,0.635
-79,45,1,0.05,33,1,0.415
-97,-8,1,0.05,33,1,0.366
-52,1,1,0.05,33,1,0.284
-119,-27,1,0.05,33,1,0.648
-121,-12,1,0.05,33,1,0.251
-89,17,1,0.05,33,1,0.32
-87,-58,1,0.05,33,1,0.757
-60,-6,1,0.05,33,1,0.317
-13,-5,1,0.05,33,1,0
-77,-17,1,0.05,33,1,0.35
-84,-3,1,0.05,33,1,0.28
