egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-42,-36,1,0.05,33,1,0.299
-125,9,1,0.05,33,1,0.773
-21,-19,1,0.05,33,1,0.454
-89,-80,1,0.05,33,1,0.199
-104,42,1,0.05,33,1,0.724
-78,-22,1,0.05,33,1,0.764
54,49,2,0.05,33,2,0.61
61,-15,2,0.05,33,2,0.45
147,73,2,0.05,33,2,0.712
88,33,2,0.05,33,2,1.258
124,24,2,0.05,33,2,0.064
114,-31,2,0.05,33,2,0.237
54,-41,2,0.05,33,2,0.258
28,30,2,0.05,33,2,0.211
-103,-5,1,0.05,33,1,0.767
-167,-8,1,0.05,33,1,0.55
-98,-58,1,0.05,33,1,0.473
-81,31,1,0.05,33,1,0.397
-52,1,1,0.05,33,1,0.199
-66,-29,1,0.05,33,1,0.469
-132,-27,1,0.05,33,1,0.467
-56,-13,1,0.05,33,1,0.471
-75,11,1,0.05,33,1,0.328
-61,79,1,0.05,33,1,0.2
-1,32,1,0.05,33,2,0.81
41,-43,2,0.05,33,2,0.584
49,58,2,0.05,33,2,0.582
110,1,2,0.05,33,2,0.437
133,29,2,0.05,33,2,0.325
110,49,2,0.05,33,2,0.8
101,-25,2,0.05,33,2,0.301
31,10,2,0.05,33,2,0.741
102,47,2,0.05,33,2,1.06
67,2,2,0.05,33,2,0.675
82,-40,2,0.05,33,2,1.106
48,15,2,0.05,33,2,0.43
39,38,2,0.05,33,2,0.268
109,-70,2,0.05,33,2,0.747
71,-13,2,0.05,33,2,0.367
22,-28,2,0.05,33,2,0.717
52,41,2,0.05,33,2,0.491
102,55,2,0.05,33,2,0.404
39,-10,2,0.05,33,2,0.551
35,-24,2,0.05,33,2,0.747
80,69,2,0.05,33,2,0.431
33,38,2,0.05,33,2,1.562
114,6,2,0.05,33,2,0.151
109,-11,2,0.05,33,2,0.493
-120,-36,1,0.05,33,1,0.263
-88,13,1,0.05,33,1,0.312
-140,21,1,0.05,33,1,1.41
11,24,1,0.05,33,2,0.69
-74,-1,1,0.05,33,1,0.073
-136,6,1,0.05,33,1,0.081
-128,14,1,0.05,33,1,0.026
-34,-14,1,0.05,33,1,0.231
-58,-24,1,0.05,33,1,0.394
-66,33,1,0.05,33,1,1.866
-86,-45,1,0.05,33,1,0.83
-142,65,1,0.05,33,1,2.223
-93,-9,1,0.05,33,1,0.319
-50,4,1,0.05,33,1,0.752
-84,53,1,0.05,33,1,0.575
-59,27,1,0.05,33,1,0.014
56,16,2,0.05,33,2,0.632
39,-33,2,0.05,33,2,0.352
86,-25,2,0.05,33,2,0.28
86,25,2,0.05,33,2,2.605
135,-18,2,0.05,33,2,0.215
63,50,2,0.05,33,2,0.108
79,-27,2,0.05,33,2,0.51
86,42,2,0.05,33,2,0.734
68,18,2,0.05,33,2,1.085
126,15,2,0.05,33,2,0.549
80,-8,2,0.05,33,2,0.291
84,8,2,0.05,33,2,0.438
13,-47,2,0.05,33,2,0.144
81,-34,2,0.05,33,2,0.56
57,18,2,0.05,33,2,1.001
70,45,2,0.05,33,2,1.331
-81,1,1,0.05,33,1,0.963
-52,4,1,0.05,33,1,0.159
-105,22,1,0.05,33,1,0.555
-111,50,1,0.05,33,1,0.13
-84,3,1,0.05,33,1,0.036
-77,-35,1,0.05,33,1,0.463
-73,-24,1,0.05,33,1,0.895
-26,13,1,0.05,33,1,1.828
-95,10,1,0.05,33,1,0.293
-70,-13,1,0.05,33,1,0.382
-27,3,1,0.05,33,1,0.899
-87,46,1,0.05,33,1,0.884
-159,-18,1,0.05,33,1,0.367
43,-18,2,0.05,33,2,0.49
88,-12,2,0.05,33,2,0.362
74,6,2,0.05,33,2,0.407
71,7,2,0.05,33,2,0.879
-32,7,2,0.05,33,1,1.831
71,-9,2,0.05,33,2,0.648
68,-11,2,0.05,33,2,0.576
55,23,2,0.05,33,2,0.581
98,73,2,0.05,33,2,0.479
68,1,2,0.05,33,2,0.567
45,-3,2,0.05,33,2,0.676
84,-3,2,0.05,33,2,0.98
94,19,2,0.05,33,2,2.598
28,-9,2,0.05,33,2,0.118
128,-22,2,0.05,33,2,0.625
87,30,2,0.05,33,2,0.07
75,-25,2,0.05,33,2,1.566
57,-41,2,0.05,33,2,0.66
63,-8,2,0.05,33,2,0.411
28,32,2,0.05,33,2,0.72
30,-29,2,0.05,33,2,0.434
79,-41,2,0.05,33,2,1.166
100,-53,2,0.05,33,2,6.607
77,-8,2,0.05,33,2,0.508
61,11,2,0.05,33,2,0.365
69,34,2,0.05,33,2,0.202
68,20,2,0.05,33,2,0.556
84,10,2,0.05,33,2,0.433
43,8,2,0.05,33,2,0.003
64,14,2,0.05,33,2,0.245
4,21,2,0.05,33,2,0.65
87,-48,2,0.05,33,2,0.667
103,61,2,0.05,33,2,0.592
19,-23,2,0.05,33,2,1.577
72,25,2,0.05,33,2,0.434
79,19,2,0.05,33,2,0.978
173,1,2,0.05,33,2,0.506
70,1,2,0.05,33,2,0.794
56,-4,2,0.05,33,2,0.805
63,33,2,0.05,33,2,0.631
84,21,2,0.05,33,2,0.406
89,40,2,0.05,33,2,0.488
31,-40,2,0.05,33,2,0.246
55,46,2,0.05,33,2,2.222
53,-44,2,0.05,33,2,0.478
-122,42,1,0.05,33,1,1.829
-97,-29,1,0.05,33,1,0.238
-114,-41,1,0.05,33,1,0.004
-90,-50,1,0.05,33,1,0.289
-98,-12,1,0.05,33,1,0.892
-34,-55,1,0.05,33,1,2.344
-66,-44,1,0.05,33,1,0.275
-53,-35,1,0.05,33,1,0.279
-104,32,1,0.05,33,1,0.243
-52,-63,1,0.05,33,1,0.411
-61,62,1,0.05,33,1,0.196
-48,5,1,0.05,33,1,0.282
-102,25,1,0.05,33,1,1.534
-55,-22,1,0.05,33,1,0.04
-32,-5,1,0.05,33,1,2.952
-50,-23,1,0.05,33,1,0.384
-79,11,1,0.05,33,1,0.385
-53,39,1,0.05,33,1,0.191
-54,-33,1,0.05,33,1,0.352
-79,45,1,0.05,33,1,0.243
-97,-8,1,0.05,33,1,0.895
-52,1,1,0.05,33,1,2.366
-119,-27,1,0.05,33,1,0.802
-121,-12,1,0.05,33,1,2.78
-89,17,1,0.05,33,1,0.735
-87,-58,1,0.05,33,1,2.302
-60,-6,1,0.05,33,1,1.957
-13,-5,1,0.05,33,1,0.62
-77,-17,1,0.05,33,1,1.956
-84,-3,1,0.05,33,1,0.519
-57,5,1,0.05,33,1,0.588
