egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-42,-36,1,0.05,33,1,1.087
-125,9,1,0.05,33,1,0.127
-21,-19,1,0.05,33,1,0.088
-89,-80,1,0.05,33,1,0.109
-104,42,1,0.05,33,1,0.229
-78,-22,1,0.05,33,1,0.237
54,49,2,0.05,33,2,0.299
61,-15,2,0.05,33,2,0.21
147,73,2,0.05,33,2,0.08
88,33,2,0.05,33,2,0.205
124,24,2,0.05,33,2,0.292
114,-31,2,0.05,33,2,0.202
54,-41,2,0.05,33,2,0.186
28,30,2,0.05,33,2,0.188
-103,-5,1,0.05,33,1,0.32
-167,-8,1,0.05,33,1,0.354
-98,-58,1,0.05,33,1,0.217
-81,31,1,0.05,33,1,0.188
-52,1,1,0.05,33,1,0.35
-66,-29,1,0.05,33,1,0.283
-132,-27,1,0.05,33,1,0.407
-56,-13,1,0.05,33,1,0.368
-75,11,1,0.05,33,1,0.205
-61,79,1,0.05,33,1,0.179
-1,32,1,0.05,33,2,0.264
41,-43,2,0.05,33,2,0.25
49,58,2,0.05,33,2,0.128
110,1,2,0.05,33,2,0.264
133,29,2,0.05,33,2,0.281
110,49,2,0.05,33,2,0.184
101,-25,2,0.05,33,2,0.142
31,10,2,0.05,33,2,0.139
102,47,2,0.05,33,2,0.491
67,2,2,0.05,33,2,0.111
82,-40,2,0.05,33,2,0.337
48,15,2,0.05,33,2,0.36
39,38,2,0.05,33,2,0.044
109,-70,2,0.05,33,2,0.185
71,-13,2,0.05,33,2,0.103
22,-28,2,0.05,33,2,0.044
52,41,2,0.05,33,2,0.063
102,55,2,0.05,33,2,0.159
39,-10,2,0.05,33,2,0.089
35,-24,2,0.05,33,2,0.186
80,69,2,0.05,33,2,0.045
33,38,2,0.05,33,2,0.313
114,6,2,0.05,33,2,0.312
109,-11,2,0.05,33,2,0.12
-120,-36,1,0.05,33,1,0.064
-88,13,1,0.05,33,1,0
-140,21,1,0.05,33,1,0.361
11,24,1,0.05,33,2,0.422
-74,-1,1,0.05,33,1,0.266
-136,6,1,0.05,33,1,0.06
-128,14,1,0.05,33,1,0.106
-34,-14,1,0.05,33,1,0.056
-58,-24,1,0.05,33,1,0.153
-66,33,1,0.05,33,1,0.173
-86,-45,1,0.05,33,1,0.047
-142,65,1,0.05,33,1,0.234
-93,-9,1,0.05,33,1,0.024
-50,4,1,0.05,33,1,0.065
-84,53,1,0.05,33,1,0.216
-59,27,1,0.05,33,1,0.139
56,16,2,0.05,33,2,0.047
39,-33,2,0.05,33,2,0.343
86,-25,2,0.05,33,2,0.04
86,25,2,0.05,33,2,0.018
135,-18,2,0.05,33,2,0.001
63,50,2,0.05,33,2,0.25
79,-27,2,0.05,33,2,0.088
86,42,2,0.05,33,2,0.109
68,18,2,0.05,33,2,0
126,15,2,0.05,33,2,0.077
80,-8,2,0.05,33,2,0.062
84,8,2,0.05,33,2,0.203
13,-47,2,0.05,33,2,0.25
81,-34,2,0.05,33,2,0.669
57,18,2,0.05,33,2,0.331
70,45,2,0.05,33,2,0.237
-81,1,1,0.05,33,1,0
-52,4,1,0.05,33,1,0.196
-105,22,1,0.05,33,1,0.265
-111,50,1,0.05,33,1,0.082
-84,3,1,0.05,33,1,0.178
-77,-35,1,0.05,33,1,0.336
-73,-24,1,0.05,33,1,0.094
-26,13,1,0.05,33,1,0.219
-95,10,1,0.05,33,1,0.112
-70,-13,1,0.05,33,1,0.355
-27,3,1,0.05,33,1,0.172
-87,46,1,0.05,33,1,0.158
-159,-18,1,0.05,33,1,0.202
43,-18,2,0.05,33,2,0.26
88,-12,2,0.05,33,2,0.216
74,6,2,0.05,33,2,0.154
71,7,2,0.05,33,2,0.101
-32,7,2,0.05,33,1,0.108
71,-9,2,0.05,33,2,0.063
68,-11,2,0.05,33,2,0.113
55,23,2,0.05,33,2,0.111
98,73,2,0.05,33,2,0.444
68,1,2,0.05,33,2,0.314
45,-3,2,0.05,33,2,0.268
84,-3,2,0.05,33,2,0.248
94,19,2,0.05,33,2,0.145
28,-9,2,0.05,33,2,0.239
128,-22,2,0.05,33,2,0.061
87,30,2,0.05,33,2,0.211
75,-25,2,0.05,33,2,0.127
57,-41,2,0.05,33,2,0.218
63,-8,2,0.05,33,2,0.157
28,32,2,0.05,33,2,0.066
30,-29,2,0.05,33,2,0.532
79,-41,2,0.05,33,2,0.134
100,-53,2,0.05,33,2,0.246
77,-8,2,0.05,33,2,0.015
61,11,2,0.05,33,2,0.657
69,34,2,0.05,33,2,0.563
68,20,2,0.05,33,2,0.111
84,10,2,0.05,33,2,0.414
43,8,2,0.05,33,2,0.437
64,14,2,0.05,33,2,0.106
4,21,2,0.05,33,2,0.04
87,-48,2,0.05,33,2,0.284
103,61,2,0.05,33,2,0.133
19,-23,2,0.05,33,2,0.066
72,25,2,0.05,33,2,0.71
79,19,2,0.05,33,2,0.065
173,1,2,0.05,33,2,0.361
70,1,2,0.05,33,2,0.26
56,-4,2,0.05,33,2,0.105
63,33,2,0.05,33,2,0.042
84,21,2,0.05,33,2,0.219
89,40,2,0.05,33,2,0.236
31,-40,2,0.05,33,2,0.015
55,46,2,0.05,33,2,0.294
53,-44,2,0.05,33,2,0.016
-122,42,1,0.05,33,1,0.045
-97,-29,1,0.05,33,1,0.046
-114,-41,1,0.05,33,1,0
-90,-50,1,0.05,33,1,0.249
-98,-12,1,0.05,33,1,0.3
-34,-55,1,0.05,33,1,0.579
-66,-44,1,0.05,33,1,0.063
-53,-35,1,0.05,33,1,0.37
-104,32,1,0.05,33,1,0.12
-52,-63,1,0.05,33,1,0.087
-61,62,1,0.05,33,1,0.015
-48,5,1,0.05,33,1,0.297
-102,25,1,0.05,33,1,0.362
-55,-22,1,0.05,33,1,0.367
-32,-5,1,0.05,33,1,0.094
-50,-23,1,0.05,33,1,0.264
-79,11,1,0.05,33,1,0.353
-53,39,1,0.05,33,1,0.234
-54,-33,1,0.05,33,1,0.041
-79,45,1,0.05,33,1,0.334
-97,-8,1,0.05,33,1,0.607
-52,1,1,0.05,33,1,0.064
-119,-27,1,0.05,33,1,0.255
-121,-12,1,0.05,33,1,0.122
-89,17,1,0.05,33,1,0.368
-87,-58,1,0.05,33,1,0.047
-60,-6,1,0.05,33,1,0.327
-13,-5,1,0.05,33,1,0.119
-77,-17,1,0.05,33,1,0.031
-84,-3,1,0.05,33,1,0.078
-57,5,1,0.05,33,1,0.302
-127,44,1,0.05,33,1,0.432
-90,-17,1,0.05,33,1,0.187
-87,31,1,0.05,33,1,0.158
-72,-63,1,0.05,33,1,0.384
-69,-1,1,0.05,33,1,0.062
-18,-34,1,0.05,33,1,0.268
-81,-11,1,0.05,33,1,0.28
-106,-30,1,0.05,33,1,0.127
-88,-40,1,0.05,33,1,0.142
-7,-32,1,0.05,33,1,0.337
-112,-62,1,0.05,33,1,0.314
-53,-13,1,0.05,33,1,0.328
-53,-14,1,0.05,33,1,0.273
-73,-33,1,0.05,33,1,0.339
-107,58,1,0.05,33,1,0.376
-68,14,1,0.05,33,1,0.062
-94,-74,1,0.05,33,1,0.936
-71,37,1,0.05,33,1,0.346
-52,-40,1,0.05,33,1,0.393
-63,-16,1,0.05,33,1,0.185
-112,12,1,0.05,33,1,0.111
-108,26,1,0.05,33,1,0.043
-104,-43,1,0.05,33,1,0.186
-71,-11,1,0.05,33,1,0.486
-50,-25,1,0.05,33,1,0.326
-98,8,1,0.05,33,1,0.11
-37,29,1,0.05,33,1,0.42
-82,-3,1,0.05,33,1,0.062
-88,-59,1,0.05,33,1,0.095
-67,-10,1,0.05,33,1,0.019
-67,-6,1,0.05,33,1,0.054
9,-4,2,0.2,33,2,0.252
81,-30,2,0.2,33,2,0.199
117,-44,2,0.2,33,2,0.035
58,16,2,0.2,33,2,0.049
136,-7,2,0.2,33,2,0.092
88,31,2,0.2,33,2,0.168
129,-47,2,0.2,33,2,0.202
-80,35,1,0.2,33,1,0.142
69,-18,2,0.2,33,2,0.141
59,-40,2,0.2,33,2,0.097
15,25,2,0.2,33,2,0.458
79,-10,2,0.2,33,2,0.249
36,3,2,0.2,33,2,0.033
111,-39,2,0.2,33,2,0.047
108,-40,2,0.2,33,2,0.406
-39,-16,1,0.2,33,1,0.043
-113,-14,1,0.2,33,1,0.186
-76,28,1,0.2,33,1,0.014
-46,48,1,0.2,33,1,0.218
-90,-8,1,0.2,33,1,0.111
81,1,2,0.2,33,2,0.016
-47,-29,1,0.2,33,1,0.355
-89,-13,1,0.2,33,1,0.142
83,-18,2,0.2,33,2,0.126
79,-23,2,0.2,33,2,0.172
73,91,2,0.2,33,2,0.219
20,-14,2,0.2,33,2,0.249
38,2,2,0.2,33,2,0.016
-70,-12,1,0.2,33,1,0.04
-70,-57,1,0.2,33,1,0.044
-118,10,1,0.2,33,1,0
-135,-13,1,0.2,33,1,0.173
-64,52,1,0.2,33,1,0.175
-80,-6,1,0.2,33,1,0.157
-78,37,1,0.2,33,1,0.294
-25,11,1,0.2,33,1,0.353
-111,-11,1,0.2,33,1,0.411
-28,-27,1,0.2,33,1,1.077
58,3,2,0.2,33,2,0.343
-42,32,1,0.2,33,1,0.177
43,-16,2,0.2,33,2,0.355
16,-52,2,0.2,33,2,0.352
46,-9,2,0.2,33,2,0.446
77,61,2,0.2,33,2,0.731
122,-64,2,0.2,33,2,0.654
98,5,2,0.2,33,2,0.092
85,23,2,0.2,33,2,0.11
83,17,2,0.2,33,2,0.747
-63,-37,1,0.2,33,1,0.035
68,34,2,0.2,33,2,0.374
89,18,2,0.2,33,2,0.57
67,60,2,0.2,33,2,0.421
71,-10,2,0.2,33,2,0.377
-150,-3,1,0.2,33,1,0.327
-65,-21,1,0.2,33,1,0.143
49,1,2,0.2,33,2,0.232
63,-22,2,0.2,33,2,0.187
-92,-26,1,0.2,33,1,0.251
-45,-18,1,0.2,33,1,0.169
-44,34,1,0.2,33,1,0.126
52,14,2,0.2,33,2,0.648
-85,32,1,0.2,33,1,0.327
-31,1,1,0.2,33,1,0.361
-67,3,1,0.2,33,1,0.434
-59,-47,1,0.2,33,1,0.842
-42,-32,1,0.2,33,1,0.391
-149,-6,1,0.2,33,1,0.385
67,-12,2,0.2,33,2,0.246
97,16,2,0.2,33,2,0.344
108,-11,2,0.2,33,2,0.047
51,-105,2,0.2,33,2,0.531
34,-37,2,0.2,33,2,0.275
-48,32,1,0.2,33,1,0.219
114,-26,2,0.2,33,2,0.375
61,3,2,0.2,33,2,0.747
49,-23,2,0.2,33,2,0.327
96,16,2,0.2,33,2,0.111
7,8,2,0.2,33,2,0.553
94,10,2,0.2,33,2,0.048
76,-22,2,0.2,33,2,0.297
34,-62,2,0.2,33,2,0.389
-85,-11,1,0.2,33,1,0.046
-114,12,1,0.2,33,1,0.375
-91,-11,1,0.2,33,1,0.953
-28,17,1,0.2,33,1,0.108
23,57,2,0.2,33,2,0.092
38,-2,2,0.2,33,2,0.362
-61,-2,1,0.2,33,1,0.033
-77,3,1,0.2,33,1,0.141
-51,49,1,0.2,33,1,0.249
-74,-9,1,0.2,33,1,0.025
-55,29,1,0.2,33,1,0.077
-134,-14,1,0.2,33,1,0.365
-70,-39,1,0.2,33,1,0.346
-80,-59,1,0.2,33,1,0.354
108,-15,2,0.2,33,2,0.333
-139,-43,1,0.2,33,1,0.252
-54,-14,1,0.2,33,1,0.277
-105,35,1,0.2,33,1,0.406
38,16,2,0.2,33,2,0.342
94,-25,2,0.2,33,2,0.076
-108,24,1,0.2,33,1,0.12
-137,16,1,0.2,33,1,0.063
38,-7,2,0.2,33,2,0.015
33,-27,2,0.2,33,2,0.17
93,18,2,0.2,33,2,0.158
87,-23,2,0.2,33,2,0.269
71,9,2,0.2,33,2,0.169
47,71,2,0.2,33,2,0.088
62,1,2,0.2,33,2,0.14
-70,-12,1,0.2,33,1,0.015
-103,-10,1,0.2,33,1,0.325
-36,4,1,0.2,33,1,0.189
-68,31,1,0.2,33,1,0.344
81,-24,2,0.2,33,2,0.23
-36,36,1,0.2,33,1,0.316
63,12,2,0.2,33,2,0.22
100,-7,2,0.2,33,2,0.173
-133,23,1,0.2,33,1,0.125
-52,22,1,0.2,33,1,0.221
-100,-29,1,0.2,33,1,0
-97,-25,1,0.2,33,1,0.187
-65,-47,1,0.2,33,1,0.345
-77,-26,1,0.2,33,1,0.079
-67,-16,1,0.2,33,1,0.141
83,-33,2,0.2,33,2,0
102,13,2,0.2,33,2,0.076
6,65,2,0.2,33,2,0.016
52,11,2,0.2,33,2,0.109
103,-64,2,0.2,33,2,0.277
62,44,2,0.2,33,2,0.08
73,7,2,0.2,33,2,0.202
104,14,2,0.2,33,2,0.104
-64,11,1,0.2,33,1,0.363
-80,42,1,0.2,33,1,0.581
-102,30,1,0.2,33,1,0.214
-51,53,1,0.2,33,1,0.168
-145,-13,1,0.2,33,1,0.66
-114,1,1,0.2,33,1,0.503
-27,10,1,0.2,33,1,0.093
-81,5,1,0.2,33,1,0.297
-66,11,1,0.2,33,1,0.769
-67,-78,1,0.2,33,1,0.131
-84,20,1,0.2,33,1,0.334
-79,32,1,0.2,33,1,0.303
1,25,1,0.2,33,1,0.109
-139,-3,1,0.2,33,1,0.384
-132,-11,1,0.2,33,1,0.111
-32,20,1,0.2,33,1,0.252
-64,23,1,0.2,33,1,0.189
-23,-21,1,0.2,33,1,0.103
-66,25,1,0.2,33,1,0.056
79,7,2,0.2,33,2,0.051
55,15,2,0.2,33,2,0.214
80,50,2,0.2,33,2,0.063
61,20,2,0.2,33,2,0.362
1,12,2,0.2,33,2,0.316
74,-37,2,0.2,33,2,0.095
6,-44,1,0.2,33,2,0.033
86,-55,2,0.2,33,2,0.062
91,55,2,0.2,33,2,0.126
-93,-10,1,0.2,33,1,0.321
-101,22,1,0.2,33,1,0.314
-52,-4,1,0.2,33,1,0.123
-72,-10,1,0.2,33,1,0.327
-107,-10,1,0.2,33,1,0.043
-29,39,1,0.2,33,1,0.07
-84,-10,1,0.2,33,1,0.31
-57,-6,1,0.2,33,1,0.345
-78,-30,1,0.2,33,1,0.108
-54,9,1,0.2,33,1,0.063
-62,-92,1,0.2,33,1,0.316
-42,11,1,0.2,33,1,0.248
-92,-17,1,0.2,33,1,0.421
-127,40,1,0.2,33,1,0.429
9,54,1,0.2,33,2,0.288
-48,16,1,0.2,33,1,0.359
-98,-49,1,0.2,33,1,0.247
-63,35,1,0.2,33,1,0.319
-67,-6,1,0.2,33,1,0.025
-85,17,1,0.2,33,1,0.148
-76,-1,1,0.2,33,1,0.149
-64,-35,1,0.2,33,1,0.464
-18,60,1,0.2,33,1,0.374
-56,-49,1,0.2,33,1,0.208
-89,22,1,0.2,33,1,0.464
31,-32,2,0.2,33,2,0.078
87,-15,2,0.2,33,2,0.44
-95,-5,1,0.2,33,1,0.015
-63,-41,1,0.2,33,1,0.102
44,35,2,0.2,33,2,0.405
13,15,2,0.2,33,2,0.347
99,-22,2,0.2,33,2,0.338
-95,-37,1,0.2,33,1,0.127
-99,47,1,0.2,33,1,0.31
-56,-28,1,0.2,33,1,0.312
-83,65,1,0.2,33,1,0.303
119,25,2,0.2,33,2,0.062
66,11,2,0.2,33,2,0.169
28,-29,2,0.2,33,2,0.046
110,-18,2,0.95,33,2,0.077
-57,-17,1,0.95,33,1,0.048
86,-19,2,0.95,33,2,0.046
-42,17,1,0.95,33,1,0.407
118,47,2,0.95,33,2,0.064
-80,-17,1,0.95,33,1,0
67,-39,2,0.95,33,2,0.134
62,1,2,0.95,33,2,0.088
-41,-17,1,0.95,33,1,0.04
88,30,2,0.95,33,2,0.392
-68,-42,1,0.95,33,1,0.096
118,-13,2,0.95,33,2,0.045
57,-59,2,0.95,33,2,0.239
-90,-19,1,0.95,33,1,0.249
-153,32,1,0.95,33,1,0.048
103,-7,2,0.95,33,2,0.238
-93,32,1,0.95,33,1,0.048
86,-22,2,0.95,33,2,0.372
-73,5,1,0.95,33,1,0.13
-112,-125,1,0.95,33,1,0.064
96,-28,2,0.95,33,2,0.196
-110,-48,1,0.95,33,1,0.125
33,-5,2,0.95,33,2,0.091
-88,21,1,0.95,33,1,0.065
54,60,2,0.95,33,2,0.189
-48,-19,1,0.95,33,1,0.126
125,-22,2,0.95,33,2,0.094
-85,16,1,0.95,33,1,0.065
169,-5,2,0.95,33,2,0.075
-70,16,1,0.95,33,1,0.108
109,-4,2,0.95,33,2,0.08
-81,-50,1,0.95,33,1,0.404
57,-94,2,0.95,33,2,0.141
-29,28,1,0.95,33,1,0.079
96,20,2,0.95,33,2,0.127
-97,-57,1,0.95,33,1,0.312
58,49,2,0.95,33,2,0.181
-102,-4,1,0.95,33,1,0.086
59,-31,2,0.95,33,2,0.14
-43,-22,1,0.95,33,1,0.126
109,7,2,0.95,33,2,0.266
-35,-46,1,0.95,33,1,0.016
136,1,2,0.95,33,2,0.345
-124,-2,1,0.95,33,1,0.062
70,42,2,0.95,33,2,0.375
-70,-71,1,0.95,33,1,0.313
111,8,2,0.95,33,2,0.235
-37,-118,1,0.95,33,1,0.123
139,-16,2,0.95,33,2,0.31
-57,-57,1,0.95,33,1,0.016
61,14,2,0.95,33,2,0.204
-87,-26,1,0.95,33,1,0.108
34,-11,2,0.95,33,2,0.064
-111,33,1,0.95,33,1,0.153
16,34,2,0.95,33,2,0.238
-80,-6,1,0.95,33,1,0.223
107,-1,2,0.95,33,2,0.139
-90,-7,1,0.95,33,1,0.056
107,-7,2,0.95,33,2,0.362
-109,-40,1,0.95,33,1,0.064
142,-65,2,0.95,33,2,0.109
-137,-38,1,0.95,33,1,0.139
-95,-27,1,0.95,33,1,0.268
60,48,2,0.95,33,2,0.22
-134,10,1,0.95,33,1,0.471
21,7,2,0.95,33,2,0.22
-100,-10,1,0.95,33,1,0.031
96,2,2,0.95,33,2,0.156
37,-44,2,0.95,33,2,0.11
-52,6,1,0.95,33,1,0.284
59,47,2,0.95,33,2,0.216
-69,-49,1,0.95,33,1,0.174
44,-26,2,0.95,33,2,0.125
-55,46,1,0.95,33,1,0.208
74,-24,2,0.95,33,2,0
-70,-3,1,0.95,33,1,0.267
12,-13,2,0.95,33,2,0.219
-93,-32,1,0.95,33,1,0.046
39,1,2,0.95,33,2,0.388
62,6,2,0.95,33,2,0.229
-117,-25,1,0.95,33,1,0.174
89,15,2,0.95,33,2,0.273
-57,26,1,0.95,33,1,0.137
88,21,2,0.95,33,2,0.102
-84,-58,1,0.95,33,1,0.22
120,-47,2,0.95,33,2,0.236
-33,1,1,0.95,33,1,0.601
72,-34,2,0.95,33,2,0.103
-86,9,1,0.95,33,1,0.356
124,6,2,0.95,33,2,0.314
-162,-34,1,0.95,33,1,0.253
49,53,2,0.95,33,2,0.214
-53,37,1,0.95,33,1,0.185
88,-7,2,0.95,33,2,0.144
-72,-38,1,0.95,33,1,0.079
-101,20,1,0.95,33,1,0.202
85,-13,2,0.95,33,2,0.156
-75,44,1,0.95,33,1,0.131
70,-14,2,0.95,33,2,0.345
-96,38,1,0.95,33,1,0.158
54,-10,2,0.95,33,2,0.339
82,-7,2,0.95,33,2,0.113
-145,34,1,0.95,33,1,0.036
46,18,2,0.95,33,2,0.078
-34,20,1,0.95,33,1,0.149
-70,33,1,0.95,33,1,0.2
44,28,2,0.95,33,2,0.142
-25,-2,1,0.95,33,1,0.332
82,-26,2,0.95,33,2,0.25
-81,-12,1,0.95,33,1,0.14
66,13,2,0.95,33,2,0.47
-92,1,1,0.95,33,1,0.043
81,-60,2,0.95,33,2,0.114
-29,15,1,0.95,33,1,0.124
29,-4,2,0.95,33,2,0
-57,-25,1,0.95,33,1,0.306
84,-3,2,0.95,33,2,0.319
-13,-12,1,0.95,33,1,0.162
44,57,2,0.95,33,2,0.151
-65,30,1,0.95,33,1,0.275
-103,1,1,0.95,33,1,0.087
113,54,2,0.95,33,2,0.157
-29,-48,1,0.95,33,1,0.264
55,-1,2,0.95,33,2,0.569
106,-32,2,0.95,33,2,0.528
-104,13,1,0.95,33,1,0.167
62,-27,2,0.95,33,2,0.057
-58,-17,1,0.95,33,1,0.016
54,12,2,0.95,33,2,0.265
-119,-55,1,0.95,33,1,0.091
42,29,2,0.95,33,2,0.309
-133,4,1,0.95,33,1,0.406
138,13,2,0.95,33,2,0.247
-57,-44,1,0.95,33,1,0.199
105,9,2,0.95,33,2,0.264
-66,-4,1,0.95,33,1,0.077
94,6,2,0.95,33,2,0.288
-69,-28,1,0.95,33,1,0.616
114,27,2,0.95,33,2,0.386
-112,16,1,0.95,33,1,0.655
88,-51,2,0.95,33,2,0.058
-47,-33,1,0.95,33,1,0.091
108,-9,2,0.95,33,2,0.014
-77,70,1,0.95,33,1,0.243
108,-4,2,0.95,33,2,0.14
-19,35,1,0.95,33,1,0.035
54,6,2,0.95,33,2,0.095
-96,1,1,0.95,33,1,0.185
46,8,2,0.95,33,2,0.238
-52,30,1,0.95,33,1,0.193
-74,5,1,0.95,33,1,0.262
118,-6,2,0.95,33,2,0.254
-70,39,1,0.95,33,1,0.368
36,-28,2,0.95,33,2,0.267
-96,9,1,0.95,33,1,0.172
62,16,2,0.95,33,2,0.28
-68,26,1,0.95,33,1,0.373
1,33,2,0.95,33,2,0.143
-2,-7,1,0.95,33,2,0.339
103,-83,2,0.95,33,2,0.361
-33,14,1,0.95,33,1,0.062
114,-6,2,0.95,33,2,0.19
-69,40,1,0.95,33,1,0.271
105,-38,2,0.95,33,2,0.108
-80,-32,1,0.95,33,1,0.263
111,31,2,0.95,33,2,0.239
-54,-11,1,0.95,33,1,0.237
59,-51,2,0.95,33,2,0.621
-31,48,1,0.95,33,1,0.503
70,22,2,0.95,33,2,0.49
-76,28,1,0.95,33,1,0.282
78,6,2,0.95,33,2,0.326
-51,-26,1,0.95,33,1,0.368
101,-35,2,0.95,33,2,0.058
-99,-32,1,0.95,33,1,0.243
70,-94,2,0.95,33,2,0.079
-48,6,1,0.95,33,1,0.296
