egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
9,-4,2,0.2,33,2,0.185
81,-30,2,0.2,33,2,0.952
117,-44,2,0.2,33,2,0.561
58,16,2,0.2,33,2,1.813
136,-7,2,0.2,33,2,1.522
88,31,2,0.2,33,2,0.465
129,-47,2,0.2,33,2,0.791
-80,35,1,0.2,33,1,1.11
69,-18,2,0.2,33,2,1.407
15,25,2,0.2,33,2,0.396
79,-10,2,0.2,33,2,0.353
36,3,2,0.2,33,2,0.133
111,-39,2,0.2,33,2,0.683
108,-40,2,0.2,33,2,1.082
-39,-16,1,0.2,33,1,0.22
-113,-14,1,0.2,33,1,0.208
-76,28,1,0.2,33,1,0.066
-46,48,1,0.2,33,1,0.241
-90,-8,1,0.2,33,1,0.014
81,1,2,0.2,33,2,0.656
-47,-29,1,0.2,33,1,0.754
-89,-13,1,0.2,33,1,0.106
83,-18,2,0.2,33,2,0.379
79,-23,2,0.2,33,2,0.099
73,91,2,0.2,33,2,0.088
20,-14,2,0.2,33,2,0.034
38,2,2,0.2,33,2,0.15
-70,-12,1,0.2,33,1,0.076
-70,-57,1,0.2,33,1,0.427
-118,10,1,0.2,33,1,0.014
-135,-13,1,0.2,33,1,0.047
-64,52,1,0.2,33,1,0.099
-80,-6,1,0.2,33,1,0.202
-78,37,1,0.2,33,1,0.209
-25,11,1,0.2,33,1,0.095
-111,-11,1,0.2,33,1,0.064
-28,-27,1,0.2,33,1,0.049
58,3,2,0.2,33,2,0.142
-42,32,1,0.2,33,1,0.206
43,-16,2,0.2,33,2,0.118
16,-52,2,0.2,33,1,0.095
46,-9,2,0.2,33,2,0.071
77,61,2,0.2,33,2,0.179
122,-64,2,0.2,33,2,0.104
98,5,2,0.2,33,2,0.066
85,23,2,0.2,33,2,0.174
83,17,2,0.2,33,2,0.208
-63,-37,1,0.2,33,1,0.196
68,34,2,0.2,33,2,0.163
89,18,2,0.2,33,2,0.158
67,60,2,0.2,33,2,0.145
71,-10,2,0.2,33,2,0.086
-150,-3,1,0.2,33,1,0.11
-65,-21,1,0.2,33,1,0.019
49,1,2,0.2,33,2,0.087
63,-22,2,0.2,33,2,0.042
-92,-26,1,0.2,33,1,0.038
-45,-18,1,0.2,33,1,0.132
-44,34,1,0.2,33,1,0.209
52,14,2,0.2,33,2,0.091
-85,32,1,0.2,33,1,0.667
-31,1,1,0.2,33,1,0.048
-67,3,1,0.2,33,1,0.175
-59,-47,1,0.2,33,1,0.24
-42,-32,1,0.2,33,1,0.049
-149,-6,1,0.2,33,1,0.08
67,-12,2,0.2,33,2,0.009
97,16,2,0.2,33,2,0.081
108,-11,2,0.2,33,2,0.105
51,-105,2,0.2,33,2,0.099
34,-37,2,0.2,33,2,0.13
-48,32,1,0.2,33,1,0.153
114,-26,2,0.2,33,2,0.019
61,3,2,0.2,33,2,0.059
49,-23,2,0.2,33,2,0.11
96,16,2,0.2,33,2,0.149
7,8,2,0.2,33,2,0.028
94,10,2,0.2,33,2,0.005
76,-22,2,0.2,33,2,0.015
34,-62,2,0.2,33,2,0.061
-85,-11,1,0.2,33,1,0.019
-114,12,1,0.2,33,1,0.031
-91,-11,1,0.2,33,1,0.005
-28,17,1,0.2,33,1,0.087
23,57,2,0.2,33,2,0.184
38,-2,2,0.2,33,2,0.788
-61,-2,1,0.2,33,1,0.192
-77,3,1,0.2,33,1,0.014
-51,49,1,0.2,33,1,0.206
-74,-9,1,0.2,33,1,0.04
-55,29,1,0.2,33,1,0.004
-134,-14,1,0.2,33,1,0.206
-70,-39,1,0.2,33,1,0.112
-80,-59,1,0.2,33,1,0.079
108,-15,2,0.2,33,2,0.074
-139,-43,1,0.2,33,1,0.178
-54,-14,1,0.2,33,1,0.208
-105,35,1,0.2,33,1,0.028
38,16,2,0.2,33,2,0.303
94,-25,2,0.2,33,2,0.036
-108,24,1,0.2,33,1,0.165
-137,16,1,0.2,33,1,0.186
38,-7,2,0.2,33,2,0.152
33,-27,2,0.2,33,2,0.178
93,18,2,0.2,33,2,0.016
87,-23,2,0.2,33,2,0.18
71,9,2,0.2,33,2,0.116
47,71,2,0.2,33,2,0.068
62,1,2,0.2,33,2,0.087
-70,-12,1,0.2,33,1,0.003
-103,-10,1,0.2,33,1,0.06
-36,4,1,0.2,33,1,0.064
-68,31,1,0.2,33,1,0.084
81,-24,2,0.2,33,2,0.056
