egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-243,-248,1,0.95,140,1,4.669
196,153,2,0.95,140,2,1.66
12,-213,2,0.95,140,1,8.508
-20,65,1,0.95,140,1,9.493
111,-228,2,0.95,140,2,2.453
93,-85,1,0.95,140,2,0.24
-25,-28,1,0.95,140,1,5.423
168,-15,2,0.95,140,2,1.586
19,-108,1,0.95,140,2,0.272
332,169,2,0.95,140,2,0.854
-150,222,1,0.95,140,1,0.895
188,81,2,0.95,140,2,1.839
30,83,1,0.95,140,2,0.337
-1,59,2,0.95,140,1,4.918
44,29,1,0.95,140,2,3.742
-78,65,2,0.95,140,1,4.253
-132,-123,1,0.95,140,1,1.198
97,-29,2,0.95,140,2,2.718
186,-137,2,0.95,140,2,1.101
-1,-260,1,0.95,140,1,2.062
165,71,2,0.95,140,2,1.119
-264,-380,1,0.95,140,1,1.192
99,-49,2,0.95,140,2,0.338
-189,-11,1,0.95,140,1,0.392
120,180,2,0.95,140,2,0.487
-213,-55,1,0.95,140,1,1.576
251,10,2,0.95,140,2,0.233
-79,5,1,0.95,140,1,0.585
92,9,2,0.95,140,2,0.049
-211,-33,1,0.95,140,1,0.224
14,214,1,0.95,140,1,1.405
145,296,2,0.95,140,2,1.075
-207,-32,1,0.95,140,1,0.383
-86,-46,2,0.95,140,1,0.409
-77,294,1,0.95,140,1,2.584
210,110,2,0.95,140,2,3.125
282,151,1,0.95,140,2,0.13
50,-13,2,0.95,140,2,0.821
30,23,1,0.95,140,1,2.398
37,25,2,0.95,140,1,1.233
-183,-100,1,0.95,140,1,2.296
-65,38,2,0.95,140,1,0.479
-59,-254,1,0.95,140,1,0.529
168,163,2,0.95,140,2,0.784
-19,-3,1,0.95,140,2,2.537
-22,-231,2,0.95,140,1,1.584
91,235,1,0.95,140,2,0.491
321,-100,2,0.95,140,2,0.591
-190,-101,1,0.95,140,1,1.131
258,215,2,0.95,140,2,0.65
68,-82,2,0.95,140,2,0.367
-4,-48,1,0.95,140,2,0.708
150,219,2,0.95,140,2,0.938
-263,-16,1,0.95,140,1,1.199
-96,109,2,0.95,140,1,0.485
59,-26,1,0.95,140,2,2.295
192,114,2,0.95,140,2,0.183
-55,98,1,0.95,140,1,0.716
88,42,2,0.95,140,2,0.989
1,68,1,0.95,140,2,0.913
147,19,2,0.95,140,2,0.439
-118,-96,1,0.95,140,1,0.827
344,32,2,0.95,140,2,0.224
-94,74,1,0.95,140,1,0.231
179,-31,2,0.95,140,2,0.44
14,-14,1,0.95,140,1,1.815
-99,72,2,0.95,140,1,1.27
-10,66,1,0.95,140,1,0.448
-42,112,2,0.95,140,1,0.681
-98,153,1,0.95,140,1,0.096
320,278,2,0.95,140,2,1.727
-267,-85,1,0.95,140,1,0.581
-40,98,2,0.95,140,1,0.032
-1,161,1,0.95,140,2,2.509
184,-204,2,0.95,140,2,0.918
-17,19,1,0.95,140,2,3.849
57,213,2,0.95,140,2,2.279
-159,106,1,0.95,140,1,0.391
44,-80,2,0.95,140,2,0.351
5,-87,1,0.95,140,1,1.988
191,-185,2,0.95,140,2,1.754
-22,-107,1,0.95,140,1,0.721
142,-166,2,0.95,140,2,1.193
-74,152,1,0.95,140,1,0.667
55,217,2,0.95,140,2,0.87
-205,58,1,0.95,140,1,0.097
-5,61,2,0.95,140,1,0.873
146,-101,1,0.95,140,2,1.719
59,-178,2,0.95,140,2,0.758
-42,100,1,0.95,140,1,1.044
160,-259,2,0.95,140,2,0.397
-137,-193,1,0.95,140,1,1.152
-334,-34,2,0.95,140,1,0.739
18,-15,1,0.95,140,2,2.905
101,-24,2,0.95,140,2,1.134
83,317,1,0.95,140,2,4.832
437,8,2,0.95,140,2,1.269
-2,-89,1,0.95,140,2,1.252
131,-221,2,0.95,140,2,0.793
-66,-16,1,0.95,140,1,0.614
114,52,2,0.95,140,2,0.43
-129,-150,1,0.95,140,1,1.185
-125,1,2,0.95,140,1,0.268
189,112,1,0.95,140,2,0.616
1,42,2,0.95,140,1,0.767
-138,-322,2,0.95,140,1,0.665
102,47,1,0.95,140,2,0.568
