egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-149,215,1,0.05,140,1,0.416
-258,-69,1,0.05,140,1,0.381
62,-1,1,0.05,140,2,2.452
-168,-245,1,0.05,140,1,0.755
44,5,1,0.05,140,2,1.857
-29,54,1,0.05,140,1,0.591
-8,-31,1,0.05,140,1,0.728
-314,142,1,0.05,140,1,0.131
-89,102,1,0.05,140,1,0.803
-417,-74,1,0.05,140,1,0.317
163,-193,1,0.05,140,2,0.268
-227,-96,1,0.05,140,1,1.369
-179,-64,1,0.05,140,1,0.091
137,17,1,0.05,140,2,0.469
-53,-82,1,0.05,140,1,2.047
138,-161,1,0.05,140,2,0.267
-226,26,1,0.05,140,1,0.124
93,127,1,0.05,140,2,0.291
-305,23,1,0.05,140,1,0.536
-32,250,1,0.05,140,1,0.456
-152,164,1,0.05,140,1,0.321
-60,-56,1,0.05,140,1,0.046
-55,156,1,0.05,140,1,2
-38,-176,1,0.05,140,2,0.378
-66,228,1,0.05,140,1,0.108
-252,18,1,0.05,140,1,0.337
-164,-196,1,0.05,140,1,0.665
-60,-46,1,0.05,140,1,0.237
149,23,1,0.05,140,2,0.224
224,8,2,0.05,140,2,0.323
278,-6,2,0.05,140,2,0.001
-9,-262,2,0.05,140,2,0.867
51,138,2,0.05,140,2,0.203
-21,130,1,0.05,140,1,0.155
11,132,1,0.05,140,2,0.212
134,94,1,0.05,140,2,0.506
64,138,1,0.05,140,2,0.314
-156,3,1,0.05,140,1,0.342
30,-92,1,0.05,140,2,0.19
-258,-341,1,0.05,140,2,0.247
-110,-135,1,0.05,140,1,0.111
101,-368,1,0.05,140,2,0.295
203,84,1,0.05,140,2,0.342
69,149,1,0.05,140,2,0.696
-155,315,1,0.05,140,1,0.176
-108,-210,1,0.05,140,1,0
-111,-115,1,0.05,140,1,0.39
5,-147,1,0.05,140,2,1.065
-79,72,1,0.05,140,1,0.108
-95,44,1,0.05,140,1,0.376
-65,105,1,0.05,140,1,0.439
55,-37,1,0.05,140,2,0.034
112,177,1,0.05,140,1,0.973
-150,-139,1,0.05,140,2,0.388
-108,-238,1,0.05,140,2,0.452
-94,58,1,0.05,140,1,0.185
-132,270,1,0.05,140,1,0.077
5,-152,1,0.05,140,2,1.56
