egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-42,-36,1,0.05,33,1,0.118
-125,9,1,0.05,33,1,0.271
-21,-19,1,0.05,33,1,0.13
-89,-80,1,0.05,33,1,0.085
-104,42,1,0.05,33,1,0.091
-78,-22,1,0.05,33,1,0.002
54,49,2,0.05,33,2,0.658
61,-15,2,0.05,33,2,0.127
147,73,2,0.05,33,2,0.025
124,24,2,0.05,33,2,2.063
114,-31,2,0.05,33,2,17.907
54,-41,2,0.05,33,2,0.376
28,30,2,0.05,33,2,0.354
-103,-5,1,0.05,33,1,0.365
-167,-8,1,0.05,33,1,0.383
-98,-58,1,0.05,33,1,0.053
-81,31,1,0.05,33,1,0.259
-52,1,1,0.05,33,1,0.173
-66,-29,1,0.05,33,1,0.11
-132,-27,1,0.05,33,1,0.198
-56,-13,1,0.05,33,1,0.032
-75,11,1,0.05,33,1,0.151
-61,79,1,0.05,33,1,0.123
-1,32,1,0.05,33,1,0.212
41,-43,2,0.05,33,2,0.145
49,58,2,0.05,33,2,0.209
110,1,2,0.05,33,2,0.751
133,29,2,0.05,33,2,0.6
110,49,2,0.05,33,2,0.019
101,-25,2,0.05,33,2,0.079
31,10,2,0.05,33,2,0.041
102,47,2,0.05,33,2,0.098
67,2,2,0.05,33,2,0.013
82,-40,2,0.05,33,2,0.574
48,15,2,0.05,33,2,0
39,38,2,0.05,33,2,0.039
109,-70,2,0.05,33,2,0.059
71,-13,2,0.05,33,2,0.042
22,-28,2,0.05,33,2,0.454
52,41,2,0.05,33,2,0.392
102,55,2,0.05,33,2,0.261
39,-10,2,0.05,33,2,0.196
35,-24,2,0.05,33,2,0.473
80,69,2,0.05,33,2,0.533
33,38,2,0.05,33,2,0.685
114,6,2,0.05,33,2,0.458
109,-11,2,0.05,33,2,0.349
-120,-36,1,0.05,33,1,0.506
-88,13,1,0.05,33,1,0.416
-140,21,1,0.05,33,1,0.516
11,24,1,0.05,33,1,0.106
-74,-1,1,0.05,33,1,0.048
-136,6,1,0.05,33,1,0.149
-128,14,1,0.05,33,1,3.842
-34,-14,1,0.05,33,1,0.282
-58,-24,1,0.05,33,1,0.309
-66,33,1,0.05,33,1,0.174
-86,-45,1,0.05,33,1,0.725
-142,65,1,0.05,33,1,0.098
-93,-9,1,0.05,33,1,0.404
-50,4,1,0.05,33,1,0.516
-84,53,1,0.05,33,1,0.428
-59,27,1,0.05,33,1,0.469
56,16,2,0.05,33,2,0.114
39,-33,2,0.05,33,2,0.799
86,-25,2,0.05,33,2,0.593
86,25,2,0.05,33,2,0.493
135,-18,2,0.05,33,2,0.713
63,50,2,0.05,33,2,0.058
79,-27,2,0.05,33,2,0.291
86,42,2,0.05,33,2,0.428
68,18,2,0.05,33,2,0.245
126,15,2,0.05,33,2,0.462
80,-8,2,0.05,33,2,0.145
84,8,2,0.05,33,2,0.144
13,-47,2,0.05,33,2,0.498
81,-34,2,0.05,33,2,0.183
57,18,2,0.05,33,2,0.169
70,45,2,0.05,33,2,0.074
-81,1,1,0.05,33,1,0.37
-52,4,1,0.05,33,1,0.039
-105,22,1,0.05,33,1,0.318
-111,50,1,0.05,33,1,0.067
-84,3,1,0.05,33,1,0.179
-77,-35,1,0.05,33,1,0.218
-73,-24,1,0.05,33,1,0.006
-26,13,1,0.05,33,1,0.11
-95,10,1,0.05,33,1,0.09
-70,-13,1,0.05,33,1,0.012
-27,3,1,0.05,33,1,0.334
-87,46,1,0.05,33,1,0.258
-159,-18,1,0.05,33,1,2.512
43,-18,2,0.05,33,2,0.001
88,-12,2,0.05,33,2,0.245
74,6,2,0.05,33,2,0.268
71,7,2,0.05,33,2,0.11
-32,7,2,0.05,33,1,0.054
71,-9,2,0.05,33,2,0.25
68,-11,2,0.05,33,2,0.074
55,23,2,0.05,33,2,0.016
98,73,2,0.05,33,2,0.04
68,1,2,0.05,33,2,0.221
45,-3,2,0.05,33,2,0.108
84,-3,2,0.05,33,2,0.238
94,19,2,0.05,33,2,0.297
28,-9,2,0.05,33,2,0.179
128,-22,2,0.05,33,2,0.195
87,30,2,0.05,33,2,0.054
75,-25,2,0.05,33,2,0.317
57,-41,2,0.05,33,2,0.27
63,-8,2,0.05,33,2,0.138
28,32,2,0.05,33,2,0.364
30,-29,2,0.05,33,2,0.096
79,-41,2,0.05,33,2,0.045
100,-53,2,0.05,33,2,0.522
77,-8,2,0.05,33,2,0.075
61,11,2,0.05,33,2,0.007
69,34,2,0.05,33,2,0.572
68,20,2,0.05,33,2,0.189
84,10,2,0.05,33,2,0.31
43,8,2,0.05,33,2,0.417
64,14,2,0.05,33,2,0.682
4,21,2,0.05,33,2,0.093
87,-48,2,0.05,33,2,0.128
103,61,2,0.05,33,2,0.306
19,-23,2,0.05,33,2,0.122
72,25,2,0.05,33,2,0.215
79,19,2,0.05,33,2,0.508
173,1,2,0.05,33,2,0.024
70,1,2,0.05,33,2,0.142
56,-4,2,0.05,33,2,0.439
63,33,2,0.05,33,2,0.57
84,21,2,0.05,33,2,0.324
89,40,2,0.05,33,2,0.022
31,-40,2,0.05,33,2,0.052
55,46,2,0.05,33,2,0.293
53,-44,2,0.05,33,2,0.339
-122,42,1,0.05,33,1,0.12
-97,-29,1,0.05,33,1,0.325
-114,-41,1,0.05,33,1,0.377
-90,-50,1,0.05,33,1,0.415
-98,-12,1,0.05,33,1,0.087
-34,-55,1,0.05,33,1,0.082
-66,-44,1,0.05,33,1,0.005
-53,-35,1,0.05,33,1,0.938
-104,32,1,0.05,33,1,3.204
-52,-63,1,0.05,33,1,0.063
-61,62,1,0.05,33,1,6.423
-48,5,1,0.05,33,1,0.045
-102,25,1,0.05,33,1,0.109
-55,-22,1,0.05,33,1,37.19
-32,-5,1,0.05,33,1,0.631
-50,-23,1,0.05,33,1,0.446
-79,11,1,0.05,33,1,0.372
-53,39,1,0.05,33,1,0.2
-54,-33,1,0.05,33,1,0.094
-79,45,1,0.05,33,1,0.139
-97,-8,1,0.05,33,1,0.106
-52,1,1,0.05,33,1,0.129
-119,-27,1,0.05,33,1,0.123
-121,-12,1,0.05,33,1,0.021
-89,17,1,0.05,33,1,0.111
-87,-58,1,0.05,33,1,0.182
-60,-6,1,0.05,33,1,0.334
-13,-5,1,0.05,33,1,0.363
-77,-17,1,0.05,33,1,0.339
-84,-3,1,0.05,33,1,0.098
-57,5,1,0.05,33,1,0.311
-127,44,1,0.05,33,1,0.078
-90,-17,1,0.05,33,1,0.144
-87,31,1,0.05,33,1,0.335
-72,-63,1,0.05,33,1,0.686
-69,-1,1,0.05,33,1,0.33
-18,-34,1,0.05,33,1,0.54
-81,-11,1,0.05,33,1,0.322
-106,-30,1,0.05,33,1,0.36
-88,-40,1,0.05,33,1,0.059
-7,-32,1,0.05,33,1,0.095
-112,-62,1,0.05,33,1,0.142
-53,-13,1,0.05,33,1,0.119
-53,-14,1,0.05,33,1,0.208
-73,-33,1,0.05,33,1,0.178
-107,58,1,0.05,33,1,0.433
-68,14,1,0.05,33,1,0.259
-94,-74,1,0.05,33,1,0.511
-71,37,1,0.05,33,1,0.325
-52,-40,1,0.05,33,1,0.233
-63,-16,1,0.05,33,1,0.326
-112,12,1,0.05,33,1,0.277
-108,26,1,0.05,33,1,0.367
-104,-43,1,0.05,33,1,0.279
-71,-11,1,0.05,33,1,0.042
-50,-25,1,0.05,33,1,0.109
-98,8,1,0.05,33,1,0.236
-37,29,1,0.05,33,1,0.368
-82,-3,1,0.05,33,1,0.143
-88,-59,1,0.05,33,1,0.132
-67,-10,1,0.05,33,1,0.164
-67,-6,1,0.05,33,1,0.253
9,-4,2,0.2,33,2,0.964
81,-30,2,0.2,33,2,0.452
117,-44,2,0.2,33,2,0.205
58,16,2,0.2,33,2,0.695
136,-7,2,0.2,33,2,0.02
88,31,2,0.2,33,2,0.179
129,-47,2,0.2,33,2,0.249
-80,35,1,0.2,33,1,0.132
69,-18,2,0.2,33,2,0.218
59,-40,2,0.2,33,2,0.012
15,25,2,0.2,33,2,0.029
79,-10,2,0.2,33,2,0.456
36,3,2,0.2,33,2,0.024
111,-39,2,0.2,33,2,0.106
108,-40,2,0.2,33,2,0.178
-39,-16,1,0.2,33,1,0.673
-113,-14,1,0.2,33,1,0.26
-76,28,1,0.2,33,1,0.235
-46,48,1,0.2,33,1,0.424
-90,-8,1,0.2,33,1,0.523
81,1,2,0.2,33,2,0.463
-47,-29,1,0.2,33,1,0.438
-89,-13,1,0.2,33,1,0.476
83,-18,2,0.2,33,2,0.78
79,-23,2,0.2,33,2,0.307
73,91,2,0.2,33,2,0.512
20,-14,2,0.2,33,2,0.346
38,2,2,0.2,33,2,0.646
-70,-12,1,0.2,33,1,0.335
-70,-57,1,0.2,33,1,0.274
-118,10,1,0.2,33,1,0.342
-135,-13,1,0.2,33,1,0.189
-64,52,1,0.2,33,1,0.294
-80,-6,1,0.2,33,1,0.523
-78,37,1,0.2,33,1,0.53
-25,11,1,0.2,33,1,0.566
-111,-11,1,0.2,33,1,0.01
-28,-27,1,0.2,33,1,0.103
58,3,2,0.2,33,2,0.148
-42,32,1,0.2,33,1,0.266
43,-16,2,0.2,33,2,0.007
16,-52,2,0.2,33,2,0.249
46,-9,2,0.2,33,2,0.144
77,61,2,0.2,33,2,0.139
122,-64,2,0.2,33,2,0.195
98,5,2,0.2,33,2,0.034
85,23,2,0.2,33,2,0.193
83,17,2,0.2,33,2,0.116
-63,-37,1,0.2,33,1,0.099
68,34,2,0.2,33,2,0.085
89,18,2,0.2,33,2,0.084
67,60,2,0.2,33,2,0.23
71,-10,2,0.2,33,2,0.046
-150,-3,1,0.2,33,1,0.256
-65,-21,1,0.2,33,1,0.188
49,1,2,0.2,33,2,0.142
63,-22,2,0.2,33,2,0.23
-92,-26,1,0.2,33,1,0.154
-45,-18,1,0.2,33,1,0.043
-44,34,1,0.2,33,1,0.232
52,14,2,0.2,33,2,0.089
-85,32,1,0.2,33,1,0.004
-31,1,1,0.2,33,1,0.035
-67,3,1,0.2,33,1,0.411
-59,-47,1,0.2,33,1,0.219
-42,-32,1,0.2,33,1,0.369
-149,-6,1,0.2,33,1,0.072
67,-12,2,0.2,33,2,0.111
97,16,2,0.2,33,2,0.343
108,-11,2,0.2,33,2,0.183
51,-105,2,0.2,33,2,0.164
34,-37,2,0.2,33,2,0.001
-48,32,1,0.2,33,1,0.018
114,-26,2,0.2,33,2,0.294
61,3,2,0.2,33,2,0.025
49,-23,2,0.2,33,2,0.135
96,16,2,0.2,33,2,0.053
7,8,2,0.2,33,2,0.18
94,10,2,0.2,33,2,0.048
76,-22,2,0.2,33,2,0.507
34,-62,2,0.2,33,2,0.742
-85,-11,1,0.2,33,1,0.014
