egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
9,-4,2,0.2,33,2,0.311
81,-30,2,0.2,33,2,0.01
117,-44,2,0.2,33,2,0.028
58,16,2,0.2,33,2,0.019
136,-7,2,0.2,33,2,0.028
88,31,2,0.2,33,2,2.718
129,-47,2,0.2,33,2,0.009
-80,35,1,0.2,33,1,0.019
69,-18,2,0.2,33,2,0.03
15,25,2,0.2,33,2,0.029
79,-10,2,0.2,33,2,0.019
36,3,2,0.2,33,2,0.018
111,-39,2,0.2,33,2,0.032
108,-40,2,0.2,33,2,0.012
-39,-16,1,0.2,33,1,0.033
-113,-14,1,0.2,33,1,0.128
-76,28,1,0.2,33,1,0.185
-46,48,1,0.2,33,1,0.031
-90,-8,1,0.2,33,1,0.031
81,1,2,0.2,33,2,0.005
-47,-29,1,0.2,33,1,34.879
-89,-13,1,0.2,33,1,0.779
83,-18,2,0.2,33,2,1.046
79,-23,2,0.2,33,2,0.096
73,91,2,0.2,33,2,0.189
20,-14,2,0.2,33,2,0.02
38,2,2,0.2,33,2,0.165
-70,-12,1,0.2,33,1,0.351
-70,-57,1,0.2,33,1,0.193
-118,10,1,0.2,33,1,0.472
-135,-13,1,0.2,33,1,0.078
-64,52,1,0.2,33,1,0.34
-80,-6,1,0.2,33,1,0.007
-78,37,1,0.2,33,1,0.536
-25,11,1,0.2,33,1,0.351
-111,-11,1,0.2,33,1,0.13
-28,-27,1,0.2,33,1,26.575
58,3,2,0.2,33,2,0.244
-42,32,1,0.2,33,1,0.315
43,-16,2,0.2,33,2,0.025
16,-52,2,0.2,33,2,0.205
46,-9,2,0.2,33,2,0.252
77,61,2,0.2,33,2,0.341
122,-64,2,0.2,33,2,0.418
98,5,2,0.2,33,2,0.289
85,23,2,0.2,33,2,0.167
83,17,2,0.2,33,2,0.016
-63,-37,1,0.2,33,1,0.826
68,34,2,0.2,33,2,0.288
89,18,2,0.2,33,2,0.463
67,60,2,0.2,33,2,0.43
71,-10,2,0.2,33,2,0.448
-150,-3,1,0.2,33,1,0.025
-65,-21,1,0.2,33,1,0.166
49,1,2,0.2,33,2,0.027
63,-22,2,0.2,33,2,0.484
-92,-26,1,0.2,33,1,0.144
-45,-18,1,0.2,33,1,0.012
-44,34,1,0.2,33,1,0.047
52,14,2,0.2,33,2,0.02
-85,32,1,0.2,33,1,0.024
-31,1,1,0.2,33,1,0.014
-67,3,1,0.2,33,1,6.871
-59,-47,1,0.2,33,1,0.01
-42,-32,1,0.2,33,1,0.723
-149,-6,1,0.2,33,1,0.023
67,-12,2,0.2,33,2,0.028
