egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
9,-4,2,0.2,33,2,0.859
81,-30,2,0.2,33,2,0.18
117,-44,2,0.2,33,2,0.401
58,16,2,0.2,33,2,0.316
136,-7,2,0.2,33,2,0.398
88,31,2,0.2,33,2,0.401
129,-47,2,0.2,33,2,0.466
-80,35,1,0.2,33,2,0.337
69,-18,2,0.2,33,1,0.605
59,-40,2,0.2,33,2,0.747
15,25,2,0.2,33,2,0.083
79,-10,2,0.2,33,2,0.475
36,3,2,0.2,33,2,0.17
111,-39,2,0.2,33,2,0.251
108,-40,2,0.2,33,2,0.394
-39,-16,1,0.2,33,1,0.038
-113,-14,1,0.2,33,1,0.178
-76,28,1,0.2,33,1,0.322
-46,48,1,0.2,33,1,0.28
-90,-8,1,0.2,33,1,0.398
81,1,2,0.2,33,2,0.08
-47,-29,1,0.2,33,1,0.347
-89,-13,1,0.2,33,1,0.042
83,-18,2,0.2,33,2,0.585
79,-23,2,0.2,33,2,0.178
73,91,2,0.2,33,2,0.19
20,-14,2,0.2,33,2,0.122
38,2,2,0.2,33,2,0.213
-70,-12,1,0.2,33,1,0.113
-70,-57,1,0.2,33,1,1.356
-118,10,1,0.2,33,1,0.015
-135,-13,1,0.2,33,1,0.422
-64,52,1,0.2,33,1,0.447
-80,-6,1,0.2,33,1,0.375
-78,37,1,0.2,33,1,0.324
-25,11,1,0.2,33,1,0.151
-111,-11,1,0.2,33,1,0.111
-28,-27,1,0.2,33,1,0.007
58,3,2,0.2,33,2,0.868
-42,32,1,0.2,33,1,0.603
43,-16,2,0.2,33,2,0.478
16,-52,2,0.2,33,2,0.352
46,-9,2,0.2,33,2,0.556
77,61,2,0.2,33,2,0.358
122,-64,2,0.2,33,2,0.311
98,5,2,0.2,33,2,0.605
85,23,2,0.2,33,2,0.488
83,17,2,0.2,33,2,0.516
-63,-37,1,0.2,33,1,0.546
68,34,2,0.2,33,2,0.708
89,18,2,0.2,33,2,0.534
67,60,2,0.2,33,2,0.646
71,-10,2,0.2,33,2,0.614
-150,-3,1,0.2,33,1,0.221
-65,-21,1,0.2,33,1,0.32
49,1,2,0.2,33,2,0.521
63,-22,2,0.2,33,2,0.485
-92,-26,1,0.2,33,1,0.609
-45,-18,1,0.2,33,1,0.788
-44,34,1,0.2,33,1,0.646
52,14,2,0.2,33,2,0.393
-85,32,1,0.2,33,1,0.561
-31,1,1,0.2,33,1,13.81
-67,3,1,0.2,33,1,0.7
-59,-47,1,0.2,33,1,0.124
-42,-32,1,0.2,33,1,0.21
-149,-6,1,0.2,33,1,1.177
67,-12,2,0.2,33,2,0.183
97,16,2,0.2,33,2,0.047
108,-11,2,0.2,33,2,0.306
51,-105,2,0.2,33,2,0.27
34,-37,2,0.2,33,2,0.206
-48,32,1,0.2,33,1,0.187
114,-26,2,0.2,33,2,0.428
61,3,2,0.2,33,2,0.007
49,-23,2,0.2,33,2,1.548
96,16,2,0.2,33,2,0.483
7,8,2,0.2,33,2,0.548
94,10,2,0.2,33,2,0.751
76,-22,2,0.2,33,2,0.925
34,-62,2,0.2,33,2,0.146
-85,-11,1,0.2,33,1,0.561
-114,12,1,0.2,33,1,0.368
-91,-11,1,0.2,33,1,0.403
-28,17,1,0.2,33,1,0.543
23,57,2,0.2,33,2,2.13
38,-2,2,0.2,33,2,0.132
-61,-2,1,0.2,33,1,0.581
-77,3,1,0.2,33,1,0.245
-51,49,1,0.2,33,1,1.014
-74,-9,1,0.2,33,1,5.848
-55,29,1,0.2,33,1,0.407
-134,-14,1,0.2,33,1,0.924
-70,-39,1,0.2,33,1,1.246
-80,-59,1,0.2,33,1,0.565
108,-15,2,0.2,33,2,0.64
-139,-43,1,0.2,33,1,0.63
-54,-14,1,0.2,33,1,0.53
-105,35,1,0.2,33,1,3.584
38,16,2,0.2,33,2,1.766
94,-25,2,0.2,33,2,0.644
-108,24,1,0.2,33,1,0.648
-137,16,1,0.2,33,1,0.073
38,-7,2,0.2,33,2,0.01
33,-27,2,0.2,33,2,0.566
93,18,2,0.2,33,2,0.032
87,-23,2,0.2,33,2,0.054
71,9,2,0.2,33,2,0.439
47,71,2,0.2,33,2,0.536
62,1,2,0.2,33,2,0.44
-70,-12,1,0.2,33,1,0.522
-103,-10,1,0.2,33,1,0.34
-36,4,1,0.2,33,1,0.515
-68,31,1,0.2,33,1,0.955
81,-24,2,0.2,33,2,0.748
-36,36,1,0.2,33,1,0.163
63,12,2,0.2,33,2,0.24
100,-7,2,0.2,33,2,0.058
-133,23,1,0.2,33,1,0.659
-52,22,1,0.2,33,1,0.573
-100,-29,1,0.2,33,1,0.798
-97,-25,1,0.2,33,1,2.597
-65,-47,1,0.2,33,1,0.783
-77,-26,1,0.2,33,1,0.667
-67,-16,1,0.2,33,1,0.051
83,-33,2,0.2,33,2,0.176
102,13,2,0.2,33,2,0.576
6,65,2,0.2,33,2,0.562
52,11,2,0.2,33,2,0.344
103,-64,2,0.2,33,2,0.46
62,44,2,0.2,33,2,0.575
73,7,2,0.2,33,2,1.125
104,14,2,0.2,33,2,0.718
-64,11,1,0.2,33,1,0.247
-80,42,1,0.2,33,1,0.995
-102,30,1,0.2,33,1,0.502
-51,53,1,0.2,33,1,0.527
-145,-13,1,0.2,33,1,0.23
-114,1,1,0.2,33,1,0.225
-27,10,1,0.2,33,1,0.853
-81,5,1,0.2,33,1,0.5
-66,11,1,0.2,33,1,0.171
-67,-78,1,0.2,33,1,0.065
-84,20,1,0.2,33,1,0.615
-79,32,1,0.2,33,1,0.087
1,25,1,0.2,33,2,3.302
-139,-3,1,0.2,33,1,0.984
-132,-11,1,0.2,33,1,0.163
-32,20,1,0.2,33,1,0.872
-64,23,1,0.2,33,1,0.984
-23,-21,1,0.2,33,1,1.419
-66,25,1,0.2,33,1,0.75
79,7,2,0.2,33,2,0.651
55,15,2,0.2,33,2,0.094
80,50,2,0.2,33,2,0.383
61,20,2,0.2,33,2,0.67
1,12,2,0.2,33,2,0.044
74,-37,2,0.2,33,2,0.069
6,-44,1,0.2,33,2,0.096
86,-55,2,0.2,33,2,0.348
91,55,2,0.2,33,2,0.604
-93,-10,1,0.2,33,1,1.217
-101,22,1,0.2,33,1,0.69
-52,-4,1,0.2,33,1,2.509
-72,-10,1,0.2,33,1,0.049
-107,-10,1,0.2,33,1,0.659
-29,39,1,0.2,33,1,1.043
-84,-10,1,0.2,33,1,0.108
-57,-6,1,0.2,33,1,0.902
-78,-30,1,0.2,33,1,0.747
-54,9,1,0.2,33,1,0.514
-62,-92,1,0.2,33,1,0.494
-42,11,1,0.2,33,1,0.267
-92,-17,1,0.2,33,1,0.675
-127,40,1,0.2,33,1,0.147
9,54,1,0.2,33,2,0.147
-48,16,1,0.2,33,1,0.698
-98,-49,1,0.2,33,1,0.165
-63,35,1,0.2,33,1,0.684
-67,-6,1,0.2,33,1,0.524
-85,17,1,0.2,33,1,0.31
-76,-1,1,0.2,33,1,0.226
-64,-35,1,0.2,33,1,0.085
-18,60,1,0.2,33,1,0.067
-56,-49,1,0.2,33,1,0.956
-89,22,1,0.2,33,1,0.734
31,-32,2,0.2,33,2,0.566
87,-15,2,0.2,33,2,0.52
-95,-5,1,0.2,33,1,0.257
-63,-41,1,0.2,33,1,0.341
44,35,2,0.2,33,2,0.074
13,15,2,0.2,33,2,0.707
99,-22,2,0.2,33,2,0.667
-95,-37,1,0.2,33,1,0.222
-99,47,1,0.2,33,1,0.819
-56,-28,1,0.2,33,1,0.746
-83,65,1,0.2,33,1,0.913
119,25,2,0.2,33,2,0.277
66,11,2,0.2,33,2,0.635
28,-29,2,0.2,33,2,0.249
-42,-36,1,0.05,33,1,0.257
-125,9,1,0.05,33,1,0.787
-21,-19,1,0.05,33,1,0.529
-89,-80,1,0.05,33,1,0.626
-104,42,1,0.05,33,1,0.388
-78,-22,1,0.05,33,1,0.1
54,49,2,0.05,33,2,0.062
61,-15,2,0.05,33,2,0.381
147,73,2,0.05,33,2,0.281
88,33,2,0.05,33,2,0.177
124,24,2,0.05,33,2,0.499
114,-31,2,0.05,33,2,0.088
54,-41,2,0.05,33,2,0.053
28,30,2,0.05,33,2,0.063
-103,-5,1,0.05,33,1,0.094
-167,-8,1,0.05,33,1,0.269
-98,-58,1,0.05,33,1,1.004
-81,31,1,0.05,33,1,0.573
-52,1,1,0.05,33,1,0.503
-66,-29,1,0.05,33,1,0.089
-132,-27,1,0.05,33,1,0.604
-56,-13,1,0.05,33,1,0.9
-75,11,1,0.05,33,1,0.119
-61,79,1,0.05,33,1,0.182
-1,32,1,0.05,33,1,0.37
41,-43,2,0.05,33,2,0.608
49,58,2,0.05,33,2,0.15
110,1,2,0.05,33,2,0.463
133,29,2,0.05,33,2,0.382
110,49,2,0.05,33,2,0.208
101,-25,2,0.05,33,2,0.26
31,10,2,0.05,33,2,0.334
102,47,2,0.05,33,2,0.289
67,2,2,0.05,33,2,7.399
82,-40,2,0.05,33,2,1.121
48,15,2,0.05,33,2,2.883
39,38,2,0.05,33,2,2.728
109,-70,2,0.05,33,2,1.184
71,-13,2,0.05,33,2,0.324
22,-28,2,0.05,33,2,0.898
52,41,2,0.05,33,2,0.151
102,55,2,0.05,33,2,0.109
39,-10,2,0.05,33,2,0.955
35,-24,2,0.05,33,2,1.021
80,69,2,0.05,33,2,0.3
33,38,2,0.05,33,2,0.292
114,6,2,0.05,33,2,0.652
109,-11,2,0.05,33,2,0.278
-120,-36,1,0.05,33,1,0.418
-88,13,1,0.05,33,1,0.572
-140,21,1,0.05,33,1,0.687
11,24,1,0.05,33,2,0.372
-74,-1,1,0.05,33,1,0.517
-136,6,1,0.05,33,1,0.633
-128,14,1,0.05,33,1,0.137
-34,-14,1,0.05,33,1,1.511
-58,-24,1,0.05,33,1,0.461
-66,33,1,0.05,33,1,0.898
-86,-45,1,0.05,33,1,0.362
-142,65,1,0.05,33,1,0.048
-93,-9,1,0.05,33,1,0.659
-50,4,1,0.05,33,1,0.004
-84,53,1,0.05,33,1,0.164
-59,27,1,0.05,33,1,0.189
56,16,2,0.05,33,2,0.02
39,-33,2,0.05,33,2,0.204
86,-25,2,0.05,33,2,0.018
86,25,2,0.05,33,2,0.736
135,-18,2,0.05,33,2,0.332
63,50,2,0.05,33,2,0.904
79,-27,2,0.05,33,2,0.294
86,42,2,0.05,33,2,0.778
68,18,2,0.05,33,2,0.885
126,15,2,0.05,33,2,2.46
80,-8,2,0.05,33,2,0.804
84,8,2,0.05,33,2,0.062
13,-47,2,0.05,33,2,0.527
81,-34,2,0.05,33,2,0.276
57,18,2,0.05,33,2,0.806
70,45,2,0.05,33,2,0.91
-81,1,1,0.05,33,1,0.131
-52,4,1,0.05,33,1,0.715
-105,22,1,0.05,33,1,0.396
-111,50,1,0.05,33,1,0.513
-84,3,1,0.05,33,1,0.373
-77,-35,1,0.05,33,1,0.224
-73,-24,1,0.05,33,1,0.735
-26,13,1,0.05,33,1,0.781
-95,10,1,0.05,33,1,0.573
-70,-13,1,0.05,33,1,0.47
-27,3,1,0.05,33,1,0.653
-87,46,1,0.05,33,1,0.323
-159,-18,1,0.05,33,1,0.193
43,-18,2,0.05,33,2,0.346
88,-12,2,0.05,33,2,1.581
74,6,2,0.05,33,2,2.744
71,7,2,0.05,33,2,1.567
-32,7,2,0.05,33,1,0.216
71,-9,2,0.05,33,2,0.227
68,-11,2,0.05,33,2,0.324
55,23,2,0.05,33,2,0.032
98,73,2,0.05,33,2,1.138
68,1,2,0.05,33,2,1.01
45,-3,2,0.05,33,2,0.143
84,-3,2,0.05,33,2,0.265
94,19,2,0.05,33,2,0.168
28,-9,2,0.05,33,2,0.016
128,-22,2,0.05,33,2,0.021
87,30,2,0.05,33,2,0.315
75,-25,2,0.05,33,2,0.645
57,-41,2,0.05,33,2,0.495
63,-8,2,0.05,33,2,0.577
28,32,2,0.05,33,2,0.096
30,-29,2,0.05,33,2,0.017
79,-41,2,0.05,33,2,0.931
100,-53,2,0.05,33,2,1.742
77,-8,2,0.05,33,2,0.409
61,11,2,0.05,33,2,0.469
69,34,2,0.05,33,2,0.228
68,20,2,0.05,33,2,0.139
84,10,2,0.05,33,2,0.263
43,8,2,0.05,33,2,0.085
64,14,2,0.05,33,2,0.326
4,21,2,0.05,33,2,0.335
87,-48,2,0.05,33,2,0.759
103,61,2,0.05,33,2,0.761
19,-23,2,0.05,33,2,0.514
72,25,2,0.05,33,2,0.579
79,19,2,0.05,33,2,0.321
173,1,2,0.05,33,2,0.106
70,1,2,0.05,33,2,0.278
56,-4,2,0.05,33,2,0.93
63,33,2,0.05,33,2,0.589
84,21,2,0.05,33,2,0.894
89,40,2,0.05,33,2,0.404
31,-40,2,0.05,33,2,0.545
55,46,2,0.05,33,2,0.311
53,-44,2,0.05,33,2,0.338
-122,42,1,0.05,33,1,0.485
-97,-29,1,0.05,33,1,0.466
-114,-41,1,0.05,33,1,0.349
-90,-50,1,0.05,33,1,0.344
-98,-12,1,0.05,33,1,0.234
-34,-55,1,0.05,33,1,0.221
-66,-44,1,0.05,33,1,0.299
-53,-35,1,0.05,33,1,0.226
-104,32,1,0.05,33,1,0.323
-52,-63,1,0.05,33,1,0.13
-61,62,1,0.05,33,1,0.016
-48,5,1,0.05,33,1,0.192
-102,25,1,0.05,33,1,0.018
-55,-22,1,0.05,33,1,0.121
-32,-5,1,0.05,33,1,0.152
-50,-23,1,0.05,33,1,0.033
-79,11,1,0.05,33,1,0.193
-53,39,1,0.05,33,1,0.15
-54,-33,1,0.05,33,1,0.063
-79,45,1,0.05,33,1,0.744
-97,-8,1,0.05,33,1,0.342
-52,1,1,0.05,33,1,0.837
-119,-27,1,0.05,33,1,0.42
-121,-12,1,0.05,33,1,0.33
-89,17,1,0.05,33,1,0.13
-87,-58,1,0.05,33,1,1.777
-60,-6,1,0.05,33,1,1.579
-13,-5,1,0.05,33,1,0.164
