egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-243,-248,1,0.95,140,1,1.599
196,153,2,0.95,140,2,0.287
12,-213,2,0.95,140,2,2.329
-20,65,1,0.95,140,1,0.941
111,-228,2,0.95,140,2,90.938
93,-85,1,0.95,140,2,0.799
-25,-28,1,0.95,140,1,4.471
168,-15,2,0.95,140,2,0.382
19,-108,1,0.95,140,1,22.841
-150,222,1,0.95,140,1,0.713
188,81,2,0.95,140,2,0.836
30,83,1,0.95,140,2,1.296
-1,59,2,0.95,140,1,0.136
44,29,1,0.95,140,1,1.852
-78,65,2,0.95,140,2,1.165
-132,-123,1,0.95,140,1,0.175
97,-29,2,0.95,140,1,1.061
186,-137,2,0.95,140,2,0.16
-1,-260,1,0.95,140,2,0.271
165,71,2,0.95,140,2,0.078
-264,-380,1,0.95,140,1,0.436
99,-49,2,0.95,140,2,1.016
-189,-11,1,0.95,140,1,0.128
120,180,2,0.95,140,2,0.018
-213,-55,1,0.95,140,1,0.929
251,10,2,0.95,140,2,0.225
-79,5,1,0.95,140,1,1.095
92,9,2,0.95,140,2,0.442
-211,-33,1,0.95,140,1,0.313
14,214,1,0.95,140,2,0.033
145,296,2,0.95,140,2,1.157
-207,-32,1,0.95,140,1,0.407
-86,-46,2,0.95,140,1,0.247
-77,294,1,0.95,140,1,1.082
210,110,2,0.95,140,2,0.052
282,151,1,0.95,140,2,0.041
50,-13,2,0.95,140,2,0.43
30,23,1,0.95,140,1,0.607
37,25,2,0.95,140,1,0.092
-183,-100,1,0.95,140,1,0.657
-65,38,2,0.95,140,1,0.22
-59,-254,1,0.95,140,1,0.079
168,163,2,0.95,140,2,0.416
-19,-3,1,0.95,140,1,0.872
-22,-231,2,0.95,140,1,0.051
91,235,1,0.95,140,2,0.002
321,-100,2,0.95,140,1,0
-190,-101,1,0.95,140,1,0.213
258,215,2,0.95,140,2,1.128
68,-82,2,0.95,140,2,0.212
-4,-48,1,0.95,140,2,0.249
150,219,2,0.95,140,2,0.055
-263,-16,1,0.95,140,1,1.138
-96,109,2,0.95,140,1,0.541
59,-26,1,0.95,140,2,0.25
192,114,2,0.95,140,2,0.228
-55,98,1,0.95,140,2,1.155
88,42,2,0.95,140,2,0.432
1,68,1,0.95,140,2,0.008
147,19,2,0.95,140,2,0.444
-118,-96,1,0.95,140,1,0.373
344,32,2,0.95,140,2,0.104
-94,74,1,0.95,140,1,0.583
179,-31,2,0.95,140,2,0.403
14,-14,1,0.95,140,2,0.164
-99,72,2,0.95,140,1,0.384
-10,66,1,0.95,140,2,0.026
-42,112,2,0.95,140,2,0.098
-98,153,1,0.95,140,2,0.984
320,278,2,0.95,140,2,0.328
-267,-85,1,0.95,140,1,0.351
-40,98,2,0.95,140,2,0.46
-1,161,1,0.95,140,2,0.25
184,-204,2,0.95,140,2,0.115
-17,19,1,0.95,140,2,0.814
57,213,2,0.95,140,2,0.174
-159,106,1,0.95,140,1,0.566
44,-80,2,0.95,140,2,0.44
5,-87,1,0.95,140,2,0.064
191,-185,2,0.95,140,2,0.214
-22,-107,1,0.95,140,1,0.4
142,-166,2,0.95,140,2,0.386
-74,152,1,0.95,140,1,0.086
55,217,2,0.95,140,2,0.067
-205,58,1,0.95,140,1,1.663
-5,61,2,0.95,140,2,0.078
146,-101,1,0.95,140,2,0.034
59,-178,2,0.95,140,2,0.477
-42,100,1,0.95,140,1,0.223
160,-259,2,0.95,140,2,0.159
-137,-193,1,0.95,140,1,0.151
-334,-34,2,0.95,140,1,0.056
18,-15,1,0.95,140,2,0.342
101,-24,2,0.95,140,2,0.063
83,317,1,0.95,140,2,0.557
437,8,2,0.95,140,2,0
-2,-89,1,0.95,140,2,0.567
131,-221,2,0.95,140,2,0.02
-66,-16,1,0.95,140,1,0.38
114,52,2,0.95,140,2,0.443
-129,-150,1,0.95,140,1,0.405
-125,1,2,0.95,140,1,0.286
189,112,1,0.95,140,2,0.416
1,42,2,0.95,140,2,0.221
-138,-322,2,0.95,140,1,0.254
102,47,1,0.95,140,2,0.16
-133,-31,2,0.95,140,1,0.362
-5,-122,2,0.95,140,1,0.174
-118,-271,1,0.95,140,1,0.05
-160,125,2,0.95,140,1,0.117
-358,-78,1,0.95,140,1,0.228
54,-115,2,0.95,140,2,0.062
-11,143,1,0.95,140,2,0.231
88,-166,2,0.95,140,2,0.392
-77,-47,1,0.95,140,1,0.267
119,-28,2,0.95,140,2,0.783
46,25,1,0.95,140,2,0.056
312,16,2,0.95,140,2,0.191
132,73,1,0.95,140,2,0.296
-19,101,2,0.95,140,2,0.896
91,174,1,0.95,140,2,0.827
-2,-380,2,0.95,140,2,0.176
73,202,1,0.95,140,2,0.344
195,-204,2,0.95,140,2,0.109
10,242,1,0.95,140,2,0.577
-35,-207,2,0.95,140,1,0.191
-105,56,1,0.95,140,1,0.134
27,179,1,0.95,140,2,0.257
218,275,2,0.95,140,2,0.15
-119,77,1,0.95,140,1,0.32
76,197,2,0.95,140,2,0.368
-68,-144,1,0.95,140,1,0.124
-64,-13,2,0.95,140,1,0.042
-95,116,1,0.95,140,1,0.504
-34,55,2,0.95,140,1,0.098
33,-23,1,0.95,140,2,0.168
24,-35,2,0.95,140,2,0.36
-31,306,1,0.95,140,2,0.208
179,103,2,0.95,140,2,0.42
-1,14,1,0.95,140,2,0.054
278,-136,2,0.95,140,2,0.136
-48,175,1,0.95,140,1,0.068
-99,1,2,0.95,140,1,0.068
-111,144,1,0.95,140,1,0.249
-127,85,2,0.95,140,1,0.259
-100,88,1,0.95,140,1,0.139
-123,2,2,0.95,140,1,0.125
-161,95,1,0.95,140,1,0.303
188,-7,2,0.95,140,2,0.59
203,-12,1,0.95,140,2,0.261
109,-126,2,0.95,140,2,0.295
-218,58,1,0.95,140,1,0.376
48,12,2,0.95,140,2,0.337
-11,32,1,0.95,140,2,0.385
115,196,2,0.95,140,2,0.463
135,77,1,0.95,140,2,0.156
38,-222,2,0.95,140,2,0.092
-293,5,1,0.95,140,1,0.213
-255,11,2,0.95,140,1,0.14
-282,99,1,0.95,140,1,0.176
148,-175,2,0.95,140,2,0.114
213,-233,1,0.95,140,2,0.003
61,16,2,0.95,140,2,0.207
-86,168,1,0.95,140,1,0.058
-97,34,1,0.95,140,1,0.251
127,-70,2,0.95,140,2,0.267
-253,74,1,0.95,140,1,0.61
-17,-123,2,0.95,140,1,0.262
-27,-4,1,0.95,140,2,0.192
114,302,2,0.95,140,2,0.342
-175,-24,1,0.95,140,1,0.21
73,138,2,0.95,140,2,0.322
-75,48,1,0.95,140,1,0.726
142,77,2,0.95,140,2,1.137
-74,52,1,0.95,140,1,0.166
129,13,2,0.95,140,2,0.153
-80,-269,1,0.95,140,2,1.091
-142,137,1,0.95,140,1,0.422
-119,-293,2,0.95,140,2,0.425
-176,11,1,0.95,140,1,0.18
72,19,2,0.95,140,2,0.64
-203,-66,1,0.95,140,1,0.578
85,27,2,0.95,140,2,0.536
47,-17,1,0.95,140,2,0.25
-8,28,2,0.95,140,2,0.837
-84,-50,1,0.95,140,1,0.063
262,17,2,0.95,140,2,0.126
-141,236,1,0.95,140,1,0.588
-1,-143,2,0.95,140,2,0.174
42,59,1,0.95,140,2,0.71
-53,-57,2,0.95,140,1,2.116
12,54,1,0.95,140,2,1.912
-14,145,2,0.95,140,2,0.283
-303,46,1,0.95,140,1,1.323
176,-15,2,0.95,140,2,0.604
-33,208,1,0.95,140,2,0.04
-122,-34,2,0.95,140,1,0.291
13,32,1,0.95,140,2,0.104
109,142,2,0.95,140,2,0.063
-149,215,1,0.05,140,1,0.146
-258,-69,1,0.05,140,1,0.104
62,-1,1,0.05,140,2,0.057
-168,-245,1,0.05,140,1,0.752
44,5,1,0.05,140,2,0.21
-29,54,1,0.05,140,2,0.288
-8,-31,1,0.05,140,2,0.32
-314,142,1,0.05,140,1,0.577
-89,102,1,0.05,140,1,0.231
-417,-74,1,0.05,140,1,0.532
163,-193,1,0.05,140,2,0.534
-227,-96,1,0.05,140,1,0.674
-179,-64,1,0.05,140,1,0.489
137,17,1,0.05,140,2,0.062
-53,-82,1,0.05,140,1,0.16
138,-161,1,0.05,140,2,2.32
-226,26,1,0.05,140,1,0.248
93,127,1,0.05,140,2,0.366
-305,23,1,0.05,140,1,0.394
-32,250,1,0.05,140,2,12.278
-152,164,1,0.05,140,1,0.944
-60,-56,1,0.05,140,1,0.12
-55,156,1,0.05,140,1,0.428
-38,-176,1,0.05,140,1,0.589
-66,228,1,0.05,140,1,0.203
-252,18,1,0.05,140,1,0.12
-164,-196,1,0.05,140,1,0.399
-60,-46,1,0.05,140,1,0.034
149,23,1,0.05,140,2,0.094
224,8,2,0.05,140,2,0.239
278,-6,2,0.05,140,2,0.369
-9,-262,2,0.05,140,1,0.909
51,138,2,0.05,140,2,0.411
-21,130,1,0.05,140,1,0.86
11,132,1,0.05,140,1,0.264
134,94,1,0.05,140,1,0.663
64,138,1,0.05,140,1,0.114
-156,3,1,0.05,140,1,0.564
30,-92,1,0.05,140,1,0.368
-258,-341,1,0.05,140,1,0.518
-110,-135,1,0.05,140,1,0.405
101,-368,1,0.05,140,1,0.477
203,84,1,0.05,140,1,0.158
69,149,1,0.05,140,1,0.895
-155,315,1,0.05,140,1,0.456
-108,-210,1,0.05,140,1,0.377
-111,-115,1,0.05,140,1,0.408
5,-147,1,0.05,140,1,0.689
-79,72,1,0.05,140,1,0.333
-95,44,1,0.05,140,1,0.331
-65,105,1,0.05,140,2,2.116
55,-37,1,0.05,140,2,1.169
112,177,1,0.05,140,1,0.283
-150,-139,1,0.05,140,1,0.02
-108,-238,1,0.05,140,1,0.507
-94,58,1,0.05,140,1,0.29
-132,270,1,0.05,140,1,0.757
5,-152,1,0.05,140,1,0.25
152,21,2,0.05,140,1,0.049
109,43,2,0.05,140,2,0.377
-27,-297,2,0.05,140,1,0.12
26,-83,2,0.05,140,1,0.394
133,-63,2,0.05,140,2,0.283
-83,84,2,0.05,140,2,0.519
157,96,2,0.05,140,1,0.461
-124,65,2,0.05,140,1,0.329
87,62,2,0.05,140,2,0.358
325,135,2,0.05,140,2,0.164
91,222,2,0.05,140,2,0.224
163,1,2,0.05,140,2,0.118
-128,-156,2,0.05,140,1,0.29
246,-66,2,0.05,140,1,0.236
285,-46,2,0.05,140,2,0.171
-147,-380,2,0.05,140,1,0.269
199,-17,2,0.05,140,2,0.123
62,-10,2,0.05,140,2,0.128
-172,-17,2,0.05,140,1,0.443
-21,162,2,0.05,140,2,0.641
65,153,2,0.05,140,2,0.692
123,150,2,0.05,140,2,0.037
107,-15,2,0.05,140,2,0.047
76,-206,2,0.05,140,2,0.022
258,240,2,0.05,140,2,0.5
146,-138,2,0.05,140,2,0.208
189,35,2,0.05,140,2,0
42,13,2,0.05,140,2,0.404
-45,186,1,0.05,140,1,1.097
61,176,1,0.05,140,1,0.02
-98,-45,1,0.05,140,1,0.186
-48,270,1,0.05,140,1,0.552
-93,-106,2,0.05,140,1,0.002
97,136,2,0.05,140,1,0.233
169,-111,2,0.05,140,2,0.076
-307,22,1,0.05,140,1,0.152
112,82,1,0.05,140,2,0.115
-70,358,1,0.05,140,1,0.655
150,33,1,0.05,140,2,0.348
-36,24,1,0.05,140,1,0.352
-270,-88,1,0.05,140,1,0.537
-253,128,1,0.05,140,1,0.032
-185,160,1,0.05,140,1,0.07
-127,37,1,0.05,140,1,0.177
-33,164,1,0.05,140,1,0.128
-227,274,1,0.05,140,1,0.078
82,58,2,0.05,140,2,0.001
298,39,2,0.05,140,1,0.405
-86,82,2,0.05,140,1,0.286
17,75,2,0.05,140,2,0.24
221,-66,2,0.05,140,2,0.115
22,-84,2,0.05,140,1,0.431
207,5,2,0.05,140,2,0.152
42,81,2,0.05,140,2,1.145
-87,-38,2,0.05,140,1,0.443
-17,-106,2,0.05,140,1,0.202
353,-21,2,0.05,140,2,0.376
-116,-95,1,0.05,140,1,0.04
9,-287,1,0.05,140,1,0.367
-202,-221,1,0.05,140,1,0.254
-370,146,1,0.05,140,1,0.363
37,13,1,0.05,140,2,0.06
-204,214,1,0.05,140,1,0.283
178,-87,1,0.05,140,2,0.474
-178,-4,1,0.05,140,1,0.012
-61,-100,2,0.05,140,1,0.989
227,-62,2,0.05,140,2,0.321
-89,124,2,0.05,140,1,0.163
19,30,2,0.05,140,2,0.213
53,110,2,0.05,140,2,0.275
53,52,2,0.05,140,2,0.403
82,-306,2,0.05,140,1,0.341
