egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
9,-4,2,0.2,33,2,0.315
81,-30,2,0.2,33,2,0.062
117,-44,2,0.2,33,2,0.345
58,16,2,0.2,33,2,0.037
136,-7,2,0.2,33,2,0.505
88,31,2,0.2,33,2,0.145
129,-47,2,0.2,33,2,0.044
-80,35,1,0.2,33,1,0.385
69,-18,2,0.2,33,2,0.445
59,-40,2,0.2,33,2,0.345
15,25,2,0.2,33,2,0.293
79,-10,2,0.2,33,2,0.063
36,3,2,0.2,33,2,0.215
111,-39,2,0.2,33,2,0.135
108,-40,2,0.2,33,2,0.107
-39,-16,1,0.2,33,1,0.413
-113,-14,1,0.2,33,1,0.806
-76,28,1,0.2,33,1,0.284
-46,48,1,0.2,33,1,0.339
-90,-8,1,0.2,33,1,0.423
81,1,2,0.2,33,2,0.611
-47,-29,1,0.2,33,1,0.566
-89,-13,1,0.2,33,1,0.528
83,-18,2,0.2,33,2,1.52
79,-23,2,0.2,33,2,0.713
73,91,2,0.2,33,2,0.801
20,-14,2,0.2,33,2,0.769
38,2,2,0.2,33,2,0.407
-70,-12,1,0.2,33,1,0.837
-70,-57,1,0.2,33,1,0.77
-118,10,1,0.2,33,1,0.524
-135,-13,1,0.2,33,1,0.391
-64,52,1,0.2,33,1,0.173
-80,-6,1,0.2,33,1,0.507
-78,37,1,0.2,33,1,0.485
-25,11,1,0.2,33,1,0.655
-111,-11,1,0.2,33,1,0.22
-28,-27,1,0.2,33,1,0.482
58,3,2,0.2,33,2,0.535
-42,32,1,0.2,33,1,0.095
43,-16,2,0.2,33,2,0.3
16,-52,2,0.2,33,2,0.414
46,-9,2,0.2,33,2,0.689
77,61,2,0.2,33,2,0.356
122,-64,2,0.2,33,2,0.371
98,5,2,0.2,33,2,0.843
85,23,2,0.2,33,2,0.444
83,17,2,0.2,33,2,0.48
-63,-37,1,0.2,33,1,0.451
68,34,2,0.2,33,2,0.571
89,18,2,0.2,33,2,0.336
67,60,2,0.2,33,2,1.113
71,-10,2,0.2,33,2,0.063
-150,-3,1,0.2,33,1,0.213
-65,-21,1,0.2,33,1,0.251
49,1,2,0.2,33,2,0.666
63,-22,2,0.2,33,2,0.187
-92,-26,1,0.2,33,1,0.618
-45,-18,1,0.2,33,1,0.663
-44,34,1,0.2,33,1,0.642
52,14,2,0.2,33,2,1.189
-85,32,1,0.2,33,1,1.532
-31,1,1,0.2,33,1,0.9
-67,3,1,0.2,33,1,0.88
-59,-47,1,0.2,33,1,0.544
-42,-32,1,0.2,33,1,0.59
-149,-6,1,0.2,33,1,0.437
67,-12,2,0.2,33,2,0.52
97,16,2,0.2,33,2,0.546
108,-11,2,0.2,33,2,0.478
51,-105,2,0.2,33,2,0.408
34,-37,2,0.2,33,2,0.267
-48,32,1,0.2,33,1,0.284
114,-26,2,0.2,33,2,0.572
61,3,2,0.2,33,2,0.525
49,-23,2,0.2,33,2,1.059
96,16,2,0.2,33,2,1.273
7,8,2,0.2,33,2,0.648
94,10,2,0.2,33,2,0.612
76,-22,2,0.2,33,2,0.287
34,-62,2,0.2,33,2,0.344
-85,-11,1,0.2,33,1,0.096
-114,12,1,0.2,33,1,0.266
-91,-11,1,0.2,33,1,0.056
-28,17,1,0.2,33,1,0.664
23,57,2,0.2,33,2,0.367
38,-2,2,0.2,33,2,0.148
-61,-2,1,0.2,33,1,0.562
-77,3,1,0.2,33,1,0.178
-51,49,1,0.2,33,1,0.052
-74,-9,1,0.2,33,1,0.463
-55,29,1,0.2,33,1,0.464
-134,-14,1,0.2,33,1,0.47
-70,-39,1,0.2,33,1,0.289
-80,-59,1,0.2,33,1,0.028
108,-15,2,0.2,33,2,0.557
-139,-43,1,0.2,33,1,0.187
-54,-14,1,0.2,33,1,0.236
-105,35,1,0.2,33,1,0.151
38,16,2,0.2,33,2,0.609
94,-25,2,0.2,33,2,0.284
-108,24,1,0.2,33,1,0.197
-137,16,1,0.2,33,1,0.101
38,-7,2,0.2,33,2,0.606
33,-27,2,0.2,33,2,0.818
93,18,2,0.2,33,2,0.434
87,-23,2,0.2,33,2,0.336
71,9,2,0.2,33,2,0.148
47,71,2,0.2,33,2,0.064
62,1,2,0.2,33,2,0.139
-70,-12,1,0.2,33,1,0.258
-103,-10,1,0.2,33,1,0.071
-36,4,1,0.2,33,1,0.548
-68,31,1,0.2,33,1,0.182
81,-24,2,0.2,33,2,0.339
-36,36,1,0.2,33,1,0.515
63,12,2,0.2,33,2,0.489
100,-7,2,0.2,33,2,0.353
-133,23,1,0.2,33,1,0.077
-52,22,1,0.2,33,1,0.89
-100,-29,1,0.2,33,1,0.523
-97,-25,1,0.2,33,1,0.351
-65,-47,1,0.2,33,1,0.086
-77,-26,1,0.2,33,1,0.413
-67,-16,1,0.2,33,1,0.469
83,-33,2,0.2,33,2,0.376
102,13,2,0.2,33,2,0.369
6,65,2,0.2,33,2,0.313
52,11,2,0.2,33,2,0.343
103,-64,2,0.2,33,2,0.327
62,44,2,0.2,33,2,0.129
73,7,2,0.2,33,2,0.655
104,14,2,0.2,33,2,0.351
-64,11,1,0.2,33,1,0.283
-80,42,1,0.2,33,1,0.464
-102,30,1,0.2,33,1,0.447
-51,53,1,0.2,33,1,0.423
-145,-13,1,0.2,33,1,0.288
-114,1,1,0.2,33,1,0.025
