egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
9,-4,2,0.2,33,2,0.287
81,-30,2,0.2,33,2,0.049
117,-44,2,0.2,33,2,0.505
58,16,2,0.2,33,2,0.32
136,-7,2,0.2,33,2,0.151
88,31,2,0.2,33,2,0.174
129,-47,2,0.2,33,2,0.328
-80,35,1,0.2,33,1,0.083
69,-18,2,0.2,33,2,0.033
15,25,2,0.2,33,2,0.031
79,-10,2,0.2,33,2,0.302
36,3,2,0.2,33,2,0.377
111,-39,2,0.2,33,2,0.023
108,-40,2,0.2,33,2,0.414
-39,-16,1,0.2,33,1,0.724
-113,-14,1,0.2,33,1,0.001
-76,28,1,0.2,33,1,0.414
-46,48,1,0.2,33,1,0.012
-90,-8,1,0.2,33,1,0.317
81,1,2,0.2,33,2,0.634
-47,-29,1,0.2,33,1,0.337
-89,-13,1,0.2,33,1,0.271
83,-18,2,0.2,33,2,0.52
79,-23,2,0.2,33,2,0.355
73,91,2,0.2,33,2,0.215
20,-14,2,0.2,33,2,0.219
38,2,2,0.2,33,2,0.168
-70,-12,1,0.2,33,1,0.118
-70,-57,1,0.2,33,1,0.421
-118,10,1,0.2,33,1,0.006
-135,-13,1,0.2,33,1,0.025
-64,52,1,0.2,33,1,0.696
-80,-6,1,0.2,33,1,0.146
-78,37,1,0.2,33,1,0.33
-25,11,1,0.2,33,1,0.177
-111,-11,1,0.2,33,1,0.022
-28,-27,1,0.2,33,1,0.024
58,3,2,0.2,33,2,0.522
-42,32,1,0.2,33,1,0.366
43,-16,2,0.2,33,2,0.321
16,-52,2,0.2,33,2,0.726
46,-9,2,0.2,33,2,0.299
77,61,2,0.2,33,2,0.803
122,-64,2,0.2,33,2,0.604
98,5,2,0.2,33,2,0.59
85,23,2,0.2,33,2,0.468
83,17,2,0.2,33,2,0.528
-63,-37,1,0.2,33,1,0.689
68,34,2,0.2,33,2,0.541
89,18,2,0.2,33,2,0.609
67,60,2,0.2,33,2,0.571
71,-10,2,0.2,33,2,0.503
-150,-3,1,0.2,33,1,0.647
-65,-21,1,0.2,33,1,0.586
49,1,2,0.2,33,2,0.705
63,-22,2,0.2,33,2,0.589
-92,-26,1,0.2,33,1,0.46
-45,-18,1,0.2,33,1,0.561
-44,34,1,0.2,33,1,0.468
52,14,2,0.2,33,2,0.485
-85,32,1,0.2,33,1,0.658
-31,1,1,0.2,33,1,0.519
-67,3,1,0.2,33,1,0.535
-59,-47,1,0.2,33,1,0.369
-42,-32,1,0.2,33,1,0.424
-149,-6,1,0.2,33,1,0.52
67,-12,2,0.2,33,2,0.415
97,16,2,0.2,33,2,0.62
108,-11,2,0.2,33,2,0.419
51,-105,2,0.2,33,2,0.619
34,-37,2,0.2,33,2,0.557
-48,32,1,0.2,33,1,0.648
114,-26,2,0.2,33,2,0.488
61,3,2,0.2,33,2,0.334
49,-23,2,0.2,33,2,0.343
96,16,2,0.2,33,2,0.279
7,8,2,0.2,33,2,0.417
94,10,2,0.2,33,2,0.511
76,-22,2,0.2,33,2,0.484
34,-62,2,0.2,33,2,0.566
-85,-11,1,0.2,33,1,0.401
-114,12,1,0.2,33,1,1.037
-91,-11,1,0.2,33,1,0.554
-28,17,1,0.2,33,1,0.566
23,57,2,0.2,33,2,0.446
38,-2,2,0.2,33,2,0.561
-61,-2,1,0.2,33,1,0.449
-77,3,1,0.2,33,1,0.519
-51,49,1,0.2,33,1,0.757
-74,-9,1,0.2,33,1,0.435
-55,29,1,0.2,33,1,0.465
-134,-14,1,0.2,33,1,0.55
-70,-39,1,0.2,33,1,0.487
-80,-59,1,0.2,33,1,0.397
108,-15,2,0.2,33,2,0.647
-139,-43,1,0.2,33,1,0.585
-54,-14,1,0.2,33,1,0.685
-105,35,1,0.2,33,1,0.565
38,16,2,0.2,33,2,0.515
94,-25,2,0.2,33,2,0.579
-108,24,1,0.2,33,1,0.474
-137,16,1,0.2,33,1,0.764
38,-7,2,0.2,33,2,0.666
33,-27,2,0.2,33,2,0.541
93,18,2,0.2,33,2,0.474
87,-23,2,0.2,33,2,0.356
71,9,2,0.2,33,2,0.588
47,71,2,0.2,33,2,0.61
62,1,2,0.2,33,2,0.718
-70,-12,1,0.2,33,1,0.332
-103,-10,1,0.2,33,1,0.384
-36,4,1,0.2,33,1,0.515
-68,31,1,0.2,33,1,0.717
81,-24,2,0.2,33,2,0.369
-36,36,1,0.2,33,1,0.896
63,12,2,0.2,33,2,0.046
100,-7,2,0.2,33,2,0.481
-133,23,1,0.2,33,1,0.747
-52,22,1,0.2,33,1,0.385
-100,-29,1,0.2,33,1,0.552
-97,-25,1,0.2,33,1,0.436
-65,-47,1,0.2,33,1,0.32
-77,-26,1,0.2,33,1,0.583
-67,-16,1,0.2,33,1,0.338
83,-33,2,0.2,33,2,0.467
102,13,2,0.2,33,2,0.526
6,65,2,0.2,33,2,0.506
52,11,2,0.2,33,2,0.649
103,-64,2,0.2,33,2,0.586
62,44,2,0.2,33,2,0.536
73,7,2,0.2,33,2,0.424
104,14,2,0.2,33,2,0.383
-64,11,1,0.2,33,1,0.512
-80,42,1,0.2,33,1,0.376
-102,30,1,0.2,33,1,0.45
-51,53,1,0.2,33,1,0.469
-145,-13,1,0.2,33,1,0.901
-114,1,1,0.2,33,1,0.402
-27,10,1,0.2,33,1,0.509
-81,5,1,0.2,33,1,0.473
-66,11,1,0.2,33,1,0.516
-67,-78,1,0.2,33,1,0.638
-84,20,1,0.2,33,1,0.709
-79,32,1,0.2,33,1,0.393
1,25,1,0.2,33,2,0.348
-139,-3,1,0.2,33,1,0.334
-132,-11,1,0.2,33,1,0.316
-32,20,1,0.2,33,1,0.361
-64,23,1,0.2,33,1,0.274
-23,-21,1,0.2,33,1,0.386
-66,25,1,0.2,33,1,0.432
79,7,2,0.2,33,2,0.39
55,15,2,0.2,33,2,0.39
80,50,2,0.2,33,2,0.306
61,20,2,0.2,33,2,0.349
1,12,2,0.2,33,1,0.138
74,-37,2,0.2,33,2,0.161
6,-44,1,0.2,33,2,0.02
86,-55,2,0.2,33,2,0.135
91,55,2,0.2,33,2,0.31
-93,-10,1,0.2,33,1,0.173
-101,22,1,0.2,33,1,0.194
-52,-4,1,0.2,33,1,0.25
-72,-10,1,0.2,33,1,0.42
-107,-10,1,0.2,33,1,0.338
-29,39,1,0.2,33,1,0.208
-84,-10,1,0.2,33,1,0.297
-57,-6,1,0.2,33,1,0.417
-78,-30,1,0.2,33,1,0.265
-54,9,1,0.2,33,1,0.426
-62,-92,1,0.2,33,1,0.175
-42,11,1,0.2,33,1,0.301
-92,-17,1,0.2,33,1,0.332
-127,40,1,0.2,33,1,0.35
9,54,1,0.2,33,2,1.251
-48,16,1,0.2,33,1,0.37
-98,-49,1,0.2,33,1,0.714
-63,35,1,0.2,33,1,0.303
-67,-6,1,0.2,33,1,0.222
-85,17,1,0.2,33,1,0.726
-76,-1,1,0.2,33,1,0.562
-64,-35,1,0.2,33,1,11.321
-18,60,1,0.2,33,1,0.665
-56,-49,1,0.2,33,1,0.283
-89,22,1,0.2,33,1,0.46
31,-32,2,0.2,33,2,0.822
87,-15,2,0.2,33,2,0.397
-95,-5,1,0.2,33,1,0.416
-63,-41,1,0.2,33,1,0.957
44,35,2,0.2,33,2,0.556
13,15,2,0.2,33,2,0.556
