egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-243,-248,1,0.95,140,1,0.299
196,153,2,0.95,140,2,0.249
12,-213,2,0.95,140,2,4.869
-20,65,1,0.95,140,2,0.715
111,-228,2,0.95,140,2,0.194
93,-85,1,0.95,140,2,0.224
-25,-28,1,0.95,140,1,0.217
168,-15,2,0.95,140,2,0.503
19,-108,1,0.95,140,2,0.232
332,169,2,0.95,140,2,0.529
-150,222,1,0.95,140,1,0.477
188,81,2,0.95,140,2,0.387
30,83,1,0.95,140,2,0.613
-1,59,2,0.95,140,2,0.478
44,29,1,0.95,140,2,0.306
-78,65,2,0.95,140,1,0.274
-132,-123,1,0.95,140,1,0.551
97,-29,2,0.95,140,2,2.53
186,-137,2,0.95,140,2,0.119
-1,-260,1,0.95,140,1,0.353
165,71,2,0.95,140,2,0.319
-264,-380,1,0.95,140,1,0.307
99,-49,2,0.95,140,2,0.145
-189,-11,1,0.95,140,1,0.07
120,180,2,0.95,140,2,0.012
-213,-55,1,0.95,140,1,1.566
251,10,2,0.95,140,2,0.594
-79,5,1,0.95,140,1,1.384
92,9,2,0.95,140,2,0.362
-211,-33,1,0.95,140,1,0.235
14,214,1,0.95,140,1,0.031
145,296,2,0.95,140,1,0.173
-207,-32,1,0.95,140,1,0.346
-86,-46,2,0.95,140,1,0.243
-77,294,1,0.95,140,1,3.135
210,110,2,0.95,140,2,0.089
282,151,1,0.95,140,2,0.089
50,-13,2,0.95,140,2,0.337
30,23,1,0.95,140,2,0.207
37,25,2,0.95,140,1,0.112
-183,-100,1,0.95,140,1,0.05
-65,38,2,0.95,140,1,0.215
-59,-254,1,0.95,140,1,0.404
168,163,2,0.95,140,2,0.131
-19,-3,1,0.95,140,1,0.037
-22,-231,2,0.95,140,2,0.04
91,235,1,0.95,140,2,0.315
321,-100,2,0.95,140,2,0.419
-190,-101,1,0.95,140,1,0.363
258,215,2,0.95,140,2,0.77
68,-82,2,0.95,140,2,0.292
-4,-48,1,0.95,140,1,0.119
150,219,2,0.95,140,2,0
-263,-16,1,0.95,140,1,0.107
-96,109,2,0.95,140,1,0.026
59,-26,1,0.95,140,2,0.168
192,114,2,0.95,140,2,0.026
-55,98,1,0.95,140,2,0.225
88,42,2,0.95,140,2,0.167
1,68,1,0.95,140,1,0.189
147,19,2,0.95,140,2,0.129
-118,-96,1,0.95,140,1,0.118
344,32,2,0.95,140,2,0.589
-94,74,1,0.95,140,1,0.238
179,-31,2,0.95,140,2,0.203
14,-14,1,0.95,140,1,0.366
-99,72,2,0.95,140,1,0.276
-10,66,1,0.95,140,1,0.218
-42,112,2,0.95,140,2,0.207
-98,153,1,0.95,140,1,0.412
320,278,2,0.95,140,2,0.103
-267,-85,1,0.95,140,1,0.125
-40,98,2,0.95,140,2,0.132
-1,161,1,0.95,140,1,0.27
184,-204,2,0.95,140,2,1.196
-17,19,1,0.95,140,2,0.678
57,213,2,0.95,140,2,1.19
-159,106,1,0.95,140,1,0.069
44,-80,2,0.95,140,2,0.121
5,-87,1,0.95,140,1,0.735
191,-185,2,0.95,140,2,0.155
-22,-107,1,0.95,140,1,0.186
142,-166,2,0.95,140,2,0.101
-74,152,1,0.95,140,1,0.258
55,217,2,0.95,140,1,0.288
-205,58,1,0.95,140,1,0.144
-5,61,2,0.95,140,1,0.826
146,-101,1,0.95,140,2,0.28
59,-178,2,0.95,140,2,0.031
-42,100,1,0.95,140,2,0.312
160,-259,2,0.95,140,2,0.168
-137,-193,1,0.95,140,1,0.206
-334,-34,2,0.95,140,1,0.185
18,-15,1,0.95,140,2,0.25
101,-24,2,0.95,140,2,0.424
83,317,1,0.95,140,2,0.102
437,8,2,0.95,140,2,0.297
-2,-89,1,0.95,140,1,0.489
131,-221,2,0.95,140,2,0.106
-66,-16,1,0.95,140,1,0.356
114,52,2,0.95,140,2,0.233
-129,-150,1,0.95,140,1,0.882
-125,1,2,0.95,140,1,0.152
189,112,1,0.95,140,2,0.164
1,42,2,0.95,140,1,0.469
-138,-322,2,0.95,140,1,0.098
102,47,1,0.95,140,2,0.199
-133,-31,2,0.95,140,1,0.349
-5,-122,2,0.95,140,2,0.285
-118,-271,1,0.95,140,2,0.257
-160,125,2,0.95,140,2,0.338
-358,-78,1,0.95,140,1,0.471
54,-115,2,0.95,140,2,0.304
-11,143,1,0.95,140,2,0.215
88,-166,2,0.95,140,2,0.195
-77,-47,1,0.95,140,1,0.144
