egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
9,-4,2,0.2,33,2,0.519
81,-30,2,0.2,33,2,0.399
117,-44,2,0.2,33,2,0.169
58,16,2,0.2,33,2,0.307
136,-7,2,0.2,33,2,0.016
88,31,2,0.2,33,2,0.013
129,-47,2,0.2,33,1,1.615
-80,35,1,0.2,33,1,0.159
69,-18,2,0.2,33,2,0.242
59,-40,2,0.2,33,2,0.209
15,25,2,0.2,33,2,0.202
79,-10,2,0.2,33,2,0.123
36,3,2,0.2,33,2,0.328
111,-39,2,0.2,33,2,0.552
108,-40,2,0.2,33,2,0.629
-39,-16,1,0.2,33,1,0.735
-113,-14,1,0.2,33,1,0.631
-76,28,1,0.2,33,1,0.872
-46,48,1,0.2,33,1,0.33
-90,-8,1,0.2,33,2,129.825
81,1,2,0.2,33,2,0.21
-47,-29,1,0.2,33,1,0.195
-89,-13,1,0.2,33,1,0.904
83,-18,2,0.2,33,2,0.315
79,-23,2,0.2,33,2,0.232
73,91,2,0.2,33,2,0.432
20,-14,2,0.2,33,2,0.028
38,2,2,0.2,33,2,0.354
-70,-12,1,0.2,33,1,0.54
-70,-57,1,0.2,33,1,0.683
-118,10,1,0.2,33,1,0.292
-135,-13,1,0.2,33,1,0.393
-64,52,1,0.2,33,1,0.718
-80,-6,1,0.2,33,1,0.217
-78,37,1,0.2,33,1,0.452
-25,11,1,0.2,33,1,0.265
-111,-11,1,0.2,33,1,0.787
-28,-27,1,0.2,33,1,0.337
58,3,2,0.2,33,2,0.426
-42,32,1,0.2,33,1,0.581
43,-16,2,0.2,33,2,0.315
16,-52,2,0.2,33,2,0.186
46,-9,2,0.2,33,2,0.748
77,61,2,0.2,33,2,0.305
122,-64,2,0.2,33,2,0.594
98,5,2,0.2,33,2,0.833
85,23,2,0.2,33,2,0.405
83,17,2,0.2,33,2,0.36
-63,-37,1,0.2,33,1,0.399
68,34,2,0.2,33,2,0.19
89,18,2,0.2,33,2,0.01
67,60,2,0.2,33,2,91.444
71,-10,2,0.2,33,2,0.178
-150,-3,1,0.2,33,1,3.904
-65,-21,1,0.2,33,1,0.581
49,1,2,0.2,33,2,0.304
63,-22,2,0.2,33,2,0.349
-92,-26,1,0.2,33,1,0.85
-45,-18,1,0.2,33,1,1.711
-44,34,1,0.2,33,1,0.541
52,14,2,0.2,33,2,0.682
-85,32,1,0.2,33,1,4.879
-31,1,1,0.2,33,1,0.418
-67,3,1,0.2,33,1,0.47
-59,-47,1,0.2,33,1,0.419
-42,-32,1,0.2,33,1,0.389
-149,-6,1,0.2,33,1,0.222
67,-12,2,0.2,33,2,0.085
97,16,2,0.2,33,2,0.142
108,-11,2,0.2,33,2,0.169
51,-105,2,0.2,33,2,0.124
34,-37,2,0.2,33,2,0.106
-48,32,1,0.2,33,1,0.138
114,-26,2,0.2,33,2,0.054
61,3,2,0.2,33,2,0.031
49,-23,2,0.2,33,2,0.232
96,16,2,0.2,33,2,0.014
7,8,2,0.2,33,2,0.415
94,10,2,0.2,33,2,1.137
76,-22,2,0.2,33,2,0.386
34,-62,2,0.2,33,2,0.576
-85,-11,1,0.2,33,1,0.407
-114,12,1,0.2,33,1,1.259
-91,-11,1,0.2,33,1,1.067
-28,17,1,0.2,33,1,0.397
23,57,2,0.2,33,2,0.206
38,-2,2,0.2,33,2,0.249
-61,-2,1,0.2,33,1,0.727
-77,3,1,0.2,33,1,0.091
-51,49,1,0.2,33,1,0.55
-74,-9,1,0.2,33,1,0.572
-55,29,1,0.2,33,1,0.638
-134,-14,1,0.2,33,1,0.297
-70,-39,1,0.2,33,1,0.044
-80,-59,1,0.2,33,1,0.359
108,-15,2,0.2,33,2,0.227
-139,-43,1,0.2,33,1,0.297
-54,-14,1,0.2,33,1,0.26
-105,35,1,0.2,33,1,0.123
38,16,2,0.2,33,2,0.376
94,-25,2,0.2,33,2,2.608
-108,24,1,0.2,33,1,11.583
-137,16,1,0.2,33,1,0.585
38,-7,2,0.2,33,2,0.149
33,-27,2,0.2,33,2,0.731
93,18,2,0.2,33,2,0.162
87,-23,2,0.2,33,2,1.273
71,9,2,0.2,33,2,1.699
47,71,2,0.2,33,2,3.051
62,1,2,0.2,33,2,2.419
-70,-12,1,0.2,33,2,1.458
-103,-10,1,0.2,33,1,0.333
-36,4,1,0.2,33,1,0.183
-68,31,1,0.2,33,1,0.16
81,-24,2,0.2,33,2,0.895
-36,36,1,0.2,33,1,0.514
63,12,2,0.2,33,2,0.377
100,-7,2,0.2,33,2,3.541
-133,23,1,0.2,33,1,1.64
-52,22,1,0.2,33,1,2.166
-100,-29,1,0.2,33,1,3.475
-97,-25,1,0.2,33,1,0.409
-65,-47,1,0.2,33,1,0.023
-77,-26,1,0.2,33,1,0.488
-67,-16,1,0.2,33,1,86.398
83,-33,2,0.2,33,2,0.267
102,13,2,0.2,33,2,0.139
6,65,2,0.2,33,2,1.945
52,11,2,0.2,33,2,0.497
103,-64,2,0.2,33,2,0.522
62,44,2,0.2,33,2,0.349
73,7,2,0.2,33,2,0.381
104,14,2,0.2,33,2,0.907
-64,11,1,0.2,33,1,1.206
-80,42,1,0.2,33,1,0.837
-102,30,1,0.2,33,1,1.374
-51,53,1,0.2,33,1,1.954
-145,-13,1,0.2,33,1,3.287
-114,1,1,0.2,33,1,5.455
-27,10,1,0.2,33,1,8.033
-81,5,1,0.2,33,1,6.337
-66,11,1,0.2,33,1,2.432
-67,-78,1,0.2,33,1,0.793
-84,20,1,0.2,33,1,0.863
-79,32,1,0.2,33,1,0.761
1,25,1,0.2,33,1,3.058
-139,-3,1,0.2,33,1,0.378
-132,-11,1,0.2,33,1,1.164
-32,20,1,0.2,33,1,0.46
-64,23,1,0.2,33,1,0.307
-23,-21,1,0.2,33,1,0.174
-66,25,1,0.2,33,1,0.478
79,7,2,0.2,33,2,0.863
55,15,2,0.2,33,2,0.451
80,50,2,0.2,33,2,1.853
61,20,2,0.2,33,2,0.728
