egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-243,-248,1,0.95,140,1,0.514
196,153,2,0.95,140,2,0.047
12,-213,2,0.95,140,1,0.12
-20,65,1,0.95,140,1,0.203
111,-228,2,0.95,140,2,0.156
93,-85,1,0.95,140,2,0.411
-25,-28,1,0.95,140,2,0.899
168,-15,2,0.95,140,2,0.007
19,-108,1,0.95,140,2,0.3
332,169,2,0.95,140,2,0.601
-150,222,1,0.95,140,1,0.39
188,81,2,0.95,140,2,0.577
30,83,1,0.95,140,2,0.426
-1,59,2,0.95,140,1,0.458
44,29,1,0.95,140,2,0.004
-78,65,2,0.95,140,1,0.252
-132,-123,1,0.95,140,1,0.763
97,-29,2,0.95,140,2,0.661
186,-137,2,0.95,140,2,0.216
-1,-260,1,0.95,140,2,0.323
165,71,2,0.95,140,2,0.453
-264,-380,1,0.95,140,1,0.416
99,-49,2,0.95,140,2,0.412
-189,-11,1,0.95,140,1,0.295
120,180,2,0.95,140,2,0.531
-213,-55,1,0.95,140,1,0.559
251,10,2,0.95,140,2,0.504
-79,5,1,0.95,140,1,0.096
92,9,2,0.95,140,2,0.131
-211,-33,1,0.95,140,2,0.245
14,214,1,0.95,140,2,0.401
145,296,2,0.95,140,2,0.058
-207,-32,1,0.95,140,1,0.293
-86,-46,2,0.95,140,1,0.392
-77,294,1,0.95,140,1,0.189
210,110,2,0.95,140,2,0.43
282,151,1,0.95,140,2,0.617
50,-13,2,0.95,140,2,0.513
30,23,1,0.95,140,2,0.236
37,25,2,0.95,140,2,0.25
-183,-100,1,0.95,140,1,0.524
-65,38,2,0.95,140,1,0.24
-59,-254,1,0.95,140,1,0.542
168,163,2,0.95,140,2,0.047
-19,-3,1,0.95,140,1,0.332
-22,-231,2,0.95,140,1,0.127
91,235,1,0.95,140,2,0.021
321,-100,2,0.95,140,2,0.758
-190,-101,1,0.95,140,1,0.017
258,215,2,0.95,140,2,0.411
68,-82,2,0.95,140,2,0.205
-4,-48,1,0.95,140,2,0.498
150,219,2,0.95,140,2,0.761
-263,-16,1,0.95,140,1,1.126
-96,109,2,0.95,140,1,0.956
59,-26,1,0.95,140,2,1.426
192,114,2,0.95,140,2,1.177
-55,98,1,0.95,140,1,0.109
88,42,2,0.95,140,2,0.454
1,68,1,0.95,140,2,1.469
147,19,2,0.95,140,2,1.55
-118,-96,1,0.95,140,1,0.964
344,32,2,0.95,140,2,0.044
-94,74,1,0.95,140,1,0.053
179,-31,2,0.95,140,2,1.338
14,-14,1,0.95,140,1,0.958
-99,72,2,0.95,140,1,0.974
-10,66,1,0.95,140,1,0.13
-42,112,2,0.95,140,1,1.022
-98,153,1,0.95,140,1,0.803
320,278,2,0.95,140,2,0.07
-267,-85,1,0.95,140,1,0.261
-40,98,2,0.95,140,1,0.206
-1,161,1,0.95,140,1,0.508
184,-204,2,0.95,140,2,0.304
-17,19,1,0.95,140,1,0.54
57,213,2,0.95,140,2,0.472
-159,106,1,0.95,140,1,0.476
44,-80,2,0.95,140,2,0.11
5,-87,1,0.95,140,1,0.25
191,-185,2,0.95,140,2,0.543
-22,-107,1,0.95,140,1,0.026
142,-166,2,0.95,140,2,0.884
-74,152,1,0.95,140,1,0.163
55,217,2,0.95,140,2,0.565
-205,58,1,0.95,140,1,0.068
-5,61,2,0.95,140,1,0.057
146,-101,1,0.95,140,2,0.249
59,-178,2,0.95,140,2,0.951
-42,100,1,0.95,140,1,0.362
160,-259,2,0.95,140,2,0.399
-137,-193,1,0.95,140,1,0.218
-334,-34,2,0.95,140,1,0.16
18,-15,1,0.95,140,1,0.257
101,-24,2,0.95,140,2,0.412
83,317,1,0.95,140,2,0.2
437,8,2,0.95,140,2,2.917
-2,-89,1,0.95,140,1,0.42
131,-221,2,0.95,140,1,0.458
-66,-16,1,0.95,140,1,0.079
114,52,2,0.95,140,2,0.151
-129,-150,1,0.95,140,1,0.436
-125,1,2,0.95,140,1,0.486
189,112,1,0.95,140,2,0.363
1,42,2,0.95,140,1,0.677
-138,-322,2,0.95,140,1,0.259
102,47,1,0.95,140,2,0.126
-133,-31,2,0.95,140,1,0.333
-5,-122,2,0.95,140,1,0.09
-118,-271,1,0.95,140,1,0.15
-160,125,2,0.95,140,1,0.724
-358,-78,1,0.95,140,1,0.281
54,-115,2,0.95,140,2,0.421
-11,143,1,0.95,140,2,0.102
88,-166,2,0.95,140,2,0.372
-77,-47,1,0.95,140,1,0.141
119,-28,2,0.95,140,2,0.24
46,25,1,0.95,140,2,0.577
312,16,2,0.95,140,2,1.129
132,73,1,0.95,140,2,0.798
-19,101,2,0.95,140,1,0.513
91,174,1,0.95,140,2,0.489
-2,-380,2,0.95,140,2,0.35
73,202,1,0.95,140,2,0.424
195,-204,2,0.95,140,2,0.017
10,242,1,0.95,140,2,0.041
-35,-207,2,0.95,140,1,0.452
-105,56,1,0.95,140,1,0.283
27,179,1,0.95,140,2,3.054
218,275,2,0.95,140,2,1.61
-119,77,1,0.95,140,1,0.173
76,197,2,0.95,140,2,0.337
-68,-144,1,0.95,140,1,0.654
-64,-13,2,0.95,140,1,1.317
-95,116,1,0.95,140,1,1.782
-34,55,2,0.95,140,1,1.174
33,-23,1,0.95,140,2,0.32
24,-35,2,0.95,140,2,0.06
-31,306,1,0.95,140,2,0.196
179,103,2,0.95,140,2,0.3
-1,14,1,0.95,140,2,0.549
278,-136,2,0.95,140,2,0.277
-48,175,1,0.95,140,1,0.526
