egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-42,-36,1,0.05,33,1,0.021
-125,9,1,0.05,33,1,0.429
-21,-19,1,0.05,33,1,0.017
-89,-80,1,0.05,33,1,0.147
-104,42,1,0.05,33,1,0.122
-78,-22,1,0.05,33,1,0.367
54,49,2,0.05,33,2,0.075
61,-15,2,0.05,33,2,0.093
147,73,2,0.05,33,2,0.229
88,33,2,0.05,33,2,0.1
124,24,2,0.05,33,2,0.266
114,-31,2,0.05,33,2,0.168
54,-41,2,0.05,33,2,0.115
28,30,2,0.05,33,2,0.182
-103,-5,1,0.05,33,1,0.354
-167,-8,1,0.05,33,1,0.074
-98,-58,1,0.05,33,1,0.122
-81,31,1,0.05,33,1,0.123
-52,1,1,0.05,33,1,0.076
-66,-29,1,0.05,33,1,0.095
-132,-27,1,0.05,33,1,0.091
-56,-13,1,0.05,33,1,0.095
-75,11,1,0.05,33,1,0.123
-61,79,1,0.05,33,1,0.095
-1,32,1,0.05,33,1,0.103
41,-43,2,0.05,33,2,0.29
49,58,2,0.05,33,2,0.097
110,1,2,0.05,33,2,0.263
133,29,2,0.05,33,2,0.177
110,49,2,0.05,33,2,0.144
101,-25,2,0.05,33,2,0.2
31,10,2,0.05,33,2,0.135
102,47,2,0.05,33,2,0.071
67,2,2,0.05,33,2,0.116
82,-40,2,0.05,33,2,0.215
48,15,2,0.05,33,2,0.16
39,38,2,0.05,33,2,0.124
109,-70,2,0.05,33,2,0.129
71,-13,2,0.05,33,2,0.099
22,-28,2,0.05,33,2,0.182
52,41,2,0.05,33,2,0.175
102,55,2,0.05,33,2,0.181
39,-10,2,0.05,33,2,0.139
35,-24,2,0.05,33,2,0.141
80,69,2,0.05,33,2,0.177
33,38,2,0.05,33,2,0.175
114,6,2,0.05,33,2,0.15
109,-11,2,0.05,33,2,0.151
-120,-36,1,0.05,33,1,0.172
-88,13,1,0.05,33,1,0.12
-140,21,1,0.05,33,1,0.196
11,24,1,0.05,33,2,0.201
-74,-1,1,0.05,33,1,0.052
-136,6,1,0.05,33,1,0.127
-128,14,1,0.05,33,1,0.107
-34,-14,1,0.05,33,1,0.084
-58,-24,1,0.05,33,1,0.156
-66,33,1,0.05,33,1,0.075
-86,-45,1,0.05,33,1,0.179
-142,65,1,0.05,33,1,0.164
-93,-9,1,0.05,33,1,0.092
-50,4,1,0.05,33,1,0.214
-84,53,1,0.05,33,1,0.176
-59,27,1,0.05,33,1,0.123
56,16,2,0.05,33,2,0.171
39,-33,2,0.05,33,2,0.057
86,-25,2,0.05,33,2,0.08
86,25,2,0.05,33,2,0.201
135,-18,2,0.05,33,2,0.151
63,50,2,0.05,33,2,0.192
79,-27,2,0.05,33,2,0.251
86,42,2,0.05,33,2,0.141
68,18,2,0.05,33,2,0.148
126,15,2,0.05,33,2,0.071
80,-8,2,0.05,33,2,0.051
84,8,2,0.05,33,2,0.019
13,-47,2,0.05,33,2,0.094
81,-34,2,0.05,33,2,0.074
57,18,2,0.05,33,2,0.208
70,45,2,0.05,33,2,0.027
-81,1,1,0.05,33,1,0.213
-52,4,1,0.05,33,1,0.031
-105,22,1,0.05,33,1,0.121
-111,50,1,0.05,33,1,0.456
-84,3,1,0.05,33,1,0.124
-77,-35,1,0.05,33,1,0.107
-73,-24,1,0.05,33,1,0.103
-26,13,1,0.05,33,1,0.087
-95,10,1,0.05,33,1,0.129
-70,-13,1,0.05,33,1,0.095
-27,3,1,0.05,33,1,0.039
-87,46,1,0.05,33,1,0.089
-159,-18,1,0.05,33,1,0.064
43,-18,2,0.05,33,2,0.466
88,-12,2,0.05,33,2,0.111
74,6,2,0.05,33,2,0.106
71,7,2,0.05,33,2,0.147
-32,7,2,0.05,33,1,0.187
71,-9,2,0.05,33,2,0.317
68,-11,2,0.05,33,2,0.206
55,23,2,0.05,33,2,0.075
98,73,2,0.05,33,2,0.096
68,1,2,0.05,33,2,0.034
45,-3,2,0.05,33,2,0.412
84,-3,2,0.05,33,2,0.004
94,19,2,0.05,33,2,0.045
28,-9,2,0.05,33,2,0.132
128,-22,2,0.05,33,2,0.15
87,30,2,0.05,33,2,0.113
75,-25,2,0.05,33,2,0.091
57,-41,2,0.05,33,2,0.352
63,-8,2,0.05,33,2,0.134
28,32,2,0.05,33,2,0.13
30,-29,2,0.05,33,2,0.304
79,-41,2,0.05,33,2,0.166
100,-53,2,0.05,33,2,0.195
77,-8,2,0.05,33,2,0.104
61,11,2,0.05,33,2,0.089
69,34,2,0.05,33,2,0.089
68,20,2,0.05,33,2,0.081
84,10,2,0.05,33,2,0.179
43,8,2,0.05,33,2,0.204
64,14,2,0.05,33,2,0.328
4,21,2,0.05,33,2,0.115
87,-48,2,0.05,33,2,0.004
103,61,2,0.05,33,2,0.052
19,-23,2,0.05,33,2,0.086
72,25,2,0.05,33,2,0.06
79,19,2,0.05,33,2,0.113
173,1,2,0.05,33,2,0.194
70,1,2,0.05,33,2,0.094
56,-4,2,0.05,33,2,0.376
63,33,2,0.05,33,2,0.216
84,21,2,0.05,33,2,0.18
89,40,2,0.05,33,2,0.532
31,-40,2,0.05,33,2,0.108
55,46,2,0.05,33,2,0.108
53,-44,2,0.05,33,2,0.105
-122,42,1,0.05,33,1,0.068
-97,-29,1,0.05,33,1,0.002
-114,-41,1,0.05,33,1,0.053
-90,-50,1,0.05,33,1,0.029
-98,-12,1,0.05,33,1,0.057
-34,-55,1,0.05,33,1,0.127
-66,-44,1,0.05,33,1,0.007
-53,-35,1,0.05,33,1,0.236
-104,32,1,0.05,33,1,0.084
-52,-63,1,0.05,33,1,0.065
-61,62,1,0.05,33,1,0.015
-48,5,1,0.05,33,1,0.06
-102,25,1,0.05,33,1,0.069
-55,-22,1,0.05,33,1,0.062
-32,-5,1,0.05,33,1,0.01
-50,-23,1,0.05,33,1,0.021
-79,11,1,0.05,33,1,0.006
-53,39,1,0.05,33,1,0.426
-54,-33,1,0.05,33,1,0.187
-79,45,1,0.05,33,1,0.061
-97,-8,1,0.05,33,1,0.04
-52,1,1,0.05,33,1,0.425
