egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-243,-248,1,0.95,140,1,7.089
196,153,2,0.95,140,2,1.783
12,-213,2,0.95,140,2,0.289
-20,65,1,0.95,140,1,0.884
111,-228,2,0.95,140,2,0.253
93,-85,1,0.95,140,2,0.122
-25,-28,1,0.95,140,2,0.904
168,-15,2,0.95,140,2,0.305
19,-108,1,0.95,140,2,0.073
-150,222,1,0.95,140,1,0.396
188,81,2,0.95,140,2,0.312
30,83,1,0.95,140,2,0.25
-1,59,2,0.95,140,1,0.095
44,29,1,0.95,140,2,0.096
-78,65,2,0.95,140,1,7.152
-132,-123,1,0.95,140,1,0.094
97,-29,2,0.95,140,2,1.781
186,-137,2,0.95,140,2,144.307
-1,-260,1,0.95,140,1,0.585
165,71,2,0.95,140,2,0.097
-264,-380,1,0.95,140,1,0.137
99,-49,2,0.95,140,2,0.327
-189,-11,1,0.95,140,1,82.345
120,180,2,0.95,140,2,1.205
-213,-55,1,0.95,140,1,0.225
251,10,2,0.95,140,2,0.039
-79,5,1,0.95,140,1,1.089
92,9,2,0.95,140,2,0.217
-211,-33,1,0.95,140,1,0.184
14,214,1,0.95,140,1,27.068
145,296,2,0.95,140,2,0.175
-207,-32,1,0.95,140,1,0.073
-86,-46,2,0.95,140,1,0.031
-77,294,1,0.95,140,1,1.912
210,110,2,0.95,140,2,6.617
282,151,1,0.95,140,2,2.601
50,-13,2,0.95,140,2,15.341
30,23,1,0.95,140,2,0.64
37,25,2,0.95,140,2,11.342
-183,-100,1,0.95,140,1,3.296
-65,38,2,0.95,140,1,0.392
-59,-254,1,0.95,140,1,1.166
168,163,2,0.95,140,2,0.047
-19,-3,1,0.95,140,2,2.44
-22,-231,2,0.95,140,1,0.128
91,235,1,0.95,140,2,4.345
321,-100,2,0.95,140,2,0.31
-190,-101,1,0.95,140,2,0.065
258,215,2,0.95,140,2,0.04
68,-82,2,0.95,140,2,0.344
-4,-48,1,0.95,140,1,0.257
150,219,2,0.95,140,2,0.21
-263,-16,1,0.95,140,2,0.434
-96,109,2,0.95,140,1,0.025
59,-26,1,0.95,140,2,1.311
192,114,2,0.95,140,2,2.587
-55,98,1,0.95,140,1,0.216
88,42,2,0.95,140,2,0.112
1,68,1,0.95,140,2,0.094
147,19,2,0.95,140,2,0.135
-118,-96,1,0.95,140,1,0.009
344,32,2,0.95,140,2,1.797
-94,74,1,0.95,140,1,0.354
179,-31,2,0.95,140,2,0.169
14,-14,1,0.95,140,2,0.191
-99,72,2,0.95,140,1,0.232
-10,66,1,0.95,140,2,1.073
-42,112,2,0.95,140,1,0.169
-98,153,1,0.95,140,1,0.431
320,278,2,0.95,140,2,0.217
-267,-85,1,0.95,140,1,0.162
-40,98,2,0.95,140,1,1.329
-1,161,1,0.95,140,1,4.338
184,-204,2,0.95,140,2,0.254
-17,19,1,0.95,140,2,0.709
57,213,2,0.95,140,2,0.16
-159,106,1,0.95,140,1,0.336
44,-80,2,0.95,140,2,0.528
5,-87,1,0.95,140,2,3.8
191,-185,2,0.95,140,2,0.135
-22,-107,1,0.95,140,1,0.287
142,-166,2,0.95,140,2,0.727
-74,152,1,0.95,140,1,1.151
55,217,2,0.95,140,2,0.144
-205,58,1,0.95,140,1,0.872
-5,61,2,0.95,140,2,6.928
146,-101,1,0.95,140,2,2.28
59,-178,2,0.95,140,2,0.646
-42,100,1,0.95,140,1,0.523
160,-259,2,0.95,140,2,0.438
-137,-193,1,0.95,140,1,0.123
-334,-34,2,0.95,140,1,0.457
18,-15,1,0.95,140,2,0.815
101,-24,2,0.95,140,2,0.368
83,317,1,0.95,140,2,0.545
437,8,2,0.95,140,2,0.599
-2,-89,1,0.95,140,2,0.609
131,-221,2,0.95,140,2,1.723
-66,-16,1,0.95,140,1,0.002
114,52,2,0.95,140,2,0.136
-129,-150,1,0.95,140,1,0.273
-125,1,2,0.95,140,1,0.176
189,112,1,0.95,140,2,6.523
1,42,2,0.95,140,2,1.437
-138,-322,2,0.95,140,1,0.536
102,47,1,0.95,140,2,0.456
-133,-31,2,0.95,140,1,0.483
-5,-122,2,0.95,140,1,21.014
-118,-271,1,0.95,140,1,0.176
-160,125,2,0.95,140,1,0.097
-358,-78,1,0.95,140,1,0.543
54,-115,2,0.95,140,2,0.032
-11,143,1,0.95,140,1,1.386
88,-166,2,0.95,140,2,0.27
-77,-47,1,0.95,140,1,2.662
119,-28,2,0.95,140,2,0.267
46,25,1,0.95,140,2,0.126
312,16,2,0.95,140,2,0.409
132,73,1,0.95,140,2,0.495
-19,101,2,0.95,140,1,0.289
91,174,1,0.95,140,2,0.471
-2,-380,2,0.95,140,2,0.382
73,202,1,0.95,140,2,0.088
195,-204,2,0.95,140,2,1.831
10,242,1,0.95,140,2,0.072
-35,-207,2,0.95,140,1,5.228
-105,56,1,0.95,140,1,0.682
27,179,1,0.95,140,2,12.616
218,275,2,0.95,140,2,11.459
-119,77,1,0.95,140,1,0.263
76,197,2,0.95,140,2,4.106
-68,-144,1,0.95,140,1,11.704
-64,-13,2,0.95,140,1,2.777
-95,116,1,0.95,140,1,0.448
-34,55,2,0.95,140,1,3.552
33,-23,1,0.95,140,2,0.6
24,-35,2,0.95,140,2,2.784
-31,306,1,0.95,140,1,0.72
179,103,2,0.95,140,2,0.394
-1,14,1,0.95,140,2,3.583
278,-136,2,0.95,140,2,0.272
-48,175,1,0.95,140,1,0.192
-99,1,2,0.95,140,1,4.662
-111,144,1,0.95,140,1,0.659
-127,85,2,0.95,140,1,0.168
-100,88,1,0.95,140,1,0.967
-123,2,2,0.95,140,1,0.326
-161,95,1,0.95,140,1,2.262
188,-7,2,0.95,140,2,0.425
203,-12,1,0.95,140,2,2.167
109,-126,2,0.95,140,2,0.014
-218,58,1,0.95,140,1,0.923
48,12,2,0.95,140,2,0.168
-11,32,1,0.95,140,2,0.624
115,196,2,0.95,140,2,0.609
135,77,1,0.95,140,2,0.095
38,-222,2,0.95,140,2,0.535
-293,5,1,0.95,140,1,0.246
-255,11,2,0.95,140,1,1.208
-282,99,1,0.95,140,1,0.205
148,-175,2,0.95,140,2,0.398
213,-233,1,0.95,140,2,0.477
61,16,2,0.95,140,2,113.974
-86,168,1,0.95,140,1,1.158
-97,34,1,0.95,140,1,0.26
127,-70,2,0.95,140,2,2.121
-253,74,1,0.95,140,1,1.007
-17,-123,2,0.95,140,1,23.984
-27,-4,1,0.95,140,2,0.327
