egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
9,-4,2,0.2,33,2,0.968
81,-30,2,0.2,33,2,0.186
117,-44,2,0.2,33,2,0.044
58,16,2,0.2,33,2,0.659
136,-7,2,0.2,33,2,0.354
88,31,2,0.2,33,2,0.163
129,-47,2,0.2,33,2,1.025
-80,35,1,0.2,33,1,1.267
69,-18,2,0.2,33,2,0.36
15,25,2,0.2,33,2,1.763
79,-10,2,0.2,33,2,0.448
36,3,2,0.2,33,2,3.736
111,-39,2,0.2,33,2,4.288
108,-40,2,0.2,33,2,3.228
-39,-16,1,0.2,33,1,1.232
-113,-14,1,0.2,33,1,0.315
-76,28,1,0.2,33,1,0.888
-46,48,1,0.2,33,1,0.866
-90,-8,1,0.2,33,1,0.437
81,1,2,0.2,33,2,0.46
-47,-29,1,0.2,33,1,0.199
-89,-13,1,0.2,33,1,0.454
83,-18,2,0.2,33,2,3.692
79,-23,2,0.2,33,2,1.292
73,91,2,0.2,33,2,0.386
20,-14,2,0.2,33,2,0.031
38,2,2,0.2,33,2,0.208
-70,-12,1,0.2,33,1,0.128
-70,-57,1,0.2,33,1,0.239
-118,10,1,0.2,33,1,0.011
-135,-13,1,0.2,33,1,0.49
-64,52,1,0.2,33,1,0.203
-80,-6,1,0.2,33,1,0.471
-78,37,1,0.2,33,1,0.261
-25,11,1,0.2,33,1,0.038
-111,-11,1,0.2,33,1,0.294
-28,-27,1,0.2,33,1,0.486
58,3,2,0.2,33,2,0.916
-42,32,1,0.2,33,1,0.35
43,-16,2,0.2,33,2,0.759
16,-52,2,0.2,33,2,0.049
46,-9,2,0.2,33,2,0.368
77,61,2,0.2,33,2,0.768
122,-64,2,0.2,33,2,0.045
98,5,2,0.2,33,2,0.583
85,23,2,0.2,33,2,0.564
83,17,2,0.2,33,2,0.633
-63,-37,1,0.2,33,1,0.102
68,34,2,0.2,33,2,0.364
89,18,2,0.2,33,2,0.374
67,60,2,0.2,33,2,0.259
71,-10,2,0.2,33,2,2.283
-150,-3,1,0.2,33,1,0.343
-65,-21,1,0.2,33,1,0.58
49,1,2,0.2,33,2,0.039
63,-22,2,0.2,33,2,0.197
-92,-26,1,0.2,33,1,0.595
-45,-18,1,0.2,33,1,0.478
-44,34,1,0.2,33,1,0.235
52,14,2,0.2,33,2,0.779
-85,32,1,0.2,33,1,0.775
-31,1,1,0.2,33,1,0.521
-67,3,1,0.2,33,1,0.846
-59,-47,1,0.2,33,1,0.787
-42,-32,1,0.2,33,1,0.128
-149,-6,1,0.2,33,1,0.876
67,-12,2,0.2,33,2,0.643
97,16,2,0.2,33,2,1.452
108,-11,2,0.2,33,2,0.876
51,-105,2,0.2,33,2,3.207
34,-37,2,0.2,33,2,1.322
-48,32,1,0.2,33,1,0.853
114,-26,2,0.2,33,2,0.626
61,3,2,0.2,33,2,0.296
49,-23,2,0.2,33,2,0.771
96,16,2,0.2,33,2,0.705
7,8,2,0.2,33,2,0.628
94,10,2,0.2,33,2,0.979
76,-22,2,0.2,33,2,1.639
34,-62,2,0.2,33,2,0.983
-85,-11,1,0.2,33,1,0.379
-114,12,1,0.2,33,1,0.581
-91,-11,1,0.2,33,1,0.795
-28,17,1,0.2,33,1,0.413
23,57,2,0.2,33,2,0.438
38,-2,2,0.2,33,2,0.321
-61,-2,1,0.2,33,1,0.27
-77,3,1,0.2,33,1,1.156
-51,49,1,0.2,33,1,0.734
-74,-9,1,0.2,33,1,0.067
-55,29,1,0.2,33,1,0.334
-134,-14,1,0.2,33,1,0.198
-70,-39,1,0.2,33,1,0.674
-80,-59,1,0.2,33,1,0.255
108,-15,2,0.2,33,2,0.011
-139,-43,1,0.2,33,1,0.842
-54,-14,1,0.2,33,1,0.721
-105,35,1,0.2,33,1,0.796
38,16,2,0.2,33,2,0.764
94,-25,2,0.2,33,2,0.686
-108,24,1,0.2,33,1,3.143
-137,16,1,0.2,33,1,0.694
38,-7,2,0.2,33,2,0.385
33,-27,2,0.2,33,2,2.127
93,18,2,0.2,33,2,1.13
87,-23,2,0.2,33,2,2.429
71,9,2,0.2,33,2,1.022
47,71,2,0.2,33,2,0.037
62,1,2,0.2,33,2,0.996
