egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
9,-4,2,0.2,33,2,0.409
81,-30,2,0.2,33,2,0.299
117,-44,2,0.2,33,2,0.057
58,16,2,0.2,33,2,0.787
136,-7,2,0.2,33,2,0.245
88,31,2,0.2,33,2,0.588
129,-47,2,0.2,33,2,0.503
-80,35,1,0.2,33,1,0.125
69,-18,2,0.2,33,2,0.328
15,25,2,0.2,33,2,0.356
79,-10,2,0.2,33,2,0.417
36,3,2,0.2,33,2,0.368
111,-39,2,0.2,33,2,0.329
108,-40,2,0.2,33,2,0.441
-39,-16,1,0.2,33,1,0.357
-113,-14,1,0.2,33,1,0.052
-76,28,1,0.2,33,1,0.099
-46,48,1,0.2,33,1,0.733
-90,-8,1,0.2,33,1,0.352
81,1,2,0.2,33,2,0.281
-47,-29,1,0.2,33,1,0.047
-89,-13,1,0.2,33,1,0.489
83,-18,2,0.2,33,2,0.028
79,-23,2,0.2,33,2,0.15
73,91,2,0.2,33,2,0.008
20,-14,2,0.2,33,2,0.237
38,2,2,0.2,33,2,0.05
-70,-12,1,0.2,33,1,0.076
-70,-57,1,0.2,33,1,0.357
-118,10,1,0.2,33,1,0.299
-135,-13,1,0.2,33,1,0.126
-64,52,1,0.2,33,1,0.078
-80,-6,1,0.2,33,1,0.079
-78,37,1,0.2,33,1,0.449
-25,11,1,0.2,33,1,0.424
-111,-11,1,0.2,33,1,0.054
-28,-27,1,0.2,33,1,0.112
58,3,2,0.2,33,2,0.142
-42,32,1,0.2,33,1,0.29
43,-16,2,0.2,33,2,0.136
16,-52,2,0.2,33,2,0.349
46,-9,2,0.2,33,2,0.262
77,61,2,0.2,33,2,0.231
122,-64,2,0.2,33,2,0.32
98,5,2,0.2,33,2,0.292
85,23,2,0.2,33,2,0.036
83,17,2,0.2,33,2,0.104
-63,-37,1,0.2,33,1,0.353
68,34,2,0.2,33,2,1.039
89,18,2,0.2,33,2,0.286
67,60,2,0.2,33,2,0.349
71,-10,2,0.2,33,2,0.235
-150,-3,1,0.2,33,1,0.046
-65,-21,1,0.2,33,1,0.66
49,1,2,0.2,33,2,0.092
