egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
9,-4,2,0.2,33,2,1.085
81,-30,2,0.2,33,2,0.013
117,-44,2,0.2,33,2,0.107
58,16,2,0.2,33,2,0.014
136,-7,2,0.2,33,2,0
88,31,2,0.2,33,2,0.02
129,-47,2,0.2,33,2,0
-80,35,1,0.2,33,1,0.02
69,-18,2,0.2,33,2,0.013
15,25,2,0.2,33,2,0.006
79,-10,2,0.2,33,2,0.024
36,3,2,0.2,33,2,0.017
111,-39,2,0.2,33,2,0
108,-40,2,0.2,33,2,0.025
-39,-16,1,0.2,33,1,0.002
-113,-14,1,0.2,33,1,0.024
-76,28,1,0.2,33,1,0
-46,48,1,0.2,33,1,0.016
-90,-8,1,0.2,33,1,0.001
81,1,2,0.2,33,2,0
-47,-29,1,0.2,33,1,0.022
-89,-13,1,0.2,33,1,0.006
83,-18,2,0.2,33,2,0.026
79,-23,2,0.2,33,2,0.04
73,91,2,0.2,33,2,0.109
20,-14,2,0.2,33,2,0.015
38,2,2,0.2,33,2,0
-70,-12,1,0.2,33,1,0
-70,-57,1,0.2,33,1,0.016
-118,10,1,0.2,33,1,0.001
-135,-13,1,0.2,33,1,0.001
-64,52,1,0.2,33,1,0.012
-80,-6,1,0.2,33,1,0.019
-78,37,1,0.2,33,1,0
-25,11,1,0.2,33,1,0.022
-111,-11,1,0.2,33,1,0.005
-28,-27,1,0.2,33,1,0.005
58,3,2,0.2,33,2,0.162
-42,32,1,0.2,33,1,0.027
43,-16,2,0.2,33,2,0.029
16,-52,2,0.2,33,2,0.011
46,-9,2,0.2,33,2,0.001
77,61,2,0.2,33,2,0.009
122,-64,2,0.2,33,2,0.023
98,5,2,0.2,33,2,0.02
85,23,2,0.2,33,2,0.008
83,17,2,0.2,33,2,0.017
-63,-37,1,0.2,33,1,0.024
68,34,2,0.2,33,2,0.021
89,18,2,0.2,33,2,0.009
67,60,2,0.2,33,2,0.001
71,-10,2,0.2,33,2,5.909
-150,-3,1,0.2,33,1,0.014
-65,-21,1,0.2,33,1,0.017
49,1,2,0.2,33,2,0.021
63,-22,2,0.2,33,2,0.019
-92,-26,1,0.2,33,1,0.021
-45,-18,1,0.2,33,1,1.593
-44,34,1,0.2,33,1,0.236
52,14,2,0.2,33,2,0.259
-85,32,1,0.2,33,1,0
-31,1,1,0.2,33,1,0.016
-67,3,1,0.2,33,1,0.007
-59,-47,1,0.2,33,1,0
-42,-32,1,0.2,33,1,0.013
-149,-6,1,0.2,33,1,0.019
67,-12,2,0.2,33,2,0.012
97,16,2,0.2,33,2,0.005
108,-11,2,0.2,33,2,0.016
51,-105,2,0.2,33,2,0.012
34,-37,2,0.2,33,2,0.013
-48,32,1,0.2,33,1,0.001
114,-26,2,0.2,33,2,0.005
61,3,2,0.2,33,2,0.012
49,-23,2,0.2,33,2,0.02
96,16,2,0.2,33,2,0.007
7,8,2,0.2,33,2,0.01
94,10,2,0.2,33,2,0.001
76,-22,2,0.2,33,2,0
34,-62,2,0.2,33,2,0.01
-85,-11,1,0.2,33,1,0.025
-114,12,1,0.2,33,1,0.028
-91,-11,1,0.2,33,1,0.001
-28,17,1,0.2,33,1,0.326
23,57,2,0.2,33,2,0.152
38,-2,2,0.2,33,2,0.176
-61,-2,1,0.2,33,1,0.006
-77,3,1,0.2,33,1,0.013
-51,49,1,0.2,33,1,0.007
-74,-9,1,0.2,33,1,0.022
-55,29,1,0.2,33,1,0.006
-134,-14,1,0.2,33,1,1.118
-70,-39,1,0.2,33,1,0.013
-80,-59,1,0.2,33,1,0.019
108,-15,2,0.2,33,2,1.605
-139,-43,1,0.2,33,1,0.015
-54,-14,1,0.2,33,1,0.388
-105,35,1,0.2,33,1,0.022
38,16,2,0.2,33,2,0.001
94,-25,2,0.2,33,2,0.007
-108,24,1,0.2,33,1,0
-137,16,1,0.2,33,1,0.001
38,-7,2,0.2,33,2,0.014
33,-27,2,0.2,33,2,0.001
93,18,2,0.2,33,2,0.023
87,-23,2,0.2,33,2,0.012
71,9,2,0.2,33,2,0
47,71,2,0.2,33,2,0.027
62,1,2,0.2,33,2,0
-70,-12,1,0.2,33,1,0.013
-103,-10,1,0.2,33,1,0
-36,4,1,0.2,33,1,0.222
-68,31,1,0.2,33,1,0.018
81,-24,2,0.2,33,2,0.045
-36,36,1,0.2,33,1,0.048
63,12,2,0.2,33,2,0.02
100,-7,2,0.2,33,2,0.023
-133,23,1,0.2,33,1,0.027
-52,22,1,0.2,33,1,0.012
-100,-29,1,0.2,33,1,0.011
-97,-25,1,0.2,33,1,0.025
-65,-47,1,0.2,33,1,0.03
-77,-26,1,0.2,33,1,0.012
-67,-16,1,0.2,33,1,0.012
83,-33,2,0.2,33,2,0.024
102,13,2,0.2,33,2,0.022
6,65,2,0.2,33,2,1.602
52,11,2,0.2,33,2,0.001
103,-64,2,0.2,33,2,0.001
62,44,2,0.2,33,2,0
73,7,2,0.2,33,2,0.003
104,14,2,0.2,33,2,0.019
-64,11,1,0.2,33,1,0
-80,42,1,0.2,33,1,0.009
-102,30,1,0.2,33,1,0
-51,53,1,0.2,33,1,0
-145,-13,1,0.2,33,1,0
-114,1,1,0.2,33,1,0.008
-27,10,1,0.2,33,1,0
-81,5,1,0.2,33,1,0
-66,11,1,0.2,33,1,0.007
-67,-78,1,0.2,33,1,0.013
-84,20,1,0.2,33,1,0.012
-79,32,1,0.2,33,1,0.014
1,25,1,0.2,33,1,3.013
-139,-3,1,0.2,33,1,0
-132,-11,1,0.2,33,1,0.001
-32,20,1,0.2,33,1,0.47
-64,23,1,0.2,33,1,0.009
-23,-21,1,0.2,33,1,0.012
-66,25,1,0.2,33,1,0.012
79,7,2,0.2,33,2,0.021
55,15,2,0.2,33,2,1.776
80,50,2,0.2,33,2,0.023
61,20,2,0.2,33,2,0.011
1,12,2,0.2,33,2,0.511
74,-37,2,0.2,33,2,0.319
6,-44,1,0.2,33,2,0.241
86,-55,2,0.2,33,2,1.473
91,55,2,0.2,33,2,0.013
-93,-10,1,0.2,33,1,0.004
-101,22,1,0.2,33,1,0.001
-52,-4,1,0.2,33,1,1.167
-72,-10,1,0.2,33,1,0.13
-107,-10,1,0.2,33,1,0.02
-29,39,1,0.2,33,1,0.123
-84,-10,1,0.2,33,1,1.094
-57,-6,1,0.2,33,1,0.022
-78,-30,1,0.2,33,1,0.001
-54,9,1,0.2,33,1,0.419
-62,-92,1,0.2,33,1,0.02
-42,11,1,0.2,33,1,0.002
-92,-17,1,0.2,33,1,0.547
-127,40,1,0.2,33,1,0.006
9,54,1,0.2,33,2,2.401
-48,16,1,0.2,33,1,0.644
-98,-49,1,0.2,33,1,0.002
-63,35,1,0.2,33,1,0.025
-67,-6,1,0.2,33,1,0.027
-85,17,1,0.2,33,1,0.018
-76,-1,1,0.2,33,1,0.001
-64,-35,1,0.2,33,1,0.007
-18,60,1,0.2,33,1,9.751
-56,-49,1,0.2,33,1,0.02
-89,22,1,0.2,33,1,0
31,-32,2,0.2,33,1,1.366
87,-15,2,0.2,33,2,0.01
-95,-5,1,0.2,33,1,0.012
-63,-41,1,0.2,33,1,0.012
44,35,2,0.2,33,2,0
13,15,2,0.2,33,2,0
99,-22,2,0.2,33,2,0.007
-95,-37,1,0.2,33,1,0.017
-99,47,1,0.2,33,1,0.007
-56,-28,1,0.2,33,1,0.001
-83,65,1,0.2,33,1,0
119,25,2,0.2,33,2,0.001
66,11,2,0.2,33,2,0.026
28,-29,2,0.2,33,2,0.023
-42,-36,1,0.05,33,1,0.02
-125,9,1,0.05,33,1,0.018
-21,-19,1,0.05,33,1,0.007
-89,-80,1,0.05,33,1,0
-104,42,1,0.05,33,1,0.027
-78,-22,1,0.05,33,1,0.001
54,49,2,0.05,33,2,0.012
61,-15,2,0.05,33,2,0.012
147,73,2,0.05,33,2,0.351
88,33,2,0.05,33,2,0.016
124,24,2,0.05,33,2,0.003
114,-31,2,0.05,33,2,0.019
54,-41,2,0.05,33,2,0.576
28,30,2,0.05,33,2,0.014
-103,-5,1,0.05,33,1,0.183
-167,-8,1,0.05,33,1,0.019
-98,-58,1,0.05,33,1,91.307
-81,31,1,0.05,33,1,0.03
-52,1,1,0.05,33,1,0.014
-66,-29,1,0.05,33,1,0.014
-132,-27,1,0.05,33,1,0.371
-56,-13,1,0.05,33,1,0.006
-75,11,1,0.05,33,1,0.001
-61,79,1,0.05,33,1,0.011
-1,32,1,0.05,33,1,0.749
41,-43,2,0.05,33,2,0.099
49,58,2,0.05,33,2,0
110,1,2,0.05,33,2,0
133,29,2,0.05,33,2,0.02
