egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
9,-4,2,0.2,33,1,9.272
81,-30,2,0.2,33,2,0.08
117,-44,2,0.2,33,2,0.818
58,16,2,0.2,33,2,0.575
136,-7,2,0.2,33,2,0.32
88,31,2,0.2,33,2,0.22
129,-47,2,0.2,33,2,0.351
-80,35,1,0.2,33,1,0.195
69,-18,2,0.2,33,2,0.06
59,-40,2,0.2,33,2,0.17
15,25,2,0.2,33,2,0.119
79,-10,2,0.2,33,2,0.049
36,3,2,0.2,33,2,0.179
111,-39,2,0.2,33,2,0.09
108,-40,2,0.2,33,2,0.16
-39,-16,1,0.2,33,1,0.17
-113,-14,1,0.2,33,1,0.05
-76,28,1,0.2,33,1,0.24
-46,48,1,0.2,33,1,0.25
-90,-8,1,0.2,33,1,0.14
81,1,2,0.2,33,2,0.21
-47,-29,1,0.2,33,1,0.363
-89,-13,1,0.2,33,1,0.37
83,-18,2,0.2,33,2,0.16
79,-23,2,0.2,33,2,0.077
73,91,2,0.2,33,2,0.11
20,-14,2,0.2,33,2,0.28
38,2,2,0.2,33,2,0.14
-70,-12,1,0.2,33,1,0.24
-70,-57,1,0.2,33,1,0.16
-118,10,1,0.2,33,1,0.292
-135,-13,1,0.2,33,1,0.35
-64,52,1,0.2,33,1,0.275
-80,-6,1,0.2,33,1,0.14
-78,37,1,0.2,33,1,0.11
-25,11,1,0.2,33,1,0.025
-111,-11,1,0.2,33,1,0.3
-28,-27,1,0.2,33,1,0.171
58,3,2,0.2,33,2,0.27
-42,32,1,0.2,33,1,0.092
43,-16,2,0.2,33,2,0.132
16,-52,2,0.2,33,2,0.18
46,-9,2,0.2,33,2,0.27
77,61,2,0.2,33,2,0.395
122,-64,2,0.2,33,2,0.381
98,5,2,0.2,33,2,0.35
85,23,2,0.2,33,2,0.421
83,17,2,0.2,33,2,0.369
-63,-37,1,0.2,33,1,0.675
68,34,2,0.2,33,2,0.349
89,18,2,0.2,33,2,0.25
67,60,2,0.2,33,2,0.399
71,-10,2,0.2,33,2,0.38
-150,-3,1,0.2,33,1,0.3
-65,-21,1,0.2,33,1,0.33
49,1,2,0.2,33,2,0.378
63,-22,2,0.2,33,2,0.571
-92,-26,1,0.2,33,1,0.83
-45,-18,1,0.2,33,1,0.511
-44,34,1,0.2,33,1,0.241
52,14,2,0.2,33,2,0.441
-85,32,1,0.2,33,1,0.083
-31,1,1,0.2,33,1,0.491
-67,3,1,0.2,33,1,0.505
-59,-47,1,0.2,33,1,0.101
-42,-32,1,0.2,33,1,0.79
-149,-6,1,0.2,33,1,0.241
67,-12,2,0.2,33,2,0.24
97,16,2,0.2,33,2,0.439
108,-11,2,0.2,33,2,0.66
51,-105,2,0.2,33,2,0.47
34,-37,2,0.2,33,2,0.047
-48,32,1,0.2,33,1,0.529
114,-26,2,0.2,33,2,0.38
61,3,2,0.2,33,2,0.16
49,-23,2,0.2,33,2,0.165
96,16,2,0.2,33,2,0.032
7,8,2,0.2,33,2,0.59
94,10,2,0.2,33,1,0.22
76,-22,2,0.2,33,2,0.09
34,-62,2,0.2,33,2,0.25
-85,-11,1,0.2,33,1,0.53
-114,12,1,0.2,33,1,0.19
-91,-11,1,0.2,33,1,0.13
-28,17,1,0.2,33,1,0.2
23,57,2,0.2,33,2,0.283
38,-2,2,0.2,33,2,0.06
-61,-2,1,0.2,33,1,0.237
-77,3,1,0.2,33,1,0.509
-51,49,1,0.2,33,1,0.54
-74,-9,1,0.2,33,1,5.185
-55,29,1,0.2,33,1,0.61
-134,-14,1,0.2,33,1,0.31
-70,-39,1,0.2,33,1,0.11
-80,-59,1,0.2,33,1,0.402
108,-15,2,0.2,33,2,0.037
-139,-43,1,0.2,33,1,0.072
-54,-14,1,0.2,33,1,6.058
-105,35,1,0.2,33,1,0.46
38,16,2,0.2,33,2,0.25
94,-25,2,0.2,33,2,0.129
-108,24,1,0.2,33,1,0.231
-137,16,1,0.2,33,1,0.131
38,-7,2,0.2,33,2,0.206
33,-27,2,0.2,33,2,0.421
93,18,2,0.2,33,2,0.179
87,-23,2,0.2,33,2,0.17
71,9,2,0.2,33,2,0.12
47,71,2,0.2,33,2,0.151
62,1,2,0.2,33,2,0.231
-70,-12,1,0.2,33,1,0.071
-103,-10,1,0.2,33,1,0.19
-36,4,1,0.2,33,1,0.151
-68,31,1,0.2,33,1,0.22
81,-24,2,0.2,33,2,0.36
-36,36,1,0.2,33,1,0.241
63,12,2,0.2,33,2,0.19
100,-7,2,0.2,33,2,0.149
-133,23,1,0.2,33,1,0.32
-52,22,1,0.2,33,1,0.38
-100,-29,1,0.2,33,1,0.419
-97,-25,1,0.2,33,1,0.291
-65,-47,1,0.2,33,1,0.331
-77,-26,1,0.2,33,1,0.291
-67,-16,1,0.2,33,1,0.409
83,-33,2,0.2,33,2,0.309
102,13,2,0.2,33,2,0.49
6,65,2,0.2,33,2,1.081
52,11,2,0.2,33,2,0.4
103,-64,2,0.2,33,2,0.353
62,44,2,0.2,33,2,0.631
73,7,2,0.2,33,2,0.279
104,14,2,0.2,33,2,0.341
-64,11,1,0.2,33,1,0.306
-80,42,1,0.2,33,1,0.339
-102,30,1,0.2,33,1,0.52
