egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-243,-248,1,0.95,140,1,3.36
196,153,2,0.95,140,2,1.395
12,-213,2,0.95,140,2,3.753
-20,65,1,0.95,140,1,1.143
111,-228,2,0.95,140,2,1.071
93,-85,1,0.95,140,2,1.139
-25,-28,1,0.95,140,1,1.466
168,-15,2,0.95,140,2,0.744
19,-108,1,0.95,140,2,0.469
332,169,2,0.95,140,2,0.901
-150,222,1,0.95,140,1,1.038
188,81,2,0.95,140,2,0.826
30,83,1,0.95,140,2,0.841
-1,59,2,0.95,140,1,4.361
44,29,1,0.95,140,2,0.509
-78,65,2,0.95,140,1,1.46
-132,-123,1,0.95,140,1,0.202
97,-29,2,0.95,140,2,0.451
186,-137,2,0.95,140,2,0.074
-1,-260,1,0.95,140,1,1.12
165,71,2,0.95,140,2,0.948
-264,-380,1,0.95,140,1,0.464
99,-49,2,0.95,140,2,0.427
-189,-11,1,0.95,140,1,1.139
120,180,2,0.95,140,2,0.956
-213,-55,1,0.95,140,1,0.43
251,10,2,0.95,140,2,0.372
-79,5,1,0.95,140,1,0.721
92,9,2,0.95,140,2,1.933
-211,-33,1,0.95,140,1,0.984
14,214,1,0.95,140,2,1.202
145,296,2,0.95,140,2,1.059
-207,-32,1,0.95,140,1,0.868
-86,-46,2,0.95,140,1,0.505
-77,294,1,0.95,140,1,0.809
210,110,2,0.95,140,2,0.391
282,151,1,0.95,140,2,0.843
50,-13,2,0.95,140,2,0.636
30,23,1,0.95,140,2,0.965
37,25,2,0.95,140,2,1.008
-183,-100,1,0.95,140,1,1.396
-65,38,2,0.95,140,1,2.569
-59,-254,1,0.95,140,1,2.042
168,163,2,0.95,140,2,1.111
-19,-3,1,0.95,140,1,1.061
-22,-231,2,0.95,140,1,0.498
91,235,1,0.95,140,2,0.673
321,-100,2,0.95,140,2,0.965
-190,-101,1,0.95,140,1,0.951
258,215,2,0.95,140,2,1.077
68,-82,2,0.95,140,2,1.454
-4,-48,1,0.95,140,1,1.346
150,219,2,0.95,140,2,1.089
-263,-16,1,0.95,140,1,1.319
-96,109,2,0.95,140,1,0.929
59,-26,1,0.95,140,2,0.572
192,114,2,0.95,140,2,0.877
-55,98,1,0.95,140,1,1.014
88,42,2,0.95,140,2,0.954
1,68,1,0.95,140,1,0.813
147,19,2,0.95,140,2,0.859
-118,-96,1,0.95,140,1,0.892
344,32,2,0.95,140,2,0.877
-94,74,1,0.95,140,1,1.102
179,-31,2,0.95,140,2,1.397
14,-14,1,0.95,140,2,1.417
-99,72,2,0.95,140,1,0.982
-10,66,1,0.95,140,1,1.018
-42,112,2,0.95,140,1,1.127
-98,153,1,0.95,140,1,1.163
320,278,2,0.95,140,2,0.907
-267,-85,1,0.95,140,1,0.774
-40,98,2,0.95,140,1,0.58
-1,161,1,0.95,140,1,1.438
184,-204,2,0.95,140,2,0.476
-17,19,1,0.95,140,1,0.979
57,213,2,0.95,140,2,1.262
-159,106,1,0.95,140,1,0.623
44,-80,2,0.95,140,2,0.811
5,-87,1,0.95,140,2,6.13
191,-185,2,0.95,140,2,0.673
-22,-107,1,0.95,140,1,1.068
142,-166,2,0.95,140,2,0.73
-74,152,1,0.95,140,1,2.247
55,217,2,0.95,140,2,1.024
-205,58,1,0.95,140,1,0.897
-5,61,2,0.95,140,1,0.653
146,-101,1,0.95,140,2,0.504
59,-178,2,0.95,140,2,0.429
-42,100,1,0.95,140,1,0.685
160,-259,2,0.95,140,2,0.29
-137,-193,1,0.95,140,1,0.709
-334,-34,2,0.95,140,1,1.29
18,-15,1,0.95,140,2,1.205
101,-24,2,0.95,140,2,0.982
83,317,1,0.95,140,2,0.751
437,8,2,0.95,140,2,0.855
-2,-89,1,0.95,140,1,1.567
131,-221,2,0.95,140,2,1.352
-66,-16,1,0.95,140,1,1.46
114,52,2,0.95,140,2,1.059
-129,-150,1,0.95,140,1,1.079
-125,1,2,0.95,140,1,2.901
