egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-149,215,1,0.05,140,1,0.387
-258,-69,1,0.05,140,1,0.558
62,-1,1,0.05,140,2,0.336
-168,-245,1,0.05,140,1,0.409
44,5,1,0.05,140,2,0.498
-29,54,1,0.05,140,1,0.444
-8,-31,1,0.05,140,1,0.749
-314,142,1,0.05,140,1,0.5
-89,102,1,0.05,140,1,0.315
-417,-74,1,0.05,140,1,0.065
163,-193,1,0.05,140,2,0.499
-227,-96,1,0.05,140,1,0.324
-179,-64,1,0.05,140,1,0.205
137,17,1,0.05,140,2,0.79
-53,-82,1,0.05,140,1,0.533
138,-161,1,0.05,140,1,0.378
-226,26,1,0.05,140,1,0.138
93,127,1,0.05,140,1,0.141
-305,23,1,0.05,140,1,0.264
-32,250,1,0.05,140,1,0.134
-152,164,1,0.05,140,1,0.165
-60,-56,1,0.05,140,1,0.567
-55,156,1,0.05,140,1,0.201
-38,-176,1,0.05,140,1,0.028
-66,228,1,0.05,140,1,0.148
-252,18,1,0.05,140,1,0.194
-164,-196,1,0.05,140,1,0.041
-60,-46,1,0.05,140,1,0.045
149,23,1,0.05,140,1,0.421
224,8,2,0.05,140,1,0.233
278,-6,2,0.05,140,2,0.356
-9,-262,2,0.05,140,2,0.282
51,138,2,0.05,140,2,0.251
-21,130,1,0.05,140,2,0.256
11,132,1,0.05,140,2,0.73
134,94,1,0.05,140,1,0.259
64,138,1,0.05,140,1,0.331
-156,3,1,0.05,140,1,0.473
30,-92,1,0.05,140,1,0.606
-258,-341,1,0.05,140,1,0.24
-110,-135,1,0.05,140,1,0.187
101,-368,1,0.05,140,1,0.311
203,84,1,0.05,140,1,0.179
69,149,1,0.05,140,1,0.475
-155,315,1,0.05,140,1,0.42
-108,-210,1,0.05,140,1,0.357
-111,-115,1,0.05,140,1,0.367
5,-147,1,0.05,140,1,0.315
-79,72,1,0.05,140,1,0.425
-95,44,1,0.05,140,1,0.267
-65,105,1,0.05,140,1,0.077
55,-37,1,0.05,140,1,0.278
112,177,1,0.05,140,1,0
-150,-139,1,0.05,140,1,0.214
-108,-238,1,0.05,140,1,0.575
-94,58,1,0.05,140,1,0.268
-132,270,1,0.05,140,1,0.349
5,-152,1,0.05,140,1,0.374
152,21,2,0.05,140,1,0.364
109,43,2,0.05,140,2,0.819
-27,-297,2,0.05,140,2,0.337
26,-83,2,0.05,140,2,0.47
133,-63,2,0.05,140,2,0.361
-83,84,2,0.05,140,2,0.2
157,96,2,0.05,140,2,0.364
-124,65,2,0.05,140,2,0.397
87,62,2,0.05,140,2,0.228
325,135,2,0.05,140,2,0.049
91,222,2,0.05,140,2,0.155
163,1,2,0.05,140,2,0.016
-128,-156,2,0.05,140,2,0.31
246,-66,2,0.05,140,2,0.305
285,-46,2,0.05,140,2,0.138
-147,-380,2,0.05,140,2,0.141
199,-17,2,0.05,140,2,0.215
62,-10,2,0.05,140,2,0.029
-172,-17,2,0.05,140,2,0.702
-21,162,2,0.05,140,2,0.575
65,153,2,0.05,140,2,0.329
123,150,2,0.05,140,2,0.333
107,-15,2,0.05,140,2,0.076
76,-206,2,0.05,140,2,0.721
258,240,2,0.05,140,2,0.758
146,-138,2,0.05,140,2,0.533
189,35,2,0.05,140,2,0.33
42,13,2,0.05,140,2,0.796
-45,186,1,0.05,140,2,0.735
61,176,1,0.05,140,1,0.407
-98,-45,1,0.05,140,1,0.423
-48,270,1,0.05,140,1,0.49
-93,-106,2,0.05,140,1,0.404
97,136,2,0.05,140,2,0.364
169,-111,2,0.05,140,2,0.303
-307,22,1,0.05,140,2,0.707
112,82,1,0.05,140,2,0.293
-70,358,1,0.05,140,1,0.071
150,33,1,0.05,140,1,0.472
-36,24,1,0.05,140,1,0.588
-270,-88,1,0.05,140,1,0.088
-253,128,1,0.05,140,1,0.339
-185,160,1,0.05,140,1,0.361
-127,37,1,0.05,140,1,0.114
-33,164,1,0.05,140,1,0.048
-227,274,1,0.05,140,1,0.043
82,58,2,0.05,140,1,0.052
298,39,2,0.05,140,2,0.239
-86,82,2,0.05,140,2,0.243
17,75,2,0.05,140,2,0.304
