egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-149,215,1,0.05,140,2,5.067
-258,-69,1,0.05,140,1,3.811
62,-1,1,0.05,140,2,2.333
-168,-245,1,0.05,140,1,0.647
44,5,1,0.05,140,1,0.593
-29,54,1,0.05,140,1,0.086
-8,-31,1,0.05,140,1,0.164
-314,142,1,0.05,140,1,0.126
-89,102,1,0.05,140,1,1.989
-417,-74,1,0.05,140,1,0.81
163,-193,1,0.05,140,1,2.55
-227,-96,1,0.05,140,1,0.849
-179,-64,1,0.05,140,1,1.056
137,17,1,0.05,140,1,0.641
-53,-82,1,0.05,140,1,0.621
138,-161,1,0.05,140,1,0.637
-226,26,1,0.05,140,1,0.63
93,127,1,0.05,140,1,0.773
-305,23,1,0.05,140,1,0.48
-32,250,1,0.05,140,1,0.577
-152,164,1,0.05,140,1,0.294
-60,-56,1,0.05,140,1,0.294
-55,156,1,0.05,140,1,0.555
-38,-176,1,0.05,140,1,0.574
-66,228,1,0.05,140,1,0.451
-252,18,1,0.05,140,1,0.439
-164,-196,1,0.05,140,1,0.554
-60,-46,1,0.05,140,1,1.042
149,23,1,0.05,140,1,27.426
224,8,2,0.05,140,1,2.266
278,-6,2,0.05,140,2,1.786
-9,-262,2,0.05,140,2,0.883
51,138,2,0.05,140,2,0.019
-21,130,1,0.05,140,2,0.376
11,132,1,0.05,140,1,0.221
134,94,1,0.05,140,1,0.923
64,138,1,0.05,140,1,9.671
-156,3,1,0.05,140,1,0.133
30,-92,1,0.05,140,1,0.536
-258,-341,1,0.05,140,1,0.84
-110,-135,1,0.05,140,1,0.047
101,-368,1,0.05,140,1,0.903
203,84,1,0.05,140,1,0.851
69,149,1,0.05,140,1,1.175
-155,315,1,0.05,140,1,0.272
-108,-210,1,0.05,140,1,0.425
-111,-115,1,0.05,140,1,0.055
5,-147,1,0.05,140,1,0.822
-79,72,1,0.05,140,1,0.168
-95,44,1,0.05,140,1,0.675
-65,105,1,0.05,140,1,0.188
55,-37,1,0.05,140,1,0.406
112,177,1,0.05,140,1,0.467
-150,-139,1,0.05,140,1,0.139
-108,-238,1,0.05,140,1,0.129
-94,58,1,0.05,140,1,0.238
-132,270,1,0.05,140,1,0.459
5,-152,1,0.05,140,1,0.059
152,21,2,0.05,140,1,0.209
109,43,2,0.05,140,2,0.5
-27,-297,2,0.05,140,2,0.062
26,-83,2,0.05,140,2,0.48
133,-63,2,0.05,140,2,0.076
-83,84,2,0.05,140,2,0.211
157,96,2,0.05,140,2,0.294
-124,65,2,0.05,140,2,0.117
87,62,2,0.05,140,2,0.141
325,135,2,0.05,140,2,0.297
91,222,2,0.05,140,2,0.39
163,1,2,0.05,140,2,0.374
-128,-156,2,0.05,140,2,0.1
246,-66,2,0.05,140,2,0.275
285,-46,2,0.05,140,2,0.334
-147,-380,2,0.05,140,2,0.157
199,-17,2,0.05,140,2,0.098
62,-10,2,0.05,140,2,0.365
-172,-17,2,0.05,140,2,0.193
-21,162,2,0.05,140,2,0.207
65,153,2,0.05,140,2,0.196
123,150,2,0.05,140,2,0.102
107,-15,2,0.05,140,2,0.095
76,-206,2,0.05,140,2,0.352
258,240,2,0.05,140,2,0.263
146,-138,2,0.05,140,2,0.171
189,35,2,0.05,140,2,0.368
42,13,2,0.05,140,2,1.087
-45,186,1,0.05,140,2,14.991
61,176,1,0.05,140,2,4.254
-98,-45,1,0.05,140,1,0.605
-48,270,1,0.05,140,1,0.076
-93,-106,2,0.05,140,1,3.537
97,136,2,0.05,140,2,0.76
169,-111,2,0.05,140,2,0.615
-307,22,1,0.05,140,1,19.111
112,82,1,0.05,140,1,0.639
-70,358,1,0.05,140,2,0.979
150,33,1,0.05,140,1,0.707
-36,24,1,0.05,140,1,0.29
-270,-88,1,0.05,140,1,0.588
-253,128,1,0.05,140,1,0.363
-185,160,1,0.05,140,1,0.327
-127,37,1,0.05,140,1,0.147
-33,164,1,0.05,140,1,0.044
-227,274,1,0.05,140,1,0.174
82,58,2,0.05,140,1,0.296
298,39,2,0.05,140,2,0.038
-86,82,2,0.05,140,2,0.036
17,75,2,0.05,140,2,0.024
221,-66,2,0.05,140,2,0.386
22,-84,2,0.05,140,2,0.023
207,5,2,0.05,140,2,0.245
42,81,2,0.05,140,2,0.439
-87,-38,2,0.05,140,2,0.374
-17,-106,2,0.05,140,2,0.359
353,-21,2,0.05,140,2,0.124
-116,-95,1,0.05,140,2,0.28
9,-287,1,0.05,140,1,0.423
-202,-221,1,0.05,140,1,0.149
-370,146,1,0.05,140,1,0.293
37,13,1,0.05,140,1,0.299
-204,214,1,0.05,140,1,0.362
178,-87,1,0.05,140,1,0.347
-178,-4,1,0.05,140,1,0.192
-61,-100,2,0.05,140,1,0.232
227,-62,2,0.05,140,2,0.407
-89,124,2,0.05,140,2,0.424
19,30,2,0.05,140,2,0.262
53,110,2,0.05,140,2,0.099
53,52,2,0.05,140,2,0.702
82,-306,2,0.05,140,2,0.256
180,-178,2,0.05,140,2,0.221
-10,-95,2,0.05,140,2,0.309
156,-1,2,0.05,140,2,0.233
305,-24,2,0.05,140,2,0.531
315,231,2,0.05,140,2,0.87
-132,-33,2,0.05,140,2,0.45
17,171,2,0.05,140,2,3.021
163,5,2,0.05,140,2,0.226
303,-225,2,0.05,140,2,0.098
124,122,2,0.05,140,2,0.547
3,125,1,0.05,140,2,0.177
-118,16,1,0.05,140,1,0.494
-35,-103,1,0.05,140,1,0.143
227,51,2,0.05,140,1,0.133
-44,28,2,0.05,140,2,0.581
57,-221,2,0.05,140,2,0.109
61,-4,2,0.05,140,2,0.533
225,-214,2,0.05,140,2,0.139
-40,150,2,0.05,140,2,0.071
208,113,2,0.05,140,2,0.061
-58,5,2,0.05,140,2,0.182
128,226,2,0.05,140,2,0.449
183,-35,2,0.05,140,2,0.272
5,227,2,0.05,140,2,0.218
347,97,2,0.05,140,2,0.053
-2,-156,2,0.05,140,2,0.551
53,-84,2,0.05,140,2,0.278
117,-29,2,0.05,140,2,0.336
-12,-115,2,0.05,140,2,0.646
97,42,2,0.05,140,2,0.267
132,122,2,0.05,140,2,0.094
-235,108,1,0.05,140,2,0.088
184,-54,1,0.05,140,1,0.201
30,55,1,0.05,140,1,0.171
-15,38,1,0.05,140,1,0.258
425,-32,1,0.05,140,1,0.444
-80,-55,1,0.05,140,1,0.578
80,-339,1,0.05,140,1,0.27
-84,-77,1,0.05,140,1,0.303
-94,-74,1,0.05,140,1,0.555
-81,-40,1,0.05,140,1,0.113
-97,-7,1,0.05,140,1,0.086
108,-24,1,0.05,140,1,0.116
49,123,1,0.05,140,1,0.141
101,-103,1,0.05,140,1,0.14
-152,158,1,0.05,140,1,0.211
-171,213,1,0.05,140,1,0.038
79,-258,1,0.05,140,1,0.343
62,-17,1,0.05,140,1,0.102
-252,-106,1,0.05,140,1,0.102
-272,172,1,0.05,140,1,0.543
-345,-219,1,0.05,140,1,0.077
-220,-380,1,0.05,140,1,0.182
-80,-304,1,0.05,140,1,0.119
-228,-313,1,0.05,140,1,0.189
-27,326,1,0.05,140,1,1.055
-302,7,1,0.05,140,1,0.294
82,-34,2,0.05,140,1,0.24
93,-225,2,0.05,140,2,0.335
26,167,2,0.05,140,2,0.276
-211,-28,2,0.05,140,2,0.157
223,-196,2,0.05,140,2,0.648
-55,-93,2,0.05,140,2,0.028
67,-97,2,0.05,140,2,0.308
93,-162,2,0.05,140,2,0.063
183,-190,2,0.05,140,2,0.122
260,-148,2,0.05,140,2,0.185
-43,-1,2,0.05,140,2,0.228
-117,128,2,0.05,140,2,0.226
75,-77,2,0.05,140,2,0.207
-50,156,1,0.2,140,2,0.24
213,187,2,0.2,140,1,1.579
-91,-86,2,0.2,140,2,1.596
-14,58,2,0.2,140,2,1.002
-27,53,2,0.2,140,2,0.114
55,-121,2,0.2,140,2,0.369
118,131,2,0.2,140,2,0.088
-98,165,2,0.2,140,2,0.297
63,-148,2,0.2,140,2,0.335
169,303,2,0.2,140,2,0.132
64,-149,2,0.2,140,2,0.116
-5,31,2,0.2,140,2,0.18
53,86,2,0.2,140,2,0.613
251,-42,2,0.2,140,2,0.366
-60,-239,2,0.2,140,2,0.011
-194,-114,1,0.2,140,2,0.343
143,-102,2,0.2,140,1,0.803
203,154,2,0.2,140,2,0.005
60,-143,2,0.2,140,2,0.377
109,63,2,0.2,140,2,0.275
-20,183,2,0.2,140,2,0.5
20,22,2,0.2,140,2,0.303
-76,35,2,0.2,140,2,0.316
-27,-130,2,0.2,140,2,0.383
292,-79,2,0.2,140,2,0.484
45,165,2,0.2,140,2,0.433
-148,24,2,0.2,140,2,0.486
97,-25,2,0.2,140,2,0.227
-29,160,1,0.2,140,2,0.373
117,61,2,0.2,140,2,1.039
-121,38,2,0.2,140,2,0.684
276,-58,2,0.2,140,2,0.189
144,115,2,0.2,140,2,0.285
167,9,2,0.2,140,2,0.243
-146,-132,2,0.2,140,2,0.346
150,-53,2,0.2,140,2,0.268
217,15,2,0.2,140,2,0.373
-69,49,1,0.2,140,2,0.312
84,186,1,0.2,140,1,0.534
-229,-14,1,0.2,140,1,1.531
-98,-127,1,0.2,140,1,0.095
307,-51,2,0.2,140,1,0.049
66,-235,2,0.2,140,2,0.088
-59,-149,1,0.2,140,2,0.053
-132,54,1,0.2,140,1,0.197
-103,74,1,0.2,140,1,0.005
16,-25,2,0.2,140,1,0.543
94,91,2,0.2,140,2,0.025
253,220,2,0.2,140,2,0.467
-227,78,2,0.2,140,2,0.645
63,-208,1,0.2,140,2,0.457
108,-67,2,0.2,140,2,0.334
148,-88,2,0.2,140,2,0.06
-94,134,2,0.2,140,2,0.303
-158,-114,2,0.2,140,2,0.409
-158,33,2,0.2,140,2,0.327
148,-51,2,0.2,140,2,0.05
127,288,2,0.2,140,2,0.394
111,175,2,0.2,140,2,1.469
-105,43,1,0.2,140,2,0.123
89,-54,1,0.2,140,1,0.145
-28,52,1,0.2,140,1,0.157
-123,-85,1,0.2,140,1,0.109
66,289,2,0.2,140,1,0.181
2,186,2,0.2,140,2,0.357
116,112,2,0.2,140,2,0.063
166,-57,2,0.2,140,2,0.002
155,-216,2,0.2,140,2,0.015
113,110,2,0.2,140,2,0.294
65,184,2,0.2,140,2,0.048
125,-21,2,0.2,140,2,0.132
5,121,1,0.2,140,2,1.634
-64,-32,2,0.2,140,1,0.329
-36,93,2,0.2,140,2,0.346
-17,-115,2,0.2,140,2,0.106
-36,8,2,0.2,140,2,0.096
-17,-159,2,0.2,140,2,0.001
139,-26,2,0.2,140,2,0.162
-76,9,2,0.2,140,2,0.099
-30,32,1,0.2,140,2,0.415
-186,-64,1,0.2,140,1,0.345
1,-112,2,0.2,140,1,0.332
-49,310,2,0.2,140,2,0.847
-25,37,2,0.2,140,2,0.158
-174,-71,1,0.2,140,2,0.347
-22,112,1,0.2,140,1,0.179
-5,-18,1,0.2,140,1,0.582
-194,104,1,0.2,140,1,0.148
-25,77,2,0.2,140,1,0.157
179,117,2,0.2,140,2,0.038
46,57,2,0.2,140,2,0.046
38,-74,2,0.2,140,2,0.399
-21,108,2,0.2,140,2,0.078
-170,7,2,0.2,140,2,0.231
-70,36,2,0.2,140,2,0.266
148,-185,2,0.2,140,2,0.18
13,29,2,0.2,140,2,0.004
393,-42,2,0.2,140,2,0.262
47,-27,2,0.2,140,2,0.064
87,91,2,0.2,140,2,0.069
114,138,2,0.2,140,2,0.458
-13,107,1,0.2,140,2,0.102
-81,90,1,0.2,140,1,0.542
-113,31,1,0.2,140,1,0.106
-263,85,1,0.2,140,1,0.296
65,102,1,0.2,140,1,0.439
-90,104,1,0.2,140,1,0.26
-184,71,1,0.2,140,1,0.362
-229,117,1,0.2,140,1,0.007
150,83,2,0.2,140,2,0.131
12,57,2,0.2,140,2,0.51
-182,106,2,0.2,140,1,0.52
-48,109,1,0.2,140,2,1.686
-47,147,1,0.2,140,1,0.214
-207,257,1,0.2,140,1,0.122
-199,85,1,0.2,140,1,0.085
29,-18,1,0.2,140,2,0.73
216,88,1,0.2,140,1,0.344
105,-49,1,0.2,140,1,0.263
-23,-36,2,0.2,140,1,0.578
98,-227,2,0.2,140,2,0.051
194,-73,2,0.2,140,2,0.663
8,-74,2,0.2,140,2,0.518
316,50,2,0.2,140,2,0.165
217,-152,2,0.2,140,2,0.175
44,122,2,0.2,140,2,0.271
-115,95,1,0.2,140,2,0.608
-91,332,1,0.2,140,1,0.59
-121,11,1,0.2,140,1,0.326
-112,-237,1,0.2,140,1,0.262
135,32,1,0.2,140,1,0.218
48,69,2,0.2,140,1,0.183
121,8,2,0.2,140,2,0.307
21,-53,1,0.2,140,2,0.343
-126,228,1,0.2,140,1,0.252
48,169,1,0.2,140,1,0.472
91,75,2,0.2,140,1,0.135
