egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-243,-248,1,0.95,140,1,0.766
196,153,2,0.95,140,2,0.475
12,-213,2,0.95,140,2,0.722
-20,65,1,0.95,140,1,0.155
111,-228,2,0.95,140,2,0.231
93,-85,1,0.95,140,2,0.22
-25,-28,1,0.95,140,1,0.024
168,-15,2,0.95,140,2,0.127
19,-108,1,0.95,140,2,0.216
332,169,2,0.95,140,2,0.133
-150,222,1,0.95,140,1,0.062
188,81,2,0.95,140,2,0.152
30,83,1,0.95,140,2,0.145
-1,59,2,0.95,140,1,0.149
44,29,1,0.95,140,2,0.044
-78,65,2,0.95,140,1,0.095
-132,-123,1,0.95,140,1,0.127
97,-29,2,0.95,140,2,0.258
186,-137,2,0.95,140,2,0.158
-1,-260,1,0.95,140,2,0.227
165,71,2,0.95,140,2,0.093
-264,-380,1,0.95,140,1,0.151
99,-49,2,0.95,140,2,0.214
-189,-11,1,0.95,140,1,0.171
120,180,2,0.95,140,2,0.045
-213,-55,1,0.95,140,1,0.181
251,10,2,0.95,140,2,0.106
-79,5,1,0.95,140,1,0.108
92,9,2,0.95,140,2,0.03
-211,-33,1,0.95,140,1,0.195
14,214,1,0.95,140,2,0.176
145,296,2,0.95,140,2,0.135
-207,-32,1,0.95,140,1,0.227
-86,-46,2,0.95,140,1,0.15
-77,294,1,0.95,140,1,0.216
210,110,2,0.95,140,2,0.037
282,151,1,0.95,140,2,0.151
50,-13,2,0.95,140,2,0.052
30,23,1,0.95,140,2,0.071
37,25,2,0.95,140,2,0.104
-183,-100,1,0.95,140,1,0.069
-65,38,2,0.95,140,1,0.211
-59,-254,1,0.95,140,1,0.22
168,163,2,0.95,140,2,0.057
-19,-3,1,0.95,140,1,0.11
-22,-231,2,0.95,140,1,0.127
91,235,1,0.95,140,2,0.007
321,-100,2,0.95,140,2,0.131
-190,-101,1,0.95,140,1,0.099
258,215,2,0.95,140,2,0.035
68,-82,2,0.95,140,2,0.047
-4,-48,1,0.95,140,2,0.179
150,219,2,0.95,140,2,0.265
-263,-16,1,0.95,140,1,0.055
-96,109,2,0.95,140,1,0.23
59,-26,1,0.95,140,2,0.244
192,114,2,0.95,140,2,0.138
-55,98,1,0.95,140,1,0.207
88,42,2,0.95,140,2,0.296
1,68,1,0.95,140,2,0.745
147,19,2,0.95,140,2,0.082
-118,-96,1,0.95,140,1,0.147
344,32,2,0.95,140,2,0.144
-94,74,1,0.95,140,1,0.089
179,-31,2,0.95,140,2,0.159
14,-14,1,0.95,140,2,0.048
-99,72,2,0.95,140,1,0.114
-10,66,1,0.95,140,1,0.128
