egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
9,-4,2,0.2,33,2,0.614
81,-30,2,0.2,33,2,0.463
117,-44,2,0.2,33,2,0.179
58,16,2,0.2,33,2,0.438
136,-7,2,0.2,33,2,0.32
88,31,2,0.2,33,2,0.129
129,-47,2,0.2,33,2,0.033
-80,35,1,0.2,33,1,0.221
69,-18,2,0.2,33,2,0.337
15,25,2,0.2,33,2,0.021
79,-10,2,0.2,33,2,0.197
36,3,2,0.2,33,2,0.399
111,-39,2,0.2,33,2,0.063
108,-40,2,0.2,33,2,0.118
-39,-16,1,0.2,33,1,0.097
-113,-14,1,0.2,33,1,0.466
-76,28,1,0.2,33,1,0.24
-46,48,1,0.2,33,1,0.352
-90,-8,1,0.2,33,1,0.783
81,1,2,0.2,33,2,0.572
-47,-29,1,0.2,33,1,0.175
-89,-13,1,0.2,33,1,0.736
83,-18,2,0.2,33,2,0.145
79,-23,2,0.2,33,2,0.146
73,91,2,0.2,33,2,0.248
20,-14,2,0.2,33,2,0.277
38,2,2,0.2,33,2,0.212
-70,-12,1,0.2,33,1,0.449
-70,-57,1,0.2,33,1,0.419
-118,10,1,0.2,33,1,0.252
-135,-13,1,0.2,33,1,0.368
-64,52,1,0.2,33,1,0.11
-80,-6,1,0.2,33,1,0.08
-78,37,1,0.2,33,1,0.659
-25,11,1,0.2,33,1,0.255
-111,-11,1,0.2,33,1,0.431
-28,-27,1,0.2,33,1,0.353
58,3,2,0.2,33,2,0.625
-42,32,1,0.2,33,1,0.001
43,-16,2,0.2,33,2,0.654
16,-52,2,0.2,33,2,0.191
46,-9,2,0.2,33,2,0.212
77,61,2,0.2,33,2,0.239
122,-64,2,0.2,33,2,0.324
98,5,2,0.2,33,2,0.463
85,23,2,0.2,33,2,0.095
83,17,2,0.2,33,2,0.658
-63,-37,1,0.2,33,1,0.404
68,34,2,0.2,33,2,0.163
89,18,2,0.2,33,2,0.157
67,60,2,0.2,33,2,0.382
71,-10,2,0.2,33,2,0.18
-150,-3,1,0.2,33,1,0.352
-65,-21,1,0.2,33,1,0.207
49,1,2,0.2,33,2,0.405
63,-22,2,0.2,33,2,0.383
-92,-26,1,0.2,33,1,0.421
-45,-18,1,0.2,33,1,0.305
-44,34,1,0.2,33,1,0.365
52,14,2,0.2,33,2,0.256
-85,32,1,0.2,33,1,0.255
-31,1,1,0.2,33,1,0.412
-67,3,1,0.2,33,1,0.355
-59,-47,1,0.2,33,1,0.354
-42,-32,1,0.2,33,1,0.035
-149,-6,1,0.2,33,1,0.114
67,-12,2,0.2,33,2,0.081
97,16,2,0.2,33,2,0.197
108,-11,2,0.2,33,2,0.643
