egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-42,-36,1,0.05,33,2,0.037
-125,9,1,0.05,33,2,0.01
-21,-19,1,0.05,33,2,0.004
-89,-80,1,0.05,33,2,0.004
-104,42,1,0.05,33,2,1.092
-78,-22,1,0.05,33,2,0.155
54,49,2,0.05,33,2,0
61,-15,2,0.05,33,2,0.412
147,73,2,0.05,33,2,0.019
88,33,2,0.05,33,2,0
124,24,2,0.05,33,2,0
114,-31,2,0.05,33,2,0.209
54,-41,2,0.05,33,1,0.014
28,30,2,0.05,33,1,0
-103,-5,1,0.05,33,1,0
-167,-8,1,0.05,33,1,0.438
-98,-58,1,0.05,33,1,0.009
-81,31,1,0.05,33,1,0.018
-52,1,1,0.05,33,1,0.001
-66,-29,1,0.05,33,1,0.021
-132,-27,1,0.05,33,1,0.01
-56,-13,1,0.05,33,1,0.004
-75,11,1,0.05,33,1,0
-61,79,1,0.05,33,1,0.019
-1,32,1,0.05,33,1,0.011
41,-43,2,0.05,33,1,0.02
49,58,2,0.05,33,1,0.004
110,1,2,0.05,33,1,0.01
133,29,2,0.05,33,1,0
110,49,2,0.05,33,1,0
101,-25,2,0.05,33,1,0.001
31,10,2,0.05,33,1,0.054
102,47,2,0.05,33,1,0.211
67,2,2,0.05,33,1,0
82,-40,2,0.05,33,1,0.277
48,15,2,0.05,33,1,0
39,38,2,0.05,33,1,0.589
109,-70,2,0.05,33,1,0.302
71,-13,2,0.05,33,1,1.469
22,-28,2,0.05,33,1,0.276
52,41,2,0.05,33,1,0
102,55,2,0.05,33,1,0
39,-10,2,0.05,33,1,0.268
35,-24,2,0.05,33,1,0.374
80,69,2,0.05,33,1,0.161
33,38,2,0.05,33,2,0.067
114,6,2,0.05,33,2,0.016
109,-11,2,0.05,33,2,0.012
-120,-36,1,0.05,33,2,0.22
-88,13,1,0.05,33,2,0.015
-140,21,1,0.05,33,2,0
11,24,1,0.05,33,2,0
-74,-1,1,0.05,33,2,0.474
-136,6,1,0.05,33,2,0.093
-128,14,1,0.05,33,2,0.005
-34,-14,1,0.05,33,2,0.535
-58,-24,1,0.05,33,2,0.568
-66,33,1,0.05,33,2,0
-86,-45,1,0.05,33,2,0.407
-142,65,1,0.05,33,2,0.082
-93,-9,1,0.05,33,2,0.021
-50,4,1,0.05,33,2,0.434
-84,53,1,0.05,33,2,0.005
-59,27,1,0.05,33,1,0
