egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-42,-36,1,0.05,33,1,0.104
-125,9,1,0.05,33,1,0.171
-21,-19,1,0.05,33,1,0.423
-89,-80,1,0.05,33,1,0.146
-104,42,1,0.05,33,1,0.251
-78,-22,1,0.05,33,1,0.197
54,49,2,0.05,33,2,0.456
61,-15,2,0.05,33,2,0.535
147,73,2,0.05,33,2,0.594
88,33,2,0.05,33,2,0.829
124,24,2,0.05,33,2,0.553
114,-31,2,0.05,33,2,0.444
54,-41,2,0.05,33,2,0.298
28,30,2,0.05,33,2,0.03
-103,-5,1,0.05,33,1,0.142
-167,-8,1,0.05,33,1,0.522
-98,-58,1,0.05,33,1,0.471
-81,31,1,0.05,33,1,0.693
-52,1,1,0.05,33,1,0.552
-66,-29,1,0.05,33,1,0.055
-132,-27,1,0.05,33,1,0.731
-56,-13,1,0.05,33,1,0.452
-75,11,1,0.05,33,1,0.442
-61,79,1,0.05,33,1,0.54
-1,32,1,0.05,33,2,0.665
41,-43,2,0.05,33,2,0.54
49,58,2,0.05,33,2,0.532
110,1,2,0.05,33,2,0.487
133,29,2,0.05,33,2,0.616
110,49,2,0.05,33,2,0.914
101,-25,2,0.05,33,2,0.836
31,10,2,0.05,33,2,0.185
102,47,2,0.05,33,2,0.507
67,2,2,0.05,33,2,0.423
82,-40,2,0.05,33,2,0.247
48,15,2,0.05,33,2,0.486
39,38,2,0.05,33,2,0.553
109,-70,2,0.05,33,2,0.351
71,-13,2,0.05,33,2,0.313
22,-28,2,0.05,33,2,0.407
52,41,2,0.05,33,2,0.498
102,55,2,0.05,33,2,0.585
39,-10,2,0.05,33,2,0.346
35,-24,2,0.05,33,2,0.391
80,69,2,0.05,33,2,1.257
33,38,2,0.05,33,2,0.555
114,6,2,0.05,33,2,1.029
109,-11,2,0.05,33,2,0.397
-120,-36,1,0.05,33,1,0.358
-88,13,1,0.05,33,1,0.378
-140,21,1,0.05,33,1,0.345
11,24,1,0.05,33,2,0.309
-74,-1,1,0.05,33,1,0.118
-136,6,1,0.05,33,1,0.155
-128,14,1,0.05,33,1,0.042
-34,-14,1,0.05,33,1,0.653
-58,-24,1,0.05,33,1,1.387
-66,33,1,0.05,33,1,0.759
-86,-45,1,0.05,33,1,0.509
-142,65,1,0.05,33,1,0.614
-93,-9,1,0.05,33,1,0.694
-50,4,1,0.05,33,1,0.9
-84,53,1,0.05,33,1,0.464
-59,27,1,0.05,33,1,0.441
56,16,2,0.05,33,2,0.493
39,-33,2,0.05,33,2,0.936
86,-25,2,0.05,33,2,0.533
86,25,2,0.05,33,2,0.39
135,-18,2,0.05,33,2,0.467
63,50,2,0.05,33,2,0.775
79,-27,2,0.05,33,2,0.717
86,42,2,0.05,33,2,0.538
68,18,2,0.05,33,2,0.826
126,15,2,0.05,33,2,0.491
80,-8,2,0.05,33,2,0.638
84,8,2,0.05,33,2,0.603
13,-47,2,0.05,33,2,0.455
81,-34,2,0.05,33,2,0.506
57,18,2,0.05,33,2,0.524
70,45,2,0.05,33,2,0.681
-81,1,1,0.05,33,1,0.303
-52,4,1,0.05,33,1,0.663
-105,22,1,0.05,33,1,0.474
-111,50,1,0.05,33,1,0.534
-84,3,1,0.05,33,1,0.428
-77,-35,1,0.05,33,1,0.57
-73,-24,1,0.05,33,1,0.651
-26,13,1,0.05,33,1,0.494
-95,10,1,0.05,33,1,0.516
-70,-13,1,0.05,33,1,0.582
-27,3,1,0.05,33,1,0.817
-87,46,1,0.05,33,1,0.552
-159,-18,1,0.05,33,1,1.991
43,-18,2,0.05,33,2,0.999
88,-12,2,0.05,33,2,1.134
74,6,2,0.05,33,2,2.615
71,7,2,0.05,33,2,0.427
-32,7,2,0.05,33,1,0.377
71,-9,2,0.05,33,2,0.77
68,-11,2,0.05,33,2,0.655
55,23,2,0.05,33,2,0.651
98,73,2,0.05,33,2,0.55
68,1,2,0.05,33,2,1.093
45,-3,2,0.05,33,2,0.554
84,-3,2,0.05,33,2,0.791
94,19,2,0.05,33,2,1.063
28,-9,2,0.05,33,2,0.095
128,-22,2,0.05,33,2,0.15
87,30,2,0.05,33,2,2.035
75,-25,2,0.05,33,2,0.377
57,-41,2,0.05,33,2,0.744
63,-8,2,0.05,33,2,0.715
28,32,2,0.05,33,2,0.53
30,-29,2,0.05,33,2,0.618
79,-41,2,0.05,33,2,0.377
100,-53,2,0.05,33,2,0.167
77,-8,2,0.05,33,2,0.956
61,11,2,0.05,33,2,0.565
69,34,2,0.05,33,2,0.187
68,20,2,0.05,33,2,0.695
84,10,2,0.05,33,2,0.628
43,8,2,0.05,33,2,0.296
64,14,2,0.05,33,2,0.348
4,21,2,0.05,33,2,0.369
87,-48,2,0.05,33,2,0.492
103,61,2,0.05,33,2,0.614
19,-23,2,0.05,33,2,0.118
72,25,2,0.05,33,2,0.519
79,19,2,0.05,33,2,0.216
173,1,2,0.05,33,2,267.263
70,1,2,0.05,33,2,0.422
56,-4,2,0.05,33,2,0.573
63,33,2,0.05,33,2,0.842
84,21,2,0.05,33,2,0.621
89,40,2,0.05,33,2,1.645
31,-40,2,0.05,33,2,0.978
55,46,2,0.05,33,2,1.126
53,-44,2,0.05,33,2,0.684
-122,42,1,0.05,33,1,1.204
-97,-29,1,0.05,33,1,0.867
-114,-41,1,0.05,33,1,0.475
-90,-50,1,0.05,33,1,0.486
-98,-12,1,0.05,33,1,1.13
-34,-55,1,0.05,33,1,0.055
-66,-44,1,0.05,33,1,0.345
-53,-35,1,0.05,33,1,0.495
-104,32,1,0.05,33,1,0.202
-52,-63,1,0.05,33,1,0.524
-61,62,1,0.05,33,1,0.518
-48,5,1,0.05,33,1,0.644
-102,25,1,0.05,33,1,0.616
-55,-22,1,0.05,33,1,0.524
-32,-5,1,0.05,33,1,0.622
-50,-23,1,0.05,33,1,0.776
-79,11,1,0.05,33,1,0.421
-53,39,1,0.05,33,1,0.486
-54,-33,1,0.05,33,1,0.471
-79,45,1,0.05,33,1,0.441
-97,-8,1,0.05,33,1,0.663
-52,1,1,0.05,33,1,0.454
-119,-27,1,0.05,33,1,0.561
-121,-12,1,0.05,33,1,0.571
-89,17,1,0.05,33,1,0.547
-87,-58,1,0.05,33,1,0.303
-60,-6,1,0.05,33,1,0.708
-13,-5,1,0.05,33,1,0.62
-77,-17,1,0.05,33,1,0.487
-84,-3,1,0.05,33,1,0.523
-57,5,1,0.05,33,1,0.333
-127,44,1,0.05,33,1,0.506
-90,-17,1,0.05,33,1,2.969
-87,31,1,0.05,33,1,1.018
-72,-63,1,0.05,33,1,0.457
-69,-1,1,0.05,33,1,2.192
-18,-34,1,0.05,33,1,0.275
-81,-11,1,0.05,33,1,0.261
-106,-30,1,0.05,33,1,0.713
-88,-40,1,0.05,33,1,1.701
-7,-32,1,0.05,33,1,0.423
-112,-62,1,0.05,33,1,0.479
-53,-13,1,0.05,33,1,0.826
-53,-14,1,0.05,33,1,0.509
-73,-33,1,0.05,33,1,0.646
-107,58,1,0.05,33,1,0.691
-68,14,1,0.05,33,1,0.457
-94,-74,1,0.05,33,1,0.545
-71,37,1,0.05,33,1,0.442
-52,-40,1,0.05,33,1,0.182
-63,-16,1,0.05,33,1,0.391
-112,12,1,0.05,33,1,0.514
-108,26,1,0.05,33,1,0.582
-104,-43,1,0.05,33,1,0.663
-71,-11,1,0.05,33,1,0.475
-50,-25,1,0.05,33,1,0.635
-98,8,1,0.05,33,1,0.52
-37,29,1,0.05,33,1,0.491
-82,-3,1,0.05,33,1,0.728
-88,-59,1,0.05,33,1,0.521
-67,-10,1,0.05,33,1,0.412
-67,-6,1,0.05,33,1,0.562
9,-4,2,0.2,33,2,0.442
81,-30,2,0.2,33,2,0.665
117,-44,2,0.2,33,2,0.92
58,16,2,0.2,33,2,0.45
136,-7,2,0.2,33,2,0.529
88,31,2,0.2,33,2,0.659
129,-47,2,0.2,33,2,0.5
-80,35,1,0.2,33,1,0.661
69,-18,2,0.2,33,2,0.1
59,-40,2,0.2,33,2,0.436
15,25,2,0.2,33,2,0.372
79,-10,2,0.2,33,2,0.356
36,3,2,0.2,33,2,0.586
111,-39,2,0.2,33,2,0.455
108,-40,2,0.2,33,2,0.566
-39,-16,1,0.2,33,1,0.603
-113,-14,1,0.2,33,1,0.677
-76,28,1,0.2,33,1,0.552
-46,48,1,0.2,33,1,0.835
-90,-8,1,0.2,33,1,0.571
81,1,2,0.2,33,2,0.645
-47,-29,1,0.2,33,1,0.715
-89,-13,1,0.2,33,1,0.502
83,-18,2,0.2,33,2,0.875
79,-23,2,0.2,33,2,0.699
73,91,2,0.2,33,2,0.493
20,-14,2,0.2,33,2,0.372
38,2,2,0.2,33,2,0.379
-70,-12,1,0.2,33,1,0.665
-70,-57,1,0.2,33,1,0.518
-118,10,1,0.2,33,1,0.441
-135,-13,1,0.2,33,1,0.631
-64,52,1,0.2,33,1,0.567
-80,-6,1,0.2,33,1,0.506
-78,37,1,0.2,33,1,0.456
-25,11,1,0.2,33,1,0.505
-111,-11,1,0.2,33,1,0.571
-28,-27,1,0.2,33,1,0.392
58,3,2,0.2,33,2,0.393
-42,32,1,0.2,33,1,0.411
43,-16,2,0.2,33,2,0.482
16,-52,2,0.2,33,2,0.393
46,-9,2,0.2,33,2,0.453
77,61,2,0.2,33,2,0.523
122,-64,2,0.2,33,2,0.476
98,5,2,0.2,33,2,0.356
85,23,2,0.2,33,2,0.389
83,17,2,0.2,33,2,0.471
-63,-37,1,0.2,33,1,0.439
68,34,2,0.2,33,2,0.55
89,18,2,0.2,33,2,0.41
67,60,2,0.2,33,2,0.454
71,-10,2,0.2,33,2,0.55
-150,-3,1,0.2,33,1,0.418
-65,-21,1,0.2,33,1,0.481
49,1,2,0.2,33,2,0.47
63,-22,2,0.2,33,2,0.415
-92,-26,1,0.2,33,1,0.608
-45,-18,1,0.2,33,1,0.44
-44,34,1,0.2,33,1,0.437
52,14,2,0.2,33,2,0.327
-85,32,1,0.2,33,1,0.334
-31,1,1,0.2,33,1,0.377
-67,3,1,0.2,33,1,0.444
-59,-47,1,0.2,33,1,0.369
-42,-32,1,0.2,33,1,0.487
-149,-6,1,0.2,33,1,0.28
67,-12,2,0.2,33,2,0.391
97,16,2,0.2,33,2,0.338
108,-11,2,0.2,33,2,0.393
51,-105,2,0.2,33,2,0.459
34,-37,2,0.2,33,2,0.408
-48,32,1,0.2,33,1,0.333
114,-26,2,0.2,33,2,0.548
61,3,2,0.2,33,2,0.484
49,-23,2,0.2,33,2,0.398
96,16,2,0.2,33,2,0.459
7,8,2,0.2,33,2,0.421
94,10,2,0.2,33,2,0.391
76,-22,2,0.2,33,2,0.503
34,-62,2,0.2,33,2,0.425
-85,-11,1,0.2,33,1,0.189
-114,12,1,0.2,33,1,0.429
-91,-11,1,0.2,33,1,0.322
-28,17,1,0.2,33,1,0.322
23,57,2,0.2,33,2,0.298
