egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-243,-248,1,0.95,140,1,0.042
196,153,2,0.95,140,2,0.418
12,-213,2,0.95,140,2,1.634
-20,65,1,0.95,140,1,0.356
111,-228,2,0.95,140,2,4.86
93,-85,1,0.95,140,2,0.046
-25,-28,1,0.95,140,2,2.357
168,-15,2,0.95,140,2,0.096
19,-108,1,0.95,140,2,0.378
-150,222,1,0.95,140,1,0.17
188,81,2,0.95,140,2,4.69
30,83,1,0.95,140,2,0.113
-1,59,2,0.95,140,2,0.896
44,29,1,0.95,140,2,0.487
-78,65,2,0.95,140,1,0.561
-132,-123,1,0.95,140,1,0.55
97,-29,2,0.95,140,2,0.644
186,-137,2,0.95,140,2,0.173
-1,-260,1,0.95,140,2,1.52
165,71,2,0.95,140,2,0.432
-264,-380,1,0.95,140,1,1.272
99,-49,2,0.95,140,2,0.492
-189,-11,1,0.95,140,1,0.266
120,180,2,0.95,140,2,4.816
-213,-55,1,0.95,140,1,1.072
251,10,2,0.95,140,2,0.387
-79,5,1,0.95,140,1,0.273
92,9,2,0.95,140,2,0.514
-211,-33,1,0.95,140,1,0.046
14,214,1,0.95,140,1,1.063
145,296,2,0.95,140,2,0.038
-207,-32,1,0.95,140,1,0.097
-86,-46,2,0.95,140,1,0.453
-77,294,1,0.95,140,1,0.02
210,110,2,0.95,140,2,1.649
282,151,1,0.95,140,2,0.131
50,-13,2,0.95,140,2,0.317
30,23,1,0.95,140,2,0.535
37,25,2,0.95,140,2,0.328
-183,-100,1,0.95,140,1,0.22
-65,38,2,0.95,140,1,0.27
-59,-254,1,0.95,140,1,0.049
168,163,2,0.95,140,2,2.612
-19,-3,1,0.95,140,1,2.085
-22,-231,2,0.95,140,1,2.283
91,235,1,0.95,140,2,1.78
321,-100,2,0.95,140,2,0.202
-190,-101,1,0.95,140,1,0.459
258,215,2,0.95,140,2,0.422
68,-82,2,0.95,140,2,0.858
-4,-48,1,0.95,140,2,4.479
150,219,2,0.95,140,2,0.395
-263,-16,1,0.95,140,1,0.126
-96,109,2,0.95,140,1,0.552
59,-26,1,0.95,140,2,1.486
192,114,2,0.95,140,2,2.25
-55,98,1,0.95,140,2,2.278
88,42,2,0.95,140,2,0.267
1,68,1,0.95,140,2,0.421
147,19,2,0.95,140,2,3.882
-118,-96,1,0.95,140,1,0.478
344,32,2,0.95,140,2,1.225
-94,74,1,0.95,140,1,0.237
179,-31,2,0.95,140,2,0.032
14,-14,1,0.95,140,1,0.497
-99,72,2,0.95,140,1,0.134
-10,66,1,0.95,140,2,0.263
-42,112,2,0.95,140,1,0.078
-98,153,1,0.95,140,1,0.346
320,278,2,0.95,140,2,0.481
-267,-85,1,0.95,140,1,0.112
-40,98,2,0.95,140,1,0.51
-1,161,1,0.95,140,2,2.04
184,-204,2,0.95,140,2,0.625
-17,19,1,0.95,140,2,0.71
57,213,2,0.95,140,2,0.235
-159,106,1,0.95,140,1,0.74
44,-80,2,0.95,140,2,0.073
5,-87,1,0.95,140,2,0.412
191,-185,2,0.95,140,2,0.773
-22,-107,1,0.95,140,1,0.413
142,-166,2,0.95,140,2,0.583
-74,152,1,0.95,140,1,0.811
55,217,2,0.95,140,2,0.818
-205,58,1,0.95,140,1,0.302
-5,61,2,0.95,140,2,1.146
146,-101,1,0.95,140,2,0.584
59,-178,2,0.95,140,2,0.329
-42,100,1,0.95,140,1,0.44
160,-259,2,0.95,140,2,0.681
-137,-193,1,0.95,140,1,0.346
-334,-34,2,0.95,140,1,0.329
18,-15,1,0.95,140,2,0.574
101,-24,2,0.95,140,2,0.054
83,317,1,0.95,140,2,1.289
437,8,2,0.95,140,2,2.318
-2,-89,1,0.95,140,1,1.563
131,-221,2,0.95,140,2,0.368
-66,-16,1,0.95,140,1,0.571
114,52,2,0.95,140,2,7.135
-129,-150,1,0.95,140,1,0.204
-125,1,2,0.95,140,1,2.447
189,112,1,0.95,140,2,0.768
1,42,2,0.95,140,2,8.285
-138,-322,2,0.95,140,1,3.268
102,47,1,0.95,140,2,0.215
-133,-31,2,0.95,140,1,1.543
-5,-122,2,0.95,140,2,6.828
-118,-271,1,0.95,140,1,1.598
-160,125,2,0.95,140,1,0.403
-358,-78,1,0.95,140,1,0.087
54,-115,2,0.95,140,2,0.538
-11,143,1,0.95,140,1,0.363
88,-166,2,0.95,140,2,0.637
-77,-47,1,0.95,140,1,0.656
119,-28,2,0.95,140,2,0.62
46,25,1,0.95,140,2,0.502
312,16,2,0.95,140,2,4.513
132,73,1,0.95,140,2,0.55
-19,101,2,0.95,140,1,0.495
91,174,1,0.95,140,2,3.284
-2,-380,2,0.95,140,1,9.459
73,202,1,0.95,140,2,1.734
195,-204,2,0.95,140,2,2.952
10,242,1,0.95,140,2,2.587
-35,-207,2,0.95,140,1,0.864
-105,56,1,0.95,140,1,0.13
27,179,1,0.95,140,2,10.384
218,275,2,0.95,140,2,1.434
-119,77,1,0.95,140,1,0.517
76,197,2,0.95,140,2,2.278
-68,-144,1,0.95,140,1,1.917
-64,-13,2,0.95,140,1,0.009
-95,116,1,0.95,140,2,2.979
-34,55,2,0.95,140,1,2.356
33,-23,1,0.95,140,2,0.679
24,-35,2,0.95,140,1,1.113
-31,306,1,0.95,140,1,11.534
179,103,2,0.95,140,2,0.444
-1,14,1,0.95,140,1,2.576
278,-136,2,0.95,140,2,0.417
-48,175,1,0.95,140,1,1
-99,1,2,0.95,140,1,0.625
-111,144,1,0.95,140,2,0.774
-127,85,2,0.95,140,2,0.239
-100,88,1,0.95,140,2,1.547
-123,2,2,0.95,140,1,2.377
-161,95,1,0.95,140,2,0.62
188,-7,2,0.95,140,1,0.424
203,-12,1,0.95,140,2,4.12
109,-126,2,0.95,140,1,0.505
-218,58,1,0.95,140,1,1.87
48,12,2,0.95,140,2,0.598
-11,32,1,0.95,140,2,0.846
115,196,2,0.95,140,1,1.851
135,77,1,0.95,140,2,1.535
38,-222,2,0.95,140,1,1.705
-293,5,1,0.95,140,2,1.537
-255,11,2,0.95,140,2,0.671
-282,99,1,0.95,140,2,2.313
148,-175,2,0.95,140,1,1.062
213,-233,1,0.95,140,2,24.339
61,16,2,0.95,140,2,0.569
-86,168,1,0.95,140,1,0.173
-97,34,1,0.95,140,1,0.973
127,-70,2,0.95,140,2,1.122
-253,74,1,0.95,140,1,1.356
-17,-123,2,0.95,140,1,0.428
-27,-4,1,0.95,140,2,0.23
114,302,2,0.95,140,2,6.468
-175,-24,1,0.95,140,1,1.673
73,138,2,0.95,140,2,0.351
-75,48,1,0.95,140,1,0.034
142,77,2,0.95,140,2,0.105
-74,52,1,0.95,140,1,0.768
129,13,2,0.95,140,2,0.704
-80,-269,1,0.95,140,1,0.823
-142,137,1,0.95,140,1,0.891
-119,-293,2,0.95,140,1,1.855
-176,11,1,0.95,140,1,1.06
72,19,2,0.95,140,2,0.819
-203,-66,1,0.95,140,1,2.105
85,27,2,0.95,140,2,2.405
47,-17,1,0.95,140,2,0.323
-8,28,2,0.95,140,2,9.836
-84,-50,1,0.95,140,1,0.331
262,17,2,0.95,140,2,0.214
-141,236,1,0.95,140,1,0.135
-1,-143,2,0.95,140,2,0.472
42,59,1,0.95,140,1,0.402
-53,-57,2,0.95,140,1,0.866
12,54,1,0.95,140,2,0.247
-14,145,2,0.95,140,1,0.971
-303,46,1,0.95,140,1,1.146
176,-15,2,0.95,140,2,1.946
-33,208,1,0.95,140,1,5.435
-122,-34,2,0.95,140,1,0.838
13,32,1,0.95,140,1,1.408
109,142,2,0.95,140,2,1.021
-149,215,1,0.05,140,1,9.062
-258,-69,1,0.05,140,1,0.232
62,-1,1,0.05,140,2,0.331
-168,-245,1,0.05,140,1,2.398
44,5,1,0.05,140,2,6.905
-29,54,1,0.05,140,1,0.074
-8,-31,1,0.05,140,1,3.934
-314,142,1,0.05,140,1,0.579
-89,102,1,0.05,140,1,0.794
-417,-74,1,0.05,140,1,0.688
163,-193,1,0.05,140,2,0.067
-227,-96,1,0.05,140,1,2.489
-179,-64,1,0.05,140,1,0.192
137,17,1,0.05,140,2,0.197
-53,-82,1,0.05,140,1,0.376
138,-161,1,0.05,140,2,0.559
-226,26,1,0.05,140,1,21.793
93,127,1,0.05,140,2,0.363
-305,23,1,0.05,140,1,1.319
-32,250,1,0.05,140,1,1.597
-152,164,1,0.05,140,1,3.153
-60,-56,1,0.05,140,1,0.616
-55,156,1,0.05,140,2,0.39
-38,-176,1,0.05,140,2,0.309
-66,228,1,0.05,140,1,0.389
-252,18,1,0.05,140,1,1.986
-164,-196,1,0.05,140,1,1.814
-60,-46,1,0.05,140,1,0.449
149,23,1,0.05,140,2,0.161
224,8,2,0.05,140,2,0.176
278,-6,2,0.05,140,2,0.034
-9,-262,2,0.05,140,2,2.658
51,138,2,0.05,140,2,0.04
-21,130,1,0.05,140,2,2.093
11,132,1,0.05,140,2,1.128
134,94,1,0.05,140,1,0.375
64,138,1,0.05,140,1,0.757
-156,3,1,0.05,140,1,5.545
30,-92,1,0.05,140,2,0.543
-258,-341,1,0.05,140,1,0.351
-110,-135,1,0.05,140,1,0.189
101,-368,1,0.05,140,2,4.244
203,84,1,0.05,140,2,1.08
69,149,1,0.05,140,2,2.066
-155,315,1,0.05,140,1,0.857
-108,-210,1,0.05,140,1,1.066
-111,-115,1,0.05,140,1,0.807
5,-147,1,0.05,140,2,2.799
-79,72,1,0.05,140,1,0.211
-95,44,1,0.05,140,1,0.177
-65,105,1,0.05,140,1,0.586
55,-37,1,0.05,140,2,0.726
112,177,1,0.05,140,2,3.218
-150,-139,1,0.05,140,1,0.188
-108,-238,1,0.05,140,1,3.42
-94,58,1,0.05,140,1,0.484
-132,270,1,0.05,140,1,0.928
5,-152,1,0.05,140,2,5.272
152,21,2,0.05,140,2,0.64
109,43,2,0.05,140,2,0.475
-27,-297,2,0.05,140,1,2.236
26,-83,2,0.05,140,2,0.136
133,-63,2,0.05,140,2,0.36
-83,84,2,0.05,140,1,0.372
157,96,2,0.05,140,2,0.284
-124,65,2,0.05,140,1,0.456
87,62,2,0.05,140,2,0.468
325,135,2,0.05,140,2,1.019
91,222,2,0.05,140,2,0.471
163,1,2,0.05,140,2,3.792
-128,-156,2,0.05,140,1,0.228
246,-66,2,0.05,140,2,0.392
285,-46,2,0.05,140,2,0.187
-147,-380,2,0.05,140,1,0.106
199,-17,2,0.05,140,2,0.162
62,-10,2,0.05,140,2,0.26
-172,-17,2,0.05,140,1,0.69
-21,162,2,0.05,140,1,0.167
65,153,2,0.05,140,2,0.28
123,150,2,0.05,140,2,0.575
107,-15,2,0.05,140,2,5.27
76,-206,2,0.05,140,2,1.732
258,240,2,0.05,140,2,2.144
146,-138,2,0.05,140,2,0.761
189,35,2,0.05,140,2,0.612
42,13,2,0.05,140,2,0.899
-45,186,1,0.05,140,2,2.193
61,176,1,0.05,140,2,8.875
-98,-45,1,0.05,140,1,0.405
-48,270,1,0.05,140,1,9.575
-93,-106,2,0.05,140,1,0.532
97,136,2,0.05,140,2,0.613
169,-111,2,0.05,140,2,0.009
-307,22,1,0.05,140,1,0.214
112,82,1,0.05,140,2,0.604
-70,358,1,0.05,140,1,0.556
150,33,1,0.05,140,2,0.184
-36,24,1,0.05,140,2,1.394
-270,-88,1,0.05,140,1,0.146
-253,128,1,0.05,140,1,0.618
-185,160,1,0.05,140,1,0.556
-127,37,1,0.05,140,1,0.405
-33,164,1,0.05,140,1,2.518
-227,274,1,0.05,140,1,0.814
82,58,2,0.05,140,2,0.051
298,39,2,0.05,140,2,0.244
-86,82,2,0.05,140,1,0.525
17,75,2,0.05,140,2,1.519
221,-66,2,0.05,140,2,0.206
22,-84,2,0.05,140,2,2.58
207,5,2,0.05,140,2,1.735
42,81,2,0.05,140,2,2.404
-87,-38,2,0.05,140,1,0.411
-17,-106,2,0.05,140,2,6.662
353,-21,2,0.05,140,2,0.73
-116,-95,1,0.05,140,1,0.343
9,-287,1,0.05,140,2,1.109
-202,-221,1,0.05,140,1,0.468
-370,146,1,0.05,140,1,0.277
37,13,1,0.05,140,2,0.567
-204,214,1,0.05,140,1,0.036
178,-87,1,0.05,140,2,0.783
-178,-4,1,0.05,140,1,1.169
-61,-100,2,0.05,140,1,0.957
227,-62,2,0.05,140,2,0.482
-89,124,2,0.05,140,1,0.795
19,30,2,0.05,140,2,0.351
53,110,2,0.05,140,2,1.059
53,52,2,0.05,140,2,0.577
82,-306,2,0.05,140,2,0.573
180,-178,2,0.05,140,2,0.688
-10,-95,2,0.05,140,2,0.14
156,-1,2,0.05,140,2,1.317
305,-24,2,0.05,140,2,0.224
315,231,2,0.05,140,2,0.008
-132,-33,2,0.05,140,1,1.807
17,171,2,0.05,140,2,22.379
163,5,2,0.05,140,2,0.521
303,-225,2,0.05,140,2,0.766
124,122,2,0.05,140,2,0.592
3,125,1,0.05,140,1,0.641
-118,16,1,0.05,140,1,0.396
-35,-103,1,0.05,140,1,0.928
227,51,2,0.05,140,2,0.055
-44,28,2,0.05,140,1,0.007
57,-221,2,0.05,140,2,0.577
61,-4,2,0.05,140,2,1.696
225,-214,2,0.05,140,2,0.67
-40,150,2,0.05,140,2,1.4
208,113,2,0.05,140,2,1.033
-58,5,2,0.05,140,1,0.135
128,226,2,0.05,140,2,25.956
183,-35,2,0.05,140,2,1.098
5,227,2,0.05,140,2,4.541
347,97,2,0.05,140,2,4.581
-2,-156,2,0.05,140,1,0.386
53,-84,2,0.05,140,2,0.569
117,-29,2,0.05,140,2,0.15
-12,-115,2,0.05,140,1,0.075
97,42,2,0.05,140,2,0.424
132,122,2,0.05,140,2,0.564
-235,108,1,0.05,140,1,2.819
184,-54,1,0.05,140,2,0.023
30,55,1,0.05,140,1,0.177
-15,38,1,0.05,140,1,0.052
425,-32,1,0.05,140,2,0.056
-80,-55,1,0.05,140,1,0.493
80,-339,1,0.05,140,2,0.276
-84,-77,1,0.05,140,1,0.34
-94,-74,1,0.05,140,1,0.587
-81,-40,1,0.05,140,1,0.312
-97,-7,1,0.05,140,1,5.208
108,-24,1,0.05,140,2,0.848
49,123,1,0.05,140,2,0.552
101,-103,1,0.05,140,2,0.077
-152,158,1,0.05,140,1,0.021
-171,213,1,0.05,140,1,0.372
79,-258,1,0.05,140,2,0.502
62,-17,1,0.05,140,2,0.156
-252,-106,1,0.05,140,1,0.218
-272,172,1,0.05,140,1,5.523
-345,-219,1,0.05,140,1,7.638
-220,-380,1,0.05,140,1,0.313
-80,-304,1,0.05,140,1,0.481
-228,-313,1,0.05,140,1,0.24
-27,326,1,0.05,140,1,1.734
-302,7,1,0.05,140,1,0.327
82,-34,2,0.05,140,2,0.11
93,-225,2,0.05,140,2,0.986
26,167,2,0.05,140,2,0.487
-211,-28,2,0.05,140,1,0.279
223,-196,2,0.05,140,2,0.301
-55,-93,2,0.05,140,1,0.78
67,-97,2,0.05,140,2,0.267
93,-162,2,0.05,140,2,0.974
183,-190,2,0.05,140,2,0.169
260,-148,2,0.05,140,2,0.449
-43,-1,2,0.05,140,2,0.421
-117,128,2,0.05,140,1,0.081
75,-77,2,0.05,140,2,0.736
-50,156,1,0.2,140,2,1.333
213,187,2,0.2,140,2,0.8
-91,-86,2,0.2,140,1,0.429
-14,58,2,0.2,140,2,0.238
-27,53,2,0.2,140,2,1.593
55,-121,2,0.2,140,2,1.128
118,131,2,0.2,140,2,1.637
-98,165,2,0.2,140,1,0.022
63,-148,2,0.2,140,2,0.497
169,303,2,0.2,140,2,0.393
64,-149,2,0.2,140,2,0.609
-5,31,2,0.2,140,2,1.389
53,86,2,0.2,140,2,0.595
251,-42,2,0.2,140,2,0.16
-60,-239,2,0.2,140,1,0.797
-194,-114,1,0.2,140,1,0.468
143,-102,2,0.2,140,2,0.64
203,154,2,0.2,140,2,0.5
60,-143,2,0.2,140,2,0.573
109,63,2,0.2,140,2,0.332
-20,183,2,0.2,140,2,1.008
20,22,2,0.2,140,2,0.23
-76,35,2,0.2,140,1,1.344
-27,-130,2,0.2,140,2,0.777
292,-79,2,0.2,140,2,0.153
45,165,2,0.2,140,2,0.309
-148,24,2,0.2,140,1,0.802
97,-25,2,0.2,140,2,0.748
-29,160,1,0.2,140,2,0.059
117,61,2,0.2,140,2,0.144
-121,38,2,0.2,140,1,0.925
276,-58,2,0.2,140,2,0.714
144,115,2,0.2,140,2,0.527
167,9,2,0.2,140,2,0.232
-146,-132,2,0.2,140,1,1.334
150,-53,2,0.2,140,2,0.145
217,15,2,0.2,140,2,0.509
-69,49,1,0.2,140,1,0.545
84,186,1,0.2,140,2,1.328
-229,-14,1,0.2,140,1,0.149
-98,-127,1,0.2,140,1,0.078
307,-51,2,0.2,140,2,0.184
66,-235,2,0.2,140,2,0.081
-59,-149,1,0.2,140,1,0.589
-132,54,1,0.2,140,1,0.636
-103,74,1,0.2,140,1,1.74
16,-25,2,0.2,140,2,0.039
94,91,2,0.2,140,2,0.831
253,220,2,0.2,140,2,0.245
-227,78,2,0.2,140,1,0.479
63,-208,1,0.2,140,2,0.263
108,-67,2,0.2,140,2,0.414
148,-88,2,0.2,140,2,0.46
-94,134,2,0.2,140,2,1.676
-158,-114,2,0.2,140,1,0.179
-158,33,2,0.2,140,1,0.276
148,-51,2,0.2,140,2,0.243
127,288,2,0.2,140,1,0.599
111,175,2,0.2,140,2,0.041
-105,43,1,0.2,140,1,0.172
89,-54,1,0.2,140,2,0.036
-28,52,1,0.2,140,2,0.394
-123,-85,1,0.2,140,1,0.492
66,289,2,0.2,140,2,0.422
2,186,2,0.2,140,2,0.128
116,112,2,0.2,140,2,0.593
166,-57,2,0.2,140,2,0.868
155,-216,2,0.2,140,2,0.699
113,110,2,0.2,140,2,0.418
65,184,2,0.2,140,2,0.585
125,-21,2,0.2,140,2,0.779
5,121,1,0.2,140,2,0.268
-64,-32,2,0.2,140,1,1.31
-36,93,2,0.2,140,2,0.885
-17,-115,2,0.2,140,2,0.181
-36,8,2,0.2,140,2,0.34
-17,-159,2,0.2,140,2,0.853
139,-26,2,0.2,140,2,0.008
-76,9,2,0.2,140,2,0.608
-30,32,1,0.2,140,2,0.146
-186,-64,1,0.2,140,1,0.432
1,-112,2,0.2,140,2,0.07
-49,310,2,0.2,140,2,0.838
-25,37,2,0.2,140,2,0.073
-174,-71,1,0.2,140,1,0.345
-22,112,1,0.2,140,1,1.394
-5,-18,1,0.2,140,2,0.644
-194,104,1,0.2,140,1,0.326
-25,77,2,0.2,140,2,0.526
179,117,2,0.2,140,2,0.631
46,57,2,0.2,140,2,0.524
38,-74,2,0.2,140,2,0.066
-21,108,2,0.2,140,1,0.193
-170,7,2,0.2,140,1,0.37
-70,36,2,0.2,140,1,1.624
148,-185,2,0.2,140,2,0.176
13,29,2,0.2,140,2,0.222
393,-42,2,0.2,140,2,3.05
47,-27,2,0.2,140,1,0.248
87,91,2,0.2,140,2,0.275
114,138,2,0.2,140,2,0.313
-13,107,1,0.2,140,1,0.042
-81,90,1,0.2,140,1,0.033
-113,31,1,0.2,140,1,0.442
-263,85,1,0.2,140,1,0.701
