egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-42,-36,1,0.05,33,1,0.081
-125,9,1,0.05,33,1,0.142
-21,-19,1,0.05,33,1,0.417
-89,-80,1,0.05,33,1,0.23
-104,42,1,0.05,33,1,0.071
-78,-22,1,0.05,33,1,0.269
54,49,2,0.05,33,2,0.122
61,-15,2,0.05,33,2,0.199
147,73,2,0.05,33,2,0.124
88,33,2,0.05,33,2,0.477
124,24,2,0.05,33,2,0.519
114,-31,2,0.05,33,2,0.633
54,-41,2,0.05,33,2,0.522
28,30,2,0.05,33,2,0.013
-103,-5,1,0.05,33,1,0.443
-167,-8,1,0.05,33,1,0.155
-98,-58,1,0.05,33,1,0.339
-81,31,1,0.05,33,1,0.197
-52,1,1,0.05,33,1,0.076
-66,-29,1,0.05,33,1,0.413
-132,-27,1,0.05,33,1,0.501
-56,-13,1,0.05,33,1,0.042
-75,11,1,0.05,33,1,0.466
-61,79,1,0.05,33,1,0.474
-1,32,1,0.05,33,2,0.419
41,-43,2,0.05,33,2,0.372
49,58,2,0.05,33,2,0
110,1,2,0.05,33,2,0.154
133,29,2,0.05,33,2,0.255
110,49,2,0.05,33,2,0.12
101,-25,2,0.05,33,2,0.543
31,10,2,0.05,33,2,0.003
102,47,2,0.05,33,2,0.345
67,2,2,0.05,33,2,0.499
82,-40,2,0.05,33,2,0.45
48,15,2,0.05,33,2,0.13
39,38,2,0.05,33,2,0.099
109,-70,2,0.05,33,2,0
71,-13,2,0.05,33,2,0.014
22,-28,2,0.05,33,2,0.066
52,41,2,0.05,33,2,0.228
102,55,2,0.05,33,2,0.086
39,-10,2,0.05,33,2,0.185
35,-24,2,0.05,33,2,0.242
80,69,2,0.05,33,2,0.063
33,38,2,0.05,33,2,0.007
114,6,2,0.05,33,2,0.386
109,-11,2,0.05,33,2,0.234
-120,-36,1,0.05,33,1,0.053
-88,13,1,0.05,33,1,0.028
-140,21,1,0.05,33,1,0.4
11,24,1,0.05,33,2,0.354
-74,-1,1,0.05,33,1,0.096
-136,6,1,0.05,33,1,0.048
-128,14,1,0.05,33,1,0.363
-34,-14,1,0.05,33,1,0.024
-58,-24,1,0.05,33,1,0.064
-66,33,1,0.05,33,1,0.505
-86,-45,1,0.05,33,1,0.27
-142,65,1,0.05,33,1,0.263
-93,-9,1,0.05,33,1,0.647
-50,4,1,0.05,33,1,0.248
-84,53,1,0.05,33,1,0.261
-59,27,1,0.05,33,1,0.118
56,16,2,0.05,33,2,0.047
39,-33,2,0.05,33,2,0.473
86,-25,2,0.05,33,2,0.257
86,25,2,0.05,33,2,0.167
135,-18,2,0.05,33,2,0.176
63,50,2,0.05,33,2,2.414
79,-27,2,0.05,33,2,0.362
86,42,2,0.05,33,2,10.706
68,18,2,0.05,33,2,0.288
126,15,2,0.05,33,2,0.469
80,-8,2,0.05,33,2,0.272
84,8,2,0.05,33,2,0.112
13,-47,2,0.05,33,2,0.468
81,-34,2,0.05,33,2,0.395
57,18,2,0.05,33,2,0.452
70,45,2,0.05,33,2,0.086
-81,1,1,0.05,33,1,0.346
-52,4,1,0.05,33,1,0.419
-105,22,1,0.05,33,1,0.085
-111,50,1,0.05,33,1,0.032
-84,3,1,0.05,33,1,0.195
-77,-35,1,0.05,33,1,0.015
-73,-24,1,0.05,33,1,0.133
-26,13,1,0.05,33,1,0.072
-95,10,1,0.05,33,1,0.544
-70,-13,1,0.05,33,1,0.473
-27,3,1,0.05,33,1,0.433
-87,46,1,0.05,33,1,0.023
-159,-18,1,0.05,33,1,0.214
43,-18,2,0.05,33,2,0.113
88,-12,2,0.05,33,2,0.255
74,6,2,0.05,33,2,0.04
71,7,2,0.05,33,2,0.161
-32,7,2,0.05,33,1,0.024
71,-9,2,0.05,33,2,0.055
68,-11,2,0.05,33,2,0.183
55,23,2,0.05,33,2,0.316
98,73,2,0.05,33,2,0.271
68,1,2,0.05,33,2,0.141
45,-3,2,0.05,33,2,0.95
84,-3,2,0.05,33,2,0.335
94,19,2,0.05,33,2,0.508
28,-9,2,0.05,33,2,0.149
128,-22,2,0.05,33,2,0.524
87,30,2,0.05,33,2,0.122
75,-25,2,0.05,33,2,0.395
57,-41,2,0.05,33,2,0.327
63,-8,2,0.05,33,2,0.026
28,32,2,0.05,33,2,0.173
30,-29,2,0.05,33,2,0.638
79,-41,2,0.05,33,2,0.427
100,-53,2,0.05,33,2,0.374
77,-8,2,0.05,33,2,0.104
61,11,2,0.05,33,2,0.309
69,34,2,0.05,33,2,14.274
68,20,2,0.05,33,2,0.555
84,10,2,0.05,33,2,0.018
43,8,2,0.05,33,2,0.347
64,14,2,0.05,33,2,0.017
4,21,2,0.05,33,2,0.196
87,-48,2,0.05,33,2,2.421
103,61,2,0.05,33,2,0.036
19,-23,2,0.05,33,2,0.202
72,25,2,0.05,33,2,0.394
79,19,2,0.05,33,2,0.172
173,1,2,0.05,33,2,0.309
70,1,2,0.05,33,2,0.353
56,-4,2,0.05,33,2,0.332
63,33,2,0.05,33,2,0.187
84,21,2,0.05,33,2,0.418
89,40,2,0.05,33,2,0.232
31,-40,2,0.05,33,2,0.351
55,46,2,0.05,33,2,0.301
53,-44,2,0.05,33,2,0.077
-122,42,1,0.05,33,1,0.064
-97,-29,1,0.05,33,1,0.06
-114,-41,1,0.05,33,1,0.219
-90,-50,1,0.05,33,1,0.807
-98,-12,1,0.05,33,1,0.428
-34,-55,1,0.05,33,1,0.398
-66,-44,1,0.05,33,1,0.342
-53,-35,1,0.05,33,1,0.342
-104,32,1,0.05,33,1,0.333
-52,-63,1,0.05,33,1,0.195
-61,62,1,0.05,33,1,0.255
-48,5,1,0.05,33,1,0.545
-102,25,1,0.05,33,1,0.742
-55,-22,1,0.05,33,1,0.129
-32,-5,1,0.05,33,1,0.411
-50,-23,1,0.05,33,1,0.288
-79,11,1,0.05,33,1,0.306
-53,39,1,0.05,33,1,0.402
