egg_x,egg_y,correct_choice,H_true,sigma,prediction,reaction_time
-42,-36,1,0.05,33,1,1.872
-125,9,1,0.05,33,1,0.658
-21,-19,1,0.05,33,1,0.064
-89,-80,1,0.05,33,1,0.157
-104,42,1,0.05,33,1,0.07
-78,-22,1,0.05,33,1,0.577
54,49,2,0.05,33,2,0.217
61,-15,2,0.05,33,2,0.081
147,73,2,0.05,33,2,0.119
124,24,2,0.05,33,2,0.208
114,-31,2,0.05,33,2,0.279
54,-41,2,0.05,33,2,0.159
28,30,2,0.05,33,2,0.208
-103,-5,1,0.05,33,1,0.018
-167,-8,1,0.05,33,1,0.239
-98,-58,1,0.05,33,1,0.198
-81,31,1,0.05,33,1,0.115
-52,1,1,0.05,33,1,0.453
-66,-29,1,0.05,33,1,0.242
-132,-27,1,0.05,33,1,0.107
-56,-13,1,0.05,33,1,0.2
-75,11,1,0.05,33,1,0.201
-61,79,1,0.05,33,1,0.179
-1,32,1,0.05,33,2,0.237
41,-43,2,0.05,33,2,0.065
49,58,2,0.05,33,2,0.153
110,1,2,0.05,33,2,0.118
133,29,2,0.05,33,2,0.102
110,49,2,0.05,33,2,0.157
101,-25,2,0.05,33,2,0.283
31,10,2,0.05,33,2,0.349
102,47,2,0.05,33,2,0.147
67,2,2,0.05,33,2,0.063
82,-40,2,0.05,33,2,0.018
48,15,2,0.05,33,2,0.13
39,38,2,0.05,33,2,0.254
109,-70,2,0.05,33,2,0.32
71,-13,2,0.05,33,2,0.09
22,-28,2,0.05,33,2,0.63
52,41,2,0.05,33,2,0.064
102,55,2,0.05,33,2,0.031
39,-10,2,0.05,33,2,0.136
35,-24,2,0.05,33,2,0.099
80,69,2,0.05,33,2,0.196
33,38,2,0.05,33,2,0.141
114,6,2,0.05,33,2,0.041
109,-11,2,0.05,33,2,0.018
-120,-36,1,0.05,33,2,0.49
-88,13,1,0.05,33,1,0.007
-140,21,1,0.05,33,1,0.203
11,24,1,0.05,33,2,0.152
-74,-1,1,0.05,33,1,0.24
-136,6,1,0.05,33,1,0.097
-128,14,1,0.05,33,1,0.675
-34,-14,1,0.05,33,1,0.11
-58,-24,1,0.05,33,1,0.054
-66,33,1,0.05,33,1,0.201
-86,-45,1,0.05,33,1,0.119
-142,65,1,0.05,33,1,0.142
-93,-9,1,0.05,33,1,0.105
-50,4,1,0.05,33,1,0.415
-84,53,1,0.05,33,1,0.112
-59,27,1,0.05,33,1,0.234
56,16,2,0.05,33,2,0.05
39,-33,2,0.05,33,2,0.435
86,-25,2,0.05,33,2,0.102
86,25,2,0.05,33,2,0.058
135,-18,2,0.05,33,2,0.06
63,50,2,0.05,33,2,0.01
79,-27,2,0.05,33,2,0.05
86,42,2,0.05,33,2,0.03
68,18,2,0.05,33,2,0.207
126,15,2,0.05,33,2,0.096
80,-8,2,0.05,33,2,0.206
84,8,2,0.05,33,2,0.116
13,-47,2,0.05,33,2,0.22
81,-34,2,0.05,33,2,0.101
57,18,2,0.05,33,2,0.192
70,45,2,0.05,33,2,0.033
-81,1,1,0.05,33,2,0.28
-52,4,1,0.05,33,1,0.178
-105,22,1,0.05,33,1,0.001
-111,50,1,0.05,33,1,0.171
-84,3,1,0.05,33,1,0.116
-77,-35,1,0.05,33,1,0.092
-73,-24,1,0.05,33,1,0.123
-26,13,1,0.05,33,1,0.199
-95,10,1,0.05,33,1,0.161
-70,-13,1,0.05,33,1,0.233
-27,3,1,0.05,33,1,0.122
-87,46,1,0.05,33,1,0.119
-159,-18,1,0.05,33,1,0.189
43,-18,2,0.05,33,2,0.326
88,-12,2,0.05,33,2,0.796
74,6,2,0.05,33,2,0.305
71,7,2,0.05,33,2,0.298
-32,7,2,0.05,33,1,0.324
71,-9,2,0.05,33,2,0.087
68,-11,2,0.05,33,2,0.13
55,23,2,0.05,33,2,0.216
98,73,2,0.05,33,2,0.145
68,1,2,0.05,33,2,0.017
45,-3,2,0.05,33,2,0.338
84,-3,2,0.05,33,2,0.158
94,19,2,0.05,33,2,0.007
28,-9,2,0.05,33,2,0.164
128,-22,2,0.05,33,2,0.09
87,30,2,0.05,33,2,0.013
75,-25,2,0.05,33,2,0.114
57,-41,2,0.05,33,2,0.077
63,-8,2,0.05,33,2,0.191
28,32,2,0.05,33,2,0.162
30,-29,2,0.05,33,2,0.136
79,-41,2,0.05,33,2,0.024
100,-53,2,0.05,33,2,0.245
77,-8,2,0.05,33,2,0.103
61,11,2,0.05,33,2,0.024
69,34,2,0.05,33,2,0.205
68,20,2,0.05,33,2,0.453
84,10,2,0.05,33,2,0.175
43,8,2,0.05,33,2,0.106
64,14,2,0.05,33,2,0.155
4,21,2,0.05,33,2,0.179
87,-48,2,0.05,33,2,0.05
103,61,2,0.05,33,2,0.15
19,-23,2,0.05,33,2,0.217
72,25,2,0.05,33,2,0.041
79,19,2,0.05,33,2,0.192
173,1,2,0.05,33,2,0.232
70,1,2,0.05,33,2,0.091
56,-4,2,0.05,33,2,0.223
63,33,2,0.05,33,2,0.056
84,21,2,0.05,33,2,2.209
89,40,2,0.05,33,2,0.077
31,-40,2,0.05,33,2,0.143
55,46,2,0.05,33,2,0.15
53,-44,2,0.05,33,2,0.184
-122,42,1,0.05,33,2,0.107
-97,-29,1,0.05,33,1,0.022
-114,-41,1,0.05,33,1,0.166
-90,-50,1,0.05,33,1,0.15
-98,-12,1,0.05,33,1,0.193
-34,-55,1,0.05,33,1,0.097
-66,-44,1,0.05,33,1,0.096
-53,-35,1,0.05,33,1,0.263
-104,32,1,0.05,33,1,0.164
-52,-63,1,0.05,33,1,0.236
-61,62,1,0.05,33,1,0.173
-48,5,1,0.05,33,1,0.101
-102,25,1,0.05,33,1,0.106
-55,-22,1,0.05,33,1,0.181
-32,-5,1,0.05,33,1,0.168
-50,-23,1,0.05,33,1,0
-79,11,1,0.05,33,1,0.02
-53,39,1,0.05,33,1,0.06
-54,-33,1,0.05,33,1,0.087
-79,45,1,0.05,33,1,0.057
-97,-8,1,0.05,33,1,0.226
-52,1,1,0.05,33,1,0.161
-119,-27,1,0.05,33,1,3.012
-121,-12,1,0.05,33,1,1.247
-89,17,1,0.05,33,1,1.3
-87,-58,1,0.05,33,1,0.405
-60,-6,1,0.05,33,1,0.583
-13,-5,1,0.05,33,1,1.754
-77,-17,1,0.05,33,1,0.979
-84,-3,1,0.05,33,1,0.217
-57,5,1,0.05,33,1,0.57
-127,44,1,0.05,33,1,0.176
-90,-17,1,0.05,33,1,0.632
-87,31,1,0.05,33,1,0.737
-72,-63,1,0.05,33,1,0.112
-69,-1,1,0.05,33,1,0.602
-18,-34,1,0.05,33,1,0.111
-81,-11,1,0.05,33,1,0.83
-106,-30,1,0.05,33,1,0.74
-88,-40,1,0.05,33,1,0.625
-7,-32,1,0.05,33,1,0.686
-112,-62,1,0.05,33,1,0.616
-53,-13,1,0.05,33,1,0.227
-53,-14,1,0.05,33,1,0.095
-73,-33,1,0.05,33,1,0.512
-107,58,1,0.05,33,1,0.277
