subID,N,sigma,H_true,H_subj,H_subj_EST,noise_in_DV,lapse_rate,pct
sim050030050000,50,30,0.05,0,0.000149984690217627,3.30112968955255,0.300842439860858,68
sim050030050500,50,30,0.05,0.05,0.235991081129017,0.103918273605705,0.0200000056689638,98
sim050030051000,50,30,0.05,0.1,0.36625682888735,0.183712285470016,0.0399999999011277,96
sim050030051500,50,30,0.05,0.15,0.00191066529728425,3.91117881913789,1.11444397171964e-07,98
sim050030052000,50,30,0.05,0.2,0.231487478113636,0.111141664024247,0.120000005217766,86
sim050030052500,50,30,0.05,0.25,0.345977412952609,0.172874006960945,0.0200000112496862,98
sim050030053000,50,30,0.05,0.3,0.330739665382594,0.174445502615316,0.0400000047492245,96
sim050030053500,50,30,0.05,0.35,0.327774005867425,0.166484935264883,0.0599999970466992,94
sim050030054000,50,30,0.05,0.4,0.46981777389322,0.0844100594525726,1.39999992922005e-07,100
sim050030054500,50,30,0.05,0.45,0.25392036716843,0.110955043516368,0.019999993871235,98
sim050030055000,50,30,0.05,0.5,0.549382339079291,5.68206718635752,0.499999997515597,32
sim050030055500,50,30,0.05,0.55,0.529227023885824,6.00050604133304,0.499999325744883,6
sim050030056000,50,30,0.05,0.6,0.57279991567472,6.35025926158943,0.499999993570326,8
sim050030056500,50,30,0.05,0.65,0.531198774700951,3.08062734147585,0.499999994683802,8
sim050030057000,50,30,0.05,0.7,0.497286073155465,5.8842297185868,0.499999998673377,12
sim050030057500,50,30,0.05,0.75,0.566001721279922,1.92985953676027,0.49999999976117,6
sim050030058000,50,30,0.05,0.8,0.510713437871245,5.95950052097385,0.499999336898418,10
sim050030058500,50,30,0.05,0.85,0.530667174061436,6.03319678958937,0.499999969157091,12
sim050030059000,50,30,0.05,0.9,0.504265783431354,5.93380246411778,0.499999992361388,16
sim050030059500,50,30,0.05,0.95,0.518868327909292,6.26782489373299,0.499999993926729,8
sim0500300510000,50,30,0.05,1,0.998666303802881,6.35555250424372,0.425536336205,52
sim050030950000,50,30,0.95,0,0.551550998887634,5.15995181229216,0.499999726935078,48
sim050030950500,50,30,0.95,0.05,0.472889533850373,6.03502702711066,0.499997446336412,6
sim050030951000,50,30,0.95,0.1,0.510790837725938,5.39732128601366,0.499999333194621,10
sim050030951500,50,30,0.95,0.15,0.497319065877082,5.87922742012257,0.499999977256655,2
sim050030952000,50,30,0.95,0.2,0.478718685134068,5.67520577542848,0.499999994742106,8
sim050030952500,50,30,0.95,0.25,0.48631272926898,2.60267553591553,0.499999994539128,10
sim050030953000,50,30,0.95,0.3,0.476629933071733,5.80937312310649,0.499999859945533,14
sim050030953500,50,30,0.95,0.35,0.49523675243349,2.20788778349066,0.499999995671045,2
sim050030954000,50,30,0.95,0.4,0.475926681533443,5.86540274173828,0.49999939356214,8
sim050030954500,50,30,0.95,0.45,0.478725221938066,6.06829939044367,0.499999876358315,2
sim050030955000,50,30,0.95,0.5,0.119678883192402,0.0448653247670193,0.259999996660186,72
sim050030955500,50,30,0.95,0.55,0.999996223817443,6.40134913903172,7.27480659686305e-07,94
sim050030956000,50,30,0.95,0.6,0.999999997698725,3.32708605695943,0.0932049115138469,92
sim050030956500,50,30,0.95,0.65,0.602181913749701,0.186603126214902,0.0600000029106417,94
sim050030957000,50,30,0.95,0.7,0.999999997968153,0.185127808177983,0.041681374425914,92
sim050030957500,50,30,0.95,0.75,0.999999608950056,4.97321803551243,8.0247016768079e-07,96
sim050030958000,50,30,0.95,0.8,0.658247267941035,0.186832761757855,0.0600000238003107,94
sim050030958500,50,30,0.95,0.85,0.766530977492302,0.118645229470212,0.0599999955364597,94
sim050030959000,50,30,0.95,0.9,0.99999997327057,3.55038568328519,0.0971635272412853,92
sim050030959500,50,30,0.95,0.95,0.950000093614334,0.0598519498693725,0.040000005551817,94
sim0500309510000,50,30,0.95,1,0.921004826339104,9.99999401516479,0.0211976740473441,78
sim050110050000,50,110,0.05,0,4.80652589867656e-10,9.99455203018311,0.0402101991131042,58
sim050110050500,50,110,0.05,0.05,0.0525211326798251,0.952364580093315,1.37056998357195e-07,82
