id,t,pattern
A10NF5TK6IFNX6,T1,1
A10NF5TK6IFNX6,T2,1
A13XXMDHOULEZ7,T1,4
A13XXMDHOULEZ7,T2,4
A14A8J5H98KLO6,T1,3
A14A8J5H98KLO6,T2,3
A18LFH7XW61JO9,T1,4
A18LFH7XW61JO9,T2,4
A18MC27WTCEBA2,T1,1
A18MC27WTCEBA2,T2,1
A194R45ACMQEOR,T1,1
A194R45ACMQEOR,T2,1
A1A1A9UHNQCI9Y,T1,4
A1A1A9UHNQCI9Y,T2,4
A1DJDT4B5B19Q2,T1,1
A1DJDT4B5B19Q2,T2,2
A1DVKS3R9SLQ1H,T1,1
A1DVKS3R9SLQ1H,T2,2
A1E1XXSCJHEA3T,T1,4
A1E1XXSCJHEA3T,T2,4
A1HQL1FCG3DL81,T1,4
A1HQL1FCG3DL81,T2,4
A1IU5OP7BBZHZ7,T1,1
A1IU5OP7BBZHZ7,T2,1
A1IXQS0AB02CPA,T1,1
A1IXQS0AB02CPA,T2,3
A1IZ4NX41GKU4X,T1,1
A1IZ4NX41GKU4X,T2,1
A1JKSAQ8UNCE7B,T1,1
A1JKSAQ8UNCE7B,T2,1
A1KFIQBETMB81I,T1,3
A1KFIQBETMB81I,T2,3
A1LJKHC0NH9TIX,T1,1
A1LJKHC0NH9TIX,T2,1
A1MIR0TP081SKT,T1,1
A1MIR0TP081SKT,T2,1
A1NF6PELRKACS9,T1,2
A1NF6PELRKACS9,T2,2
A1NGXQMOBCXDC3,T1,3
A1NGXQMOBCXDC3,T2,3
A1PAR1TMKFPKQE,T1,4
A1PAR1TMKFPKQE,T2,4
A1S34BUFNQ33SQ,T1,4
A1S34BUFNQ33SQ,T2,4
A1STU8IA7S3WOK,T1,1
A1STU8IA7S3WOK,T2,1
A1TYDVHEFPZC86,T1,2
A1TYDVHEFPZC86,T2,2
A1U0GNE5ELW5V7,T1,4
A1U0GNE5ELW5V7,T2,4
A1VIP6S8H2XXH7,T1,3
A1VIP6S8H2XXH7,T2,3
A1X0H6VAK3AQE9,T1,4
A1X0H6VAK3AQE9,T2,4
A1XC5OV00MECKQ,T1,1
A1XC5OV00MECKQ,T2,1
A1XO6ONCCTBMKW,T1,1
A1XO6ONCCTBMKW,T2,1
A20NITCOBY4775,T1,1
A20NITCOBY4775,T2,3
A21SF3IKIZB0VN,T1,1
A21SF3IKIZB0VN,T2,1
A2235F2T52E49T,T1,4
A2235F2T52E49T,T2,4
A22KRF782ELLB0,T1,4
A22KRF782ELLB0,T2,4
A2581F7TDPAMBQ,T1,3
A2581F7TDPAMBQ,T2,3
A26D2ZZKJW7BXR,T1,1
A26D2ZZKJW7BXR,T2,1
A26GF078IX9A43,T1,3
A26GF078IX9A43,T2,3
A26V8QMPU25JGC,T1,4
A26V8QMPU25JGC,T2,4
A26ZENZ5G8AEGM,T1,3
A26ZENZ5G8AEGM,T2,3
A272A0JGRTBFCR,T1,1
A272A0JGRTBFCR,T2,2
A28P3ZGZB3XG9P,T1,3
A28P3ZGZB3XG9P,T2,3
A28PS7TGEQCFT4,T1,1
A28PS7TGEQCFT4,T2,3
A2BNOEYZ3VRW2R,T1,1
A2BNOEYZ3VRW2R,T2,1
A2EO6IBGQEOMLB,T1,3
A2EO6IBGQEOMLB,T2,3
A2FZE7CARM54IG,T1,2
A2FZE7CARM54IG,T2,2
A2GM5BW75YCKKW,T1,3
A2GM5BW75YCKKW,T2,3
A2IPSQ0YYH2A41,T1,2
A2IPSQ0YYH2A41,T2,2
A2K7AVZWEC9B14,T1,2
A2K7AVZWEC9B14,T2,2
A2KLDW5VRXUJ8S,T1,2
A2KLDW5VRXUJ8S,T2,2
A2KXARDIOGJL8T,T1,2
A2KXARDIOGJL8T,T2,2
A2OAZPREKF6PQR,T1,2
A2OAZPREKF6PQR,T2,2
A2R8IV2PWFTY00,T1,3
A2R8IV2PWFTY00,T2,3
A2RR3R75ECQSKE,T1,1
A2RR3R75ECQSKE,T2,1
A2SKH7WZUEDGGI,T1,1
A2SKH7WZUEDGGI,T2,2
A2SYRFPPV9WDEG,T1,3
A2SYRFPPV9WDEG,T2,3
A2T1K94BLNDBAH,T1,2
A2T1K94BLNDBAH,T2,2
A2T91F321UGZBX,T1,2
A2T91F321UGZBX,T2,2
A2TC1ZFCTOCDA5,T1,1
A2TC1ZFCTOCDA5,T2,1
A2TT6FAIWFD25N,T1,2
A2TT6FAIWFD25N,T2,2
A2VX8B1CJXRN2,T1,2
A2VX8B1CJXRN2,T2,2
A2XWD4PZM6JU0M,T1,4
A2XWD4PZM6JU0M,T2,4
A2YLF04UAKYVF1,T1,1
A2YLF04UAKYVF1,T2,1
A30RAYNDOWQ61S,T1,4
A30RAYNDOWQ61S,T2,4
A31YZ8JR422KFR,T1,2
A31YZ8JR422KFR,T2,2
A37M4OVE9R80G,T1,1
A37M4OVE9R80G,T2,1
A37Y5CTJ8HCQER,T1,2
A37Y5CTJ8HCQER,T2,2
A39C1BN9ZSQ0R2,T1,4
A39C1BN9ZSQ0R2,T2,4
A3EGOFTCKJYGW,T1,2
A3EGOFTCKJYGW,T2,2
A3EQ6C5226X6XN,T1,1
A3EQ6C5226X6XN,T2,1
A3G0Q633CHZ92L,T1,4
A3G0Q633CHZ92L,T2,4
A3G9XIQD7RFDEK,T1,2
A3G9XIQD7RFDEK,T2,2
A3HTLXAPOBCVVO,T1,4
A3HTLXAPOBCVVO,T2,4
A3IHLWMZNBLUR4,T1,3
A3IHLWMZNBLUR4,T2,3
A3KCWV8TW3Q71L,T1,3
A3KCWV8TW3Q71L,T2,3
A3N21HBZFYFEXJ,T1,1
A3N21HBZFYFEXJ,T2,1
A3N5P5VO81FIJ6,T1,2
A3N5P5VO81FIJ6,T2,2
A3O6D3HPXD0H8I,T1,1
A3O6D3HPXD0H8I,T2,2
A3OLRWACCCCUTU,T1,1
A3OLRWACCCCUTU,T2,1
A3OOD9IMOHPPFQ,T1,4
A3OOD9IMOHPPFQ,T2,4
A4T7PYGN1BE2P,T1,1
'A4T7PYGN1BE2P',T2,1
A5AGL4DPWPK5B,T1,1
A5AGL4DPWPK5B,T2,1
A8TIL9U6YHG5,T1,1
A8TIL9U6YHG5,T2,2
A9MYC5IGQ2DO4,T1,1
A9MYC5IGQ2DO4,T2,1
AAWX7QFQUNM6D,T1,3
AAWX7QFQUNM6D,T2,3
AE03LUY7RH400,T1,3
AE03LUY7RH400,T2,3
AETIZKQNUSBLB,T1,1
AETIZKQNUSBLB,T2,1
