subID,N,sigma,H_true,H_subj,H_subj_EST,noise_in_DV,lapse_rate,pct
sim050030050500,50,30,0.05,0.05,0.018760145663089,0.194924745927765,1.08163263894528e-07,92
sim050030051000,50,30,0.05,0.1,0.0204573086826081,0.195044259714367,1.08163263996427e-07,98
sim050030051500,50,30,0.05,0.15,0.00341486446717498,0.290392445879955,1.08163263365844e-07,96
sim050030052000,50,30,0.05,0.2,0.0488103687530351,0.0886598985585737,1.08163264252021e-07,98
sim050030052500,50,30,0.05,0.25,0.0267812906561641,0.181761360201829,1.08163264246367e-07,86
sim050030053000,50,30,0.05,0.3,0.0241295631492855,0.193932541548137,1.08163257635421e-07,98
sim050030053500,50,30,0.05,0.35,0.0285394360322939,0.178202454880621,1.01632756478127e-07,96
sim050030054000,50,30,0.05,0.4,0.157451496906651,0.0974697463255623,0.0204081030778592,94
sim050030054500,50,30,0.05,0.45,0.00348565888442783,0.288706798046395,1.08163263397157e-07,100
sim050030055000,50,30,0.05,0.5,0.499842212046977,0.00182791443984882,0.0058289850193724,56
sim050030055500,50,30,0.05,0.55,0.802503548876007,0.0747609085893737,0.0204081593526545,14
sim050030056000,50,30,0.05,0.6,0.675632512730156,0.00113814039162375,0.0204081608853503,8
sim050030056500,50,30,0.05,0.65,0.891454750074644,0.068279005947207,0.0204081620357671,10
sim050030057000,50,30,0.05,0.7,0.913717936405972,0.0629999619725918,0.0204081576583273,10
sim050030057500,50,30,0.05,0.75,0.663123171549252,0.0141223066375187,0.0204081613147051,12
sim050030058000,50,30,0.05,0.8,0.972958700402904,0.0566679254583693,0.0204081678348796,12
sim050030058500,50,30,0.05,0.85,0.802218422727235,0.0680077333685624,0.0204081594416382,10
sim050030059000,50,30,0.05,0.9,0.981899028570595,0.0297684793152404,0.0204081625767775,18
sim050030059500,50,30,0.05,0.95,0.997333509734357,0.030627438063945,0.0204081615213407,16
sim050030950500,50,30,0.95,0.05,0.396082636225659,0.00525345289209966,0.0204081625319772,2
sim050030951000,50,30,0.95,0.1,0.254137261687521,0.0430462550763116,0.020408160615402,4
sim050030951500,50,30,0.95,0.15,0.0966799373308839,0.0650219872679422,0.0204081679888151,12
sim050030952000,50,30,0.95,0.2,0.0768015452803848,0.0260786335697062,0.0204081609355067,8
sim050030952500,50,30,0.95,0.25,0.286868289456139,0.0298444102308198,0.0204081611353846,10
sim050030953000,50,30,0.95,0.3,0.00140068734963468,0.0162324433134332,0.0408163247609854,2
sim050030953500,50,30,0.95,0.35,0.00135193381108903,0.0092870926451683,0.0408163251312666,8
sim050030954000,50,30,0.95,0.4,0.186398259199964,0.0292071020085636,0.0204081610257801,8
sim050030954500,50,30,0.95,0.45,0.182721777608157,0.0707138471394668,0.0204081665259088,14
sim050030955000,50,30,0.95,0.5,0.500512299206386,0.0855377715894402,0.234185717039257,50
sim050030955500,50,30,0.95,0.55,0.926885272451307,0.0277054276961909,1.08163270685762e-07,92
sim050030956000,50,30,0.95,0.6,0.978597533999346,0.192824501947286,1.01632755884881e-07,98
sim050030956500,50,30,0.95,0.65,0.996553310495631,0.283411033231649,1.08163262714997e-07,94
sim050030957000,50,30,0.95,0.7,0.981361760568383,0.192334563714579,1.08163263932995e-07,96
sim050030957500,50,30,0.95,0.75,0.965716902675145,0.173122742855584,1.32653064980104e-07,92
sim050030958000,50,30,0.95,0.8,0.973621254911051,0.181832534206238,1.08163264062392e-07,94
sim050030958500,50,30,0.95,0.85,0.98742015783897,0.11008599464529,2.63273515154268e-07,94
sim050030959000,50,30,0.95,0.9,0.997677213607819,0.155381973715632,1.01632654289514e-07,94
sim050030959500,50,30,0.95,0.95,0.975584264697687,0.194858073684559,1.08163265410093e-07,94
sim050110050500,50,110,0.05,0.05,0.0166668386215566,0.0277600990534002,1.08163264256862e-07,92
sim050110051000,50,110,0.05,0.1,0.0592422028258935,0.0440419317492976,1.08672066060942e-07,76
sim050110051500,50,110,0.05,0.15,0.0726310799440889,0.00127891077728659,1.32653054305374e-07,58
sim050110052000,50,110,0.05,0.2,0.166980106106217,0.0877663691888137,1.00504894537156e-07,88
sim050110052500,50,110,0.05,0.25,0.247238373694963,0.00289754736252949,1.06530611596895e-07,80
sim050110053000,50,110,0.05,0.3,0.192732051564519,0.00541899574746464,1.06530611158409e-07,78
sim050110053500,50,110,0.05,0.35,0.247835239368264,0.0389673225727763,1.46612308823398e-07,80
sim050110054000,50,110,0.05,0.4,0.312591822065835,0.00381312636264897,1.32653054317886e-07,86
sim050110054500,50,110,0.05,0.45,0.437817929640241,0.000248935369086672,0.020408162394714,80
sim050110055000,50,110,0.05,0.5,0.499421676558149,0.00169450460958576,0.0181167534940522,48
sim050110055500,50,110,0.05,0.55,0.535843566249148,0.000222957911492181,1.0653061142865e-07,30
sim050110056000,50,110,0.05,0.6,0.622558637507903,0.0394628181342692,1.0054310322318e-07,32
sim050110056500,50,110,0.05,0.65,0.685146854724998,0.000161527290661399,0.0204081605887399,40
sim050110057000,50,110,0.05,0.7,0.72242322438327,0.000868935642337362,1.32653057798459e-07,36
sim050110057500,50,110,0.05,0.75,0.798644601108307,0.0961721443647417,1.60511388713574e-07,32
sim050110058000,50,110,0.05,0.8,0.885405880907161,0.131042552515639,0.0271072376332843,44
sim050110058500,50,110,0.05,0.85,0.850829477071411,0.00247197335510761,0.020408161146459,42
sim050110059000,50,110,0.05,0.9,0.972881039699902,0.00572087304588629,1.06530611540763e-07,44
sim050110059500,50,110,0.05,0.95,0.979162601040457,0.264529598159493,1.13488892529031e-07,50
sim050110950500,50,110,0.95,0.05,0.0308549578712992,0.106220897108012,0.0278082117743311,42
sim050110951000,50,110,0.95,0.1,0.0880930194088676,0.0784039292617083,0.0253940590377092,42
sim050110951500,50,110,0.95,0.15,0.0719335883172714,0.0095891617359348,0.0204081613136507,44
sim050110952000,50,110,0.95,0.2,0.135690491218201,0.0412241181218848,0.022841681861267,46
sim050110952500,50,110,0.95,0.25,0.232765009003389,0.00388029758390473,0.0204081616054719,36
sim050110953000,50,110,0.95,0.3,0.270993884390092,0.0153806025794607,0.022128426319265,22
sim050110953500,50,110,0.95,0.35,0.332951240555293,0.0238232313383181,0.0241308886104505,22
sim050110954000,50,110,0.95,0.4,0.390514687478612,0.0333475421824565,1.18595063201912e-07,36
sim050110954500,50,110,0.95,0.45,0.395021672842112,0.00141169769302232,0.0204081609448344,32
