"","subID","N","sigma","H_true","H_subj","noise","lapse","H_subj_EST_avg","H_subj_EST_stder","noise_EST_avg","noise_EST_stder","lapse_EST_avg","lapse_EST_stder","pct_avg","pct_stder"
"1","50_110_0.05_0.05_0.01_0",50,110,0.05,0.05,0.01,0,0.0424817615182002,0.0031319319822612,0.251086293264343,0.0603510046218634,0.00204092661340714,0.00204080382227071,0.868,0.016918103387266
"11","50_110_0.05_0.05_0.5_0",50,110,0.05,0.05,0.5,0,0.0560308284015594,0.0146270269502492,0.339472331755143,0.0748077976910802,0.0131719020726523,0.0089848460697733,0.836,0.0243675558433294
"21","50_110_0.05_0.05_1_0",50,110,0.05,0.05,1,0,0.0585279911298902,0.0194562774474433,0.93660360727102,0.264154551677278,0.0337087116726491,0.0191664231480406,0.752,0.014047538337137
"31","50_110_0.05_0.05_1.5_0",50,110,0.05,0.05,1.5,0,0.0945054532291814,0.0443326360948718,0.610123971632742,0.251128611438454,0.119709895116672,0.0349627441123297,0.71,0.0123827837473378
"41","50_110_0.05_0.05_2_0",50,110,0.05,0.05,2,0,0.0667158750709844,0.0257022596168853,0.736653736156478,0.268866999007966,0.120799653721252,0.0420093192160955,0.664,0.0224697327284703
"51","50_110_0.05_0.05_2.5_0",50,110,0.05,0.05,2.5,0,0.12386169967568,0.0635428333138046,0.67415289333601,0.27235547570774,0.216570929366017,0.0430132461227881,0.62,0.0293636207273937
"61","50_110_0.05_0.05_3_0",50,110,0.05,0.05,3,0,0.218837108864722,0.107033992389666,0.974437692031952,0.34110572620729,0.162020382238855,0.0399381402165539,0.64,0.0298142396999972
"71","50_110_0.05_0.05_3.5_0",50,110,0.05,0.05,3.5,0,0.229047119492168,0.0628663185590939,1.19677726345267,0.488741698539391,0.120889768734239,0.0517870336846589,0.568,0.0176886655485621
"81","50_110_0.05_0.05_4_0",50,110,0.05,0.05,4,0,0.209553956368439,0.0769064594232101,1.40759936487116,0.982257349397046,0.20078601005044,0.05012445064703,0.606,0.0200111080264048
"91","50_110_0.05_0.05_4.5_0",50,110,0.05,0.05,4.5,0,0.194168801655971,0.0910149223157496,0.0818647815675807,0.0358933180246792,0.349261812372555,0.0139690292693462,0.606,0.0217153299665364
"101","50_110_0.05_0.05_5_0",50,110,0.05,0.05,5,0,0.32012723196176,0.101614580222041,2.32162371583165,1.31330374824108,0.27057330956277,0.0518258587308591,0.568,0.014047538337137
"111","50_110_0.05_0.05_5.5_0",50,110,0.05,0.05,5.5,0,0.171701879636859,0.0664958576596371,0.325766924539843,0.210528670064563,0.259107858342418,0.047237528429488,0.588,0.021540659228538
"121","50_110_0.05_0.05_6_0",50,110,0.05,0.05,6,0,0.075231430554143,0.0241801311415872,1.821512504397,0.658328277175027,0.200914888879509,0.0562848726425004,0.58,0.0146059348668044
"131","50_110_0.05_0.05_0.01_0.05",50,110,0.05,0.05,0.01,0.05,0.0481962712332593,0.00795857297831253,0.408474041902278,0.212297745110167,0.0248913708217608,0.0142611812663519,0.756,0.0329039004780082
"141","50_110_0.05_0.05_0.5_0.05",50,110,0.05,0.05,0.5,0.05,0.0605653093115615,0.0146808831993128,0.700222699341453,0.244275911601981,0.0515723268644161,0.0204968300032523,0.734,0.0341304686297872
"151","50_110_0.05_0.05_1_0.05",50,110,0.05,0.05,1,0.05,0.084571385332698,0.0335613314419044,0.583834142580718,0.199343564668317,0.0617324195281426,0.029183061344336,0.724,0.0293333333333333
"161","50_110_0.05_0.05_1.5_0.05",50,110,0.05,0.05,1.5,0.05,0.139462232864309,0.0526317863167585,0.444800678344338,0.17654220949696,0.108600816057448,0.0346119010550821,0.678,0.016983652270476
"171","50_110_0.05_0.05_2_0.05",50,110,0.05,0.05,2,0.05,0.175917763773793,0.0538394200659787,0.1619587727814,0.0700935077522715,0.229459894189889,0.0393394213589758,0.604,0.0326326353347211
"181","50_110_0.05_0.05_2.5_0.05",50,110,0.05,0.05,2.5,0.05,0.280674101792074,0.124890967536798,0.979148726612227,0.627484923193027,0.199945258706334,0.0428200398267577,0.62,0.025298221281347
"191","50_110_0.05_0.05_3_0.05",50,110,0.05,0.05,3,0.05,0.108124112134834,0.039013225720623,0.709883373366906,0.438909088389345,0.253679673642392,0.043211972464381,0.596,0.0188089813062212
"201","50_110_0.05_0.05_3.5_0.05",50,110,0.05,0.05,3.5,0.05,0.241669473582263,0.069659006196824,0.396750985369237,0.241040821248161,0.292547819781896,0.0320821638632644,0.616,0.0342279937413158
